eval/episode_success_easy,eval/episode_reward_ctrl,_timestamp,eval/episode_success_any,eval/episode_success_hard,training/alpha_loss,render,training/sps,training/log_alpha,step,eval/episode_dist,eval/episode_reward_near,training/critic_loss,eval/episode_reward,_step,training/entropy,eval/episode_success,eval/episode_reward_survive,training/actor_loss,eval/episode_reward_dist,_runtime
0.0,0.0,1774123970.2732944,0.986328125,0.0,0.0,,50485.84102100139,0.0,17332224.0,28.66905975341797,0.0,3.850364923477173,946.9775390625,17332224.0,0.0,946.9775390625,0.0,-41.41183853149414,-28.66905975341797,542.326794386
0.0,0.0,1774123990.7993076,0.990234375,0.0,0.0,"{'path': 'media/html/render_17586176_ecc21c6595f354c17544.html', 'size': 863413, '_type': 'html-file', 'sha256': 'ecc21c6595f354c17544e5486c7af7f6006c0ac1254a0630bc59458bff955eb5'}",50581.88364045692,0.0,17586176.0,31.52206802368164,0.0,3.869720458984375,949.46875,17586176.0,0.0,949.46875,0.0,-41.60258865356445,-31.52206802368164,557.112409622
0.0,0.0,1774123990.9455597,0.9892578125,0.0,0.0,,50558.26590263848,0.0,17840128.0,29.738872528076172,0.0,3.8530220985412598,933.890625,17840128.0,0.0,933.890625,0.0,-41.708274841308594,-29.738872528076172,562.991370413
0.0,0.0,1774123996.6775608,0.9853515625,0.0,0.0,,50691.301699682066,0.0,18094080.0,30.630664825439453,0.0,3.8348629474639893,952.677734375,18094080.0,0.0,952.677734375,0.0,-41.96599578857422,-30.630664825439453,568.721373835
0.0,0.0,1774124002.4076638,0.9677734375,0.0,0.0,,50696.15356773637,0.0,18348032.0,30.91950035095215,0.0,3.8533782958984375,927.853515625,18348032.0,0.0,927.853515625,0.0,-42.06290817260742,-30.91950035095215,574.452235833
0.0,0.0,1774124008.1385322,0.9921875,0.0,0.0,,50697.56032473035,0.0,18601984.0,29.818939208984375,0.0,3.887035369873047,949.86328125,18601984.0,0.0,949.86328125,0.0,-42.3050537109375,-29.818939208984375,580.195642014
0.0,0.0,1774124028.7180452,0.990234375,0.0,0.0,"{'path': 'media/html/render_18855936_7ce25f9d3ab852be15b4.html', 'size': 862893, '_type': 'html-file', 'sha256': '7ce25f9d3ab852be15b4756ab9b4361bacd7a2c9c8958dd1df6cb1377f1ea621'}",50582.09982409437,0.0,18855936.0,32.32521057128906,0.0,3.839320421218872,910.1923828125,18855936.0,0.0,910.1923828125,0.0,-42.32300567626953,-32.32521057128906,595.031138471
0.0,0.0,1774124028.8929436,0.9970703125,0.0,0.0,,50602.99668633267,0.0,19109888.0,30.854747772216797,0.0,3.839998960494995,960.4677734375,19109888.0,0.0,960.4677734375,0.0,-42.54454040527344,-30.854747772216797,600.96241528
0.0,0.0,1774124034.648987,0.9931640625,0.0,0.0,,50467.606402549456,0.0,19363840.0,28.169025421142578,0.0,3.846735954284668,951.162109375,19363840.0,0.0,951.162109375,0.0,-42.61104965209961,-28.169025421142578,606.687769033
0.0,0.0,1774124040.3741922,0.982421875,0.0,0.0,,50727.52613168998,0.0,19617792.0,29.7757568359375,0.0,3.85695219039917,951.3896484375,19617792.0,0.0,951.3896484375,0.0,-42.718955993652344,-29.7757568359375,612.439462127
0.0,0.0,1774124046.125917,0.98828125,0.0,0.0,,50481.84277323714,0.0,19871744.0,30.117511749267578,0.0,3.8413965702056885,936.0771484375,19871744.0,0.0,936.0771484375,0.0,-42.83639144897461,-30.117511749267578,618.165225251
0.0,0.0,1774124067.6263232,0.99609375,0.0,0.0,"{'size': 842137, '_type': 'html-file', 'sha256': '0ce95e484caed41996457dcb688605854882611d94197f9d8fc4c625ae43258e', 'path': 'media/html/render_20125696_0ce95e484caed4199645.html'}",50748.95681255475,0.0,20125696.0,32.165103912353516,0.0,3.8497724533081055,944.5400390625,20125696.0,0.0,944.5400390625,0.0,-42.954002380371094,-32.165103912353516,633.939372446
0.0,0.0,1774124067.796447,0.9970703125,0.0,0.0,,50535.813866084194,0.0,20379648.0,31.141300201416016,0.0,3.867892026901245,966.134765625,20379648.0,0.0,966.134765625,0.0,-43.15715408325195,-31.141300201416016,639.871208798
0.0,0.0,1774124073.5571434,0.990234375,0.0,0.0,,50395.80565171055,0.0,20633600.0,29.738584518432617,0.0,3.8546555042266846,955.6123046875,20633600.0,0.0,955.6123046875,0.0,-43.1767692565918,-29.738584518432617,645.6162847
0.0,0.0,1774124079.30292,0.99609375,0.0,0.0,,50536.74417397989,0.0,20887552.0,33.24198532104492,0.0,3.8688292503356934,920.09765625,20887552.0,0.0,920.09765625,0.0,-43.30536651611328,-33.24198532104492,651.332429908
0.0,0.0,1774124085.018952,0.9931640625,0.0,0.0,,50812.911613931894,0.0,21141504.0,31.36101722717285,0.0,3.8832550048828125,957.056640625,21141504.0,0.0,957.056640625,0.0,-43.40704345703125,-31.36101722717285,657.063616676
0.0,0.0,1774124106.045746,0.9912109375,0.0,0.0,"{'path': 'media/html/render_21395456_9d1965f55c8900b42806.html', 'size': 858969, '_type': 'html-file', 'sha256': '9d1965f55c8900b428062de93b970a15bfc8acf659c9f33d313482362b4990c0'}",50686.07208349437,0.0,21395456.0,34.583702087402344,0.0,3.910198926925659,885.3447265625,21395456.0,0.0,885.3447265625,0.0,-43.61368179321289,-34.583702087402344,672.358808603
0.0,0.0,1774124106.216619,0.9990234375,0.0,0.0,,50758.88433337665,0.0,21649408.0,29.16225242614746,0.0,3.9449305534362793,955.6962890625,21649408.0,0.0,955.6962890625,0.0,-43.783111572265625,-29.16225242614746,678.291746457
