eval/episode_success_easy,eval/episode_success,eval/episode_dist,training/actor_loss,render,eval/episode_reward_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive,_runtime,training/sps,eval/episode_reward_near,training/log_alpha,training/critic_loss,training/alpha_loss,training/entropy,_step,step
0.0,976.4111328125,30.28986358642578,-44.4312858581543,,-30.28986358642578,1774114740.1216724,0.0,0.0,976.4111328125,1.0,0.0,803.931935212,50775.383972006115,0.0,0.0,4.007686138153076,0.0,0.0,25966592.0,25966592.0
0.0,975.498046875,31.02437400817871,-44.53881072998047,,-31.02437400817871,1774114745.8178282,0.0,0.0,975.498046875,1.0,0.0,809.632971209,51029.33966997013,0.0,0.0,4.0193400382995605,0.0,0.0,26220544.0,26220544.0
0.0,962.7470703125,31.156536102294922,-44.58323669433594,"{'sha256': '7622d5336b62c25bdaaaeb7724fb9eaf7703c59b38db1c9a581547c57e6ba4d3', 'path': 'media/html/render_26474496_7622d5336b62c25bdaaa.html', 'size': 888189, '_type': 'html-file'}",-31.156536102294922,1774114766.0617914,0.0,0.0,962.7470703125,1.0,0.0,824.175453264,50988.084247684994,0.0,0.0,4.037384986877441,0.0,0.0,26474496.0,26474496.0
0.0,970.2724609375,29.79566192626953,-44.632015228271484,,-29.79566192626953,1774114766.231556,0.0,0.0,970.2724609375,0.9990234375,0.0,830.077236689,50899.17362558259,0.0,0.0,4.0338592529296875,0.0,0.0,26728448.0,26728448.0
0.0,953.74609375,33.41194152832031,-44.71349334716797,,-33.41194152832031,1774114771.9628983,0.0,0.0,953.74609375,1.0,0.0,835.779963176,50731.33868093991,0.0,0.0,4.042007923126221,0.0,0.0,26982400.0,26982400.0
0.0,974.021484375,30.11600685119629,-44.73942565917969,,-30.11600685119629,1774114777.6657088,0.0,0.0,974.021484375,1.0,0.0,841.516593058,50961.49866719997,0.0,0.0,4.043516159057617,0.0,0.0,27236352.0,27236352.0
0.0,973.1630859375,31.769405364990234,-44.735679626464844,,-31.769405364990234,1774114783.4024146,0.0,0.0,973.1630859375,1.0,0.0,847.24352935,50626.03302342895,0.0,0.0,4.046601295471191,0.0,0.0,27490304.0,27490304.0
0.0,955.8583984375,31.961978912353516,-44.70561981201172,"{'sha256': 'b7b7a0340baadcb207377ece7b3dbd10ad3c5513695603a95e35cd8777548417', 'path': 'media/html/render_27744256_b7b7a0340baadcb20737.html', 'size': 870425, '_type': 'html-file'}",-31.961978912353516,1774114804.0174794,0.0,0.0,955.8583984375,0.9970703125,0.0,862.131135845,50711.49215678881,0.0,0.0,4.0341644287109375,0.0,0.0,27744256.0,27744256.0
0.0,969.00390625,31.19749641418457,-44.7468376159668,,-31.19749641418457,1774114804.1814687,0.0,0.0,969.00390625,0.9951171875,0.0,868.034156138,50793.62856459029,0.0,0.0,4.037154197692871,0.0,0.0,27998208.0,27998208.0
0.0,959.3349609375,29.06136703491211,-44.74811935424805,,-29.06136703491211,1774114809.9196749,0.0,0.0,959.3349609375,0.9990234375,0.0,873.758956942,50666.63933474723,0.0,0.0,4.048713684082031,0.0,0.0,28252160.0,28252160.0
0.0,972.2490234375,30.749683380126953,-44.72856140136719,,-30.749683380126953,1774114815.6447423,0.0,0.0,972.2490234375,0.9990234375,0.0,879.476471736,50741.45510257388,0.0,0.0,4.03743839263916,0.0,0.0,28506112.0,28506112.0
0.0,969.2626953125,30.495845794677734,-44.72938537597656,,-30.495845794677734,1774114821.3622088,0.0,0.0,969.2626953125,1.0,0.0,885.205378385,50797.26452139157,0.0,0.0,4.023080348968506,0.0,0.0,28760064.0,28760064.0
0.0,961.564453125,32.26449966430664,-44.75802993774414,"{'sha256': '5944527f83d9ba249bfd1a85df973fb6756ab8cccfa9c778dba38270389adb91', 'path': 'media/html/render_29014016_5944527f83d9ba249bfd.html', 'size': 899537, '_type': 'html-file'}",-32.26449966430664,1774114842.4734447,0.0,0.0,961.564453125,0.9990234375,0.0,900.587118491,50703.99669066742,0.0,0.0,4.044410705566406,0.0,0.0,29014016.0,29014016.0
0.0,974.8662109375,31.3453311920166,-44.77456283569336,,-31.3453311920166,1774114842.653075,0.0,0.0,974.8662109375,1.0,0.0,906.519224976,50769.149675948356,0.0,0.0,4.043313026428223,0.0,0.0,29267968.0,29267968.0
0.0,973.708984375,29.99013900756836,-44.81000900268555,,-29.99013900756836,1774114848.40466,0.0,0.0,973.708984375,1.0,0.0,912.247603342,50582.8540792555,0.0,0.0,4.043659210205078,0.0,0.0,29521920.0,29521920.0
0.0,975.1083984375,29.397117614746094,-44.79998779296875,,-29.397117614746094,1774114854.1333039,0.0,0.0,975.1083984375,0.9990234375,0.0,917.980727238,50713.196749142975,0.0,0.0,4.044338703155518,0.0,0.0,29775872.0,29775872.0
0.0,977.02734375,28.600543975830078,-44.83921432495117,,-28.600543975830078,1774114859.866564,0.0,0.0,977.02734375,0.9990234375,0.0,923.70866275,50668.977226662486,0.0,0.0,4.042507171630859,0.0,0.0,30029824.0,30029824.0
0.0,975.3779296875,29.599273681640625,-44.82026290893555,"{'path': 'media/html/render_30283776_8d2143ed825828fd4d44.html', 'size': 869229, '_type': 'html-file', 'sha256': '8d2143ed825828fd4d44784fc6a7d1d5bddf3aa6844ee0a65fc7b4c0e03db5c0'}",-29.599273681640625,1774114880.9515095,0.0,0.0,975.3779296875,1.0,0.0,939.065181837,50714.9835553571,0.0,0.0,4.0450968742370605,0.0,0.0,30283776.0,30283776.0
0.0,968.716796875,30.53886604309082,-44.83412551879883,,-30.53886604309082,1774114881.1197948,0.0,0.0,968.716796875,1.0,0.0,944.966285289,50731.005241218205,0.0,0.0,4.038080215454102,0.0,0.0,30537728.0,30537728.0
0.0,968.1982421875,29.701601028442383,-44.86151885986328,,-29.701601028442383,1774114886.8519683,0.0,0.0,968.1982421875,0.99609375,0.0,950.701930481,50733.34907706812,0.0,0.0,4.035994052886963,0.0,0.0,30791680.0,30791680.0
0.0,976.9248046875,28.081958770751953,-44.8513298034668,,-28.081958770751953,1774114892.5876522,0.0,0.0,976.9248046875,1.0,0.0,956.426359477,50655.13378433911,0.0,0.0,4.033515930175781,0.0,0.0,31045632.0,31045632.0
0.0,966.3544921875,31.133853912353516,-44.85853958129883,,-31.133853912353516,1774114898.3120277,0.0,0.0,966.3544921875,1.0,0.0,962.144915953,50744.51305686901,0.0,0.0,4.037744522094727,0.0,0.0,31299584.0,31299584.0
0.0,974.453125,29.68245506286621,-44.882102966308594,"{'sha256': '4b602a3b48a8492cd88b24625a943605478648daa85db46a1bb22b4ae121539d', 'path': 'media/html/render_31553536_4b602a3b48a8492cd88b.html', 'size': 872713, '_type': 'html-file'}",-29.68245506286621,1774114919.0949507,0.0,0.0,974.453125,1.0,0.0,977.208647595,50815.72605975993,0.0,0.0,4.05033016204834,0.0,0.0,31553536.0,31553536.0
0.0,970.2958984375,30.395315170288086,-44.91194152832031,,-30.395315170288086,1774114919.2561889,0.0,0.0,970.2958984375,0.998046875,0.0,983.105324823,50894.416570502675,0.0,0.0,4.043787002563477,0.0,0.0,31807488.0,31807488.0
0.0,968.099609375,30.392120361328125,-44.90337371826172,,-30.392120361328125,1774114924.9911115,0.0,0.0,968.099609375,1.0,0.0,988.835876731,50692.05197759569,0.0,0.0,4.036063194274902,0.0,0.0,32061440.0,32061440.0
0.0,934.341796875,31.0015811920166,-44.87224578857422,,-31.0015811920166,1774114930.7215211,0.0,0.0,934.341796875,0.9970703125,0.0,994.579370282,50694.32224636059,0.0,0.0,4.037092208862305,0.0,0.0,32315392.0,32315392.0
0.0,975.78515625,29.402633666992188,-44.9091911315918,,-29.402633666992188,1774114936.4648466,0.0,0.0,975.78515625,1.0,0.0,1000.30247708,50565.82156285354,0.0,0.0,4.035170078277588,0.0,0.0,32569344.0,32569344.0
0.0,963.1748046875,31.41600799560547,-44.89698028564453,"{'sha256': 'f27d52d1745e68decdce933ea8c6133cab58f30c26a46ede665d53e63127ce5c', 'path': 'media/html/render_32823296_f27d52d1745e68decdce.html', 'size': 897321, '_type': 'html-file'}",-31.41600799560547,1774114957.1364799,0.0,0.0,963.1748046875,1.0,0.0,1015.250306977,50748.27496706835,0.0,0.0,4.040129661560059,0.0,0.0,32823296.0,32823296.0
0.0,976.55078125,29.71357536315918,-44.91932678222656,,-29.71357536315918,1774114957.3033466,0.0,0.0,976.55078125,1.0,0.0,1021.154560743,51109.027187372754,0.0,0.0,4.046820163726807,0.0,0.0,33077248.0,33077248.0
0.0,974.8876953125,31.728435516357422,-44.96702194213867,,-31.728435516357422,1774114963.040537,0.0,0.0,974.8876953125,1.0,0.0,1026.852745395,50856.46010578832,0.0,0.0,4.0434136390686035,0.0,0.0,33331200.0,33331200.0
0.0,959.2841796875,31.462177276611328,-44.95406723022461,,-31.462177276611328,1774114968.7385304,0.0,0.0,959.2841796875,0.9931640625,0.0,1032.551944015,51005.84943649686,0.0,0.0,4.047171115875244,0.0,0.0,33585152.0,33585152.0
0.0,963.34375,30.1759090423584,-44.9214973449707,,-30.1759090423584,1774114974.4376354,0.0,0.0,963.34375,1.0,0.0,1038.255440101,51019.469817473575,0.0,0.0,4.053065776824951,0.0,0.0,33839104.0,33839104.0
0.0,973.34765625,29.39208984375,-44.85551834106445,"{'path': 'media/html/render_34093056_1a56d54fa75e41c6fc1a.html', 'size': 884085, '_type': 'html-file', 'sha256': '1a56d54fa75e41c6fc1a32051e256888ed67df51d53533db33f2378ab92c805c'}",-29.39208984375,1774114995.1777737,0.0,0.0,973.34765625,1.0,0.0,1053.291455208,50964.33935151504,0.0,0.0,4.034268856048584,0.0,0.0,34093056.0,34093056.0
0.0,970.572265625,30.16539192199707,-44.81964111328125,,-30.16539192199707,1774114995.3315783,0.0,0.0,970.572265625,1.0,0.0,1059.15755537,50964.2296196314,0.0,0.0,4.0349321365356445,0.0,0.0,34347008.0,34347008.0
0.0,976.9951171875,28.573209762573242,-44.77246856689453,,-28.573209762573242,1774115001.0432236,0.0,0.0,976.9951171875,1.0,0.0,1064.849236764,50916.03476806369,0.0,0.0,4.023169994354248,0.0,0.0,34600960.0,34600960.0
0.0,974.93359375,29.082263946533203,-44.725486755371094,,-29.082263946533203,1774115006.7349048,0.0,0.0,974.93359375,0.9990234375,0.0,1070.545398789,51070.85045619425,0.0,0.0,4.00877046585083,0.0,0.0,34854912.0,34854912.0
0.0,963.1611328125,30.82575035095215,-44.75772476196289,,-30.82575035095215,1774115012.4309294,0.0,0.0,963.1611328125,1.0,0.0,1076.249412784,51042.46383344876,0.0,0.0,4.019474983215332,0.0,0.0,35108864.0,35108864.0
0.0,965.5791015625,28.808944702148438,-44.716365814208984,"{'_type': 'html-file', 'sha256': 'd84a8094ce7afd5c3c26323b932abe94bf9621ed3ccdf08c642731b416798533', 'path': 'media/html/render_35362816_d84a8094ce7afd5c3c26.html', 'size': 895177}",-28.808944702148438,1774115033.5875747,0.0,0.0,965.5791015625,0.99609375,0.0,1091.701252229,50968.98022350611,0.0,0.0,4.007716178894043,0.0,0.0,35362816.0,35362816.0
0.0,968.8876953125,29.66287612915039,-44.71870803833008,,-29.66287612915039,1774115033.7688587,0.0,0.0,968.8876953125,0.99609375,0.0,1097.612674629,51008.753693261395,0.0,0.0,4.019388198852539,0.0,0.0,35616768.0,35616768.0
0.0,972.166015625,28.310598373413086,-44.75452423095703,,-28.310598373413086,1774115039.4983692,0.0,0.0,972.166015625,0.998046875,0.0,1103.322296548,50751.63359591613,0.0,0.0,4.014505863189697,0.0,0.0,35870720.0,35870720.0
0.0,962.759765625,29.463977813720703,-44.84842300415039,,-29.463977813720703,1774115045.208147,0.0,0.0,962.759765625,0.9951171875,0.0,1109.030473457,50900.10763039596,0.0,0.0,4.031236171722412,0.0,0.0,36124672.0,36124672.0
0.0,963.8896484375,27.897567749023438,-44.83246994018555,,-27.897567749023438,1774115050.9162602,0.0,0.0,963.8896484375,0.9990234375,0.0,1114.739340455,50896.938477195356,0.0,0.0,4.025311470031738,0.0,0.0,36378624.0,36378624.0
0.0,970.8076171875,29.324718475341797,-44.815269470214844,"{'size': 891145, '_type': 'html-file', 'sha256': '5faf3840d67d13982d52faf8337eba67f62dbdc8af1b4d1bae9b65f5589bfc12', 'path': 'media/html/render_36632576_5faf3840d67d13982d52.html'}",-29.324718475341797,1774115072.1992383,0.0,0.0,970.8076171875,1.0,0.0,1130.312897297,50896.65149739054,0.0,0.0,4.038690567016602,0.0,0.0,36632576.0,36632576.0
0.0,932.837890625,32.651161193847656,-44.84113311767578,,-32.651161193847656,1774115072.3726165,0.0,0.0,932.837890625,0.998046875,0.0,1136.204234763,50828.279714186334,0.0,0.0,4.0404229164123535,0.0,0.0,36886528.0,36886528.0
0.0,977.1298828125,28.871763229370117,-44.81417465209961,,-28.871763229370117,1774115078.0900934,0.0,0.0,977.1298828125,1.0,0.0,1141.91753846,50868.62090563607,0.0,0.0,4.039000034332275,0.0,0.0,37140480.0,37140480.0
0.0,978.48046875,29.94156265258789,-44.823577880859375,,-29.94156265258789,1774115083.8033288,0.0,0.0,978.48046875,0.9990234375,0.0,1147.635208773,50847.70559930036,0.0,0.0,4.043466091156006,0.0,0.0,37394432.0,37394432.0
0.0,964.0458984375,30.501914978027344,-44.7730598449707,,-30.501914978027344,1774115089.5210001,0.0,0.0,964.0458984375,0.9990234375,0.0,1153.329476971,50807.94285403281,0.0,0.0,4.033195495605469,0.0,0.0,37648384.0,37648384.0
0.0,972.8154296875,28.64540672302246,-44.740482330322266,"{'path': 'media/html/render_37902336_e5def7957c2c4fa7bac5.html', 'size': 898181, '_type': 'html-file', 'sha256': 'e5def7957c2c4fa7bac558b9b3325496312a598a4fc62aac3dfa3f2ba36d8e19'}",-28.64540672302246,1774115110.5465071,0.0,0.0,972.8154296875,0.9951171875,0.0,1168.66017425,51040.14515606569,0.0,0.0,4.0356621742248535,0.0,0.0,37902336.0,37902336.0
0.0,972.216796875,30.25811195373535,-44.740142822265625,,-30.25811195373535,1774115110.710462,0.0,0.0,972.216796875,1.0,0.0,1174.531726295,50965.69275026688,0.0,0.0,4.03494930267334,0.0,0.0,38156288.0,38156288.0
0.0,979.29296875,28.625307083129883,-44.66825485229492,,-28.625307083129883,1774115116.4174185,0.0,0.0,979.29296875,1.0,0.0,1180.223138488,50947.85560480663,0.0,0.0,4.02023458480835,0.0,0.0,38410240.0,38410240.0
0.0,972.3974609375,28.676292419433594,-44.6713981628418,,-28.676292419433594,1774115122.108308,0.0,0.0,972.3974609375,1.0,0.0,1185.909970282,51087.88190818308,0.0,0.0,4.021147727966309,0.0,0.0,38664192.0,38664192.0
0.0,970.9169921875,29.31818389892578,-44.66555404663086,,-29.31818389892578,1774115127.7958925,0.0,0.0,970.9169921875,0.9970703125,0.0,1191.595106846,51104.726115233985,0.0,0.0,4.024355888366699,0.0,0.0,38918144.0,38918144.0
0.0,977.1650390625,30.14645004272461,-44.65623474121094,"{'path': 'media/html/render_39172096_3129e3a454b3af7c40ea.html', 'size': 899877, '_type': 'html-file', 'sha256': '3129e3a454b3af7c40ea5e6ff758b7a4458c32acb57951d979eeae09a9d9c49c'}",-30.14645004272461,1774115147.8937523,0.0,0.0,977.1650390625,1.0,0.0,1206.007480863,51129.154246998,0.0,0.0,4.014980792999268,0.0,0.0,39172096.0,39172096.0
0.0,973.4755859375,31.748458862304688,-44.63532257080078,,-31.748458862304688,1774115148.0907888,0.0,0.0,973.4755859375,1.0,0.0,1211.919897609,51052.80016349904,0.0,0.0,4.022525310516357,0.0,0.0,39426048.0,39426048.0
0.0,964.6953125,29.285966873168945,-44.639827728271484,,-29.285966873168945,1774115153.8056693,0.0,0.0,964.6953125,0.9912109375,0.0,1217.611190804,50915.00526132738,0.0,0.0,4.017460823059082,0.0,0.0,39680000.0,39680000.0
0.0,974.6005859375,29.854190826416016,-44.63973617553711,,-29.854190826416016,1774115159.4968162,0.0,0.0,974.6005859375,1.0,0.0,1223.296814991,51077.70772190087,0.0,0.0,4.023095607757568,0.0,0.0,39933952.0,39933952.0
0.0,978.796875,30.099761962890625,-44.6100959777832,,-30.099761962890625,1774115165.1823976,0.0,0.0,978.796875,1.0,0.0,1228.976905505,51158.12635456047,0.0,0.0,4.018003463745117,0.0,0.0,40187904.0,40187904.0
0.0,973.37109375,30.816795349121094,-44.585575103759766,"{'_type': 'html-file', 'sha256': 'd8a23cc4a4fbf905fbf2eaebb12b91847180c5a544c4816511ddd3f9d1814eca', 'path': 'media/html/render_40441856_d8a23cc4a4fbf905fbf2.html', 'size': 907329}",-30.816795349121094,1774115186.2019582,0.0,0.0,973.37109375,1.0,0.0,1244.315663785,51194.29788419867,0.0,0.0,4.014926910400391,0.0,0.0,40441856.0,40441856.0
0.0,973.892578125,30.721160888671875,-44.60245895385742,,-30.721160888671875,1774115186.3643198,0.0,0.0,973.892578125,1.0,0.0,1250.178303354,51145.30857004953,0.0,0.0,4.007882595062256,0.0,0.0,40695808.0,40695808.0
0.0,976.40625,31.64447593688965,-44.61143493652344,,-31.64447593688965,1774115192.0639465,0.0,0.0,976.40625,1.0,0.0,1255.864666612,51078.80015638914,0.0,0.0,4.01005744934082,0.0,0.0,40949760.0,40949760.0
0.0,971.943359375,31.15550994873047,-44.631988525390625,,-31.15550994873047,1774115197.7502787,0.0,0.0,971.943359375,0.9970703125,0.0,1261.575370713,51142.757079608986,0.0,0.0,4.019732475280762,0.0,0.0,41203712.0,41203712.0
0.0,952.58203125,31.70598602294922,-44.56361389160156,,-31.70598602294922,1774115203.4612298,0.0,0.0,952.58203125,1.0,0.0,1267.280479384,50870.865715289474,0.0,0.0,4.0147600173950195,0.0,0.0,41457664.0,41457664.0
0.0,974.6494140625,30.948694229125977,-44.518943786621094,"{'_type': 'html-file', 'sha256': 'ffad3b83df126be962502a4e11eb2d0f743752461b1b78206c4c1d245551abb8', 'path': 'media/html/render_41711616_ffad3b83df126be96250.html', 'size': 901977}",-30.948694229125977,1774115224.321902,0.0,0.0,974.6494140625,1.0,0.0,1282.43573297,50954.13630741868,0.0,0.0,4.006898880004883,0.0,0.0,41711616.0,41711616.0
0.0,968.4814453125,31.035459518432617,-44.46725845336914,,-31.035459518432617,1774115224.4968507,0.0,0.0,968.4814453125,1.0,0.0,1288.31096752,51010.0630374359,0.0,0.0,3.9934070110321045,0.0,0.0,41965568.0,41965568.0
0.0,966.9169921875,30.399890899658203,-44.39994812011719,,-30.399890899658203,1774115230.1965797,0.0,0.0,966.9169921875,1.0,0.0,1293.995683688,51110.0007916362,0.0,0.0,3.993366003036499,0.0,0.0,42219520.0,42219520.0
0.0,974.7060546875,28.720157623291016,-44.34321975708008,,-28.720157623291016,1774115235.8811429,0.0,0.0,974.7060546875,1.0,0.0,1299.6800295,51146.8533400495,0.0,0.0,3.978243827819824,0.0,0.0,42473472.0,42473472.0
0.0,978.208984375,29.572540283203125,-44.36167526245117,,-29.572540283203125,1774115241.565619,0.0,0.0,978.208984375,1.0,0.0,1305.360731665,51166.467013383335,0.0,0.0,3.9641053676605225,0.0,0.0,42727424.0,42727424.0
0.0,964.970703125,31.676895141601562,-44.31686019897461,"{'sha256': '8b96e67c12344c3bfcfe2678d14ddcddb7fbc9e460738f21962daa965368a22d', 'path': 'media/html/render_42981376_8b96e67c12344c3bfcfe.html', 'size': 880901, '_type': 'html-file'}",-31.676895141601562,1774115262.718128,0.0,0.0,964.970703125,1.0,0.0,1320.83185799,51181.82595077107,0.0,0.0,3.9621222019195557,0.0,0.0,42981376.0,42981376.0
0.0,969.927734375,29.546924591064453,-44.302268981933594,,-29.546924591064453,1774115262.90313,0.0,0.0,969.927734375,0.994140625,0.0,1326.74579155,51282.678026527225,0.0,0.0,3.9596638679504395,0.0,0.0,43235328.0,43235328.0
0.0,977.837890625,29.38572120666504,-44.244224548339844,,-29.38572120666504,1774115268.6315713,0.0,0.0,977.837890625,1.0,0.0,1332.456300883,50783.28794914691,0.0,0.0,3.9397497177124023,0.0,0.0,43489280.0,43489280.0
0.0,964.9208984375,32.63549041748047,-44.276214599609375,,-32.63549041748047,1774115274.342138,0.0,0.0,964.9208984375,1.0,0.0,1338.159763866,50900.81058891725,0.0,0.0,3.9376163482666016,0.0,0.0,43743232.0,43743232.0
0.0,968.9814453125,29.517757415771484,-44.27712631225586,,-29.517757415771484,1774115280.045502,0.0,0.0,968.9814453125,0.998046875,0.0,1343.881203245,50950.88486952502,0.0,0.0,3.932194471359253,0.0,0.0,43997184.0,43997184.0
0.0,975.4912109375,29.752634048461914,-44.255828857421875,"{'_type': 'html-file', 'sha256': '5725a979b788ae7907126686df9f64e7396c0d2961ae6f2211a959b60ea41787', 'path': 'media/html/render_44251136_5725a979b788ae790712.html', 'size': 883657}",-29.752634048461914,1774115300.5412483,0.0,0.0,975.4912109375,1.0,0.0,1358.654970211,51008.370185400716,0.0,0.0,3.9372127056121826,0.0,0.0,44251136.0,44251136.0
0.0,969.0361328125,28.574329376220703,-44.25624084472656,,-28.574329376220703,1774115300.7259598,0.0,0.0,969.0361328125,1.0,0.0,1364.552023134,50986.08289949487,0.0,0.0,3.94573974609375,0.0,0.0,44505088.0,44505088.0
0.0,959.216796875,30.731040954589844,-44.320098876953125,,-30.731040954589844,1774115306.4378445,0.0,0.0,959.216796875,1.0,0.0,1370.260904653,50938.37046321005,0.0,0.0,3.9442691802978516,0.0,0.0,44759040.0,44759040.0
0.0,961.10546875,31.580448150634766,-44.339630126953125,,-31.580448150634766,1774115312.1466649,0.0,0.0,961.10546875,0.998046875,0.0,1375.982077271,50911.76854919665,0.0,0.0,3.9498448371887207,0.0,0.0,45012992.0,45012992.0
0.0,975.1376953125,31.389896392822266,-44.3965950012207,,-31.389896392822266,1774115317.8677878,0.0,0.0,975.1376953125,0.9970703125,0.0,1381.670372412,50795.563962477114,0.0,0.0,3.9632904529571533,0.0,0.0,45266944.0,45266944.0
0.0,963.458984375,31.42752456665039,-44.40151596069336,"{'_type': 'html-file', 'sha256': '4877cfa09204e95977bc209b57d9d70fbb65bf70f094499c2964d988ecbad01c', 'path': 'media/html/render_45520896_4877cfa09204e95977bc.html', 'size': 877333}",-31.42752456665039,1774115338.7059543,0.0,0.0,963.458984375,0.99609375,0.0,1396.819688904,51102.54888151753,0.0,0.0,3.9654171466827393,0.0,0.0,45520896.0,45520896.0
0.0,972.8388671875,26.87191390991211,-44.42558670043945,,-26.87191390991211,1774115338.863737,0.0,0.0,972.8388671875,0.9990234375,0.0,1402.685391746,51120.96559675264,0.0,0.0,3.971498966217041,0.0,0.0,45774848.0,45774848.0
0.0,961.146484375,31.22977638244629,-44.428016662597656,,-31.22977638244629,1774115344.5713096,0.0,0.0,961.146484375,1.0,0.0,1408.37557974,50956.90791304384,0.0,0.0,3.970067024230957,0.0,0.0,46028800.0,46028800.0
0.0,965.07421875,31.251020431518555,-44.45610809326172,,-31.251020431518555,1774115350.2613688,0.0,0.0,965.07421875,0.998046875,0.0,1414.069993765,51087.60747290249,0.0,0.0,3.9716756343841553,0.0,0.0,46282752.0,46282752.0
0.0,972.298828125,26.356279373168945,-44.528533935546875,,-26.356279373168945,1774115355.9558494,0.0,0.0,972.298828125,1.0,0.0,1419.781470027,51069.009104186014,0.0,0.0,3.9891157150268555,0.0,0.0,46536704.0,46536704.0
0.0,972.9423828125,28.98387908935547,-44.555912017822266,"{'sha256': '6e8b043966fdd71227c45123cd9d4226f4453f889e8f7ca0334a1aa660e8c4f2', 'path': 'media/html/render_46790656_6e8b043966fdd71227c4.html', 'size': 878341, '_type': 'html-file'}",-28.98387908935547,1774115376.9161816,0.0,0.0,972.9423828125,1.0,0.0,1435.029856039,50886.285913870735,0.0,0.0,3.983126163482666,0.0,0.0,46790656.0,46790656.0
0.0,975.6279296875,26.696638107299805,-44.625205993652344,,-26.696638107299805,1774115377.080236,0.0,0.0,975.6279296875,1.0,0.0,1440.901617071,51078.92018006756,0.0,0.0,3.9888970851898193,0.0,0.0,47044608.0,47044608.0
0.0,979.4423828125,26.474231719970703,-44.73448181152344,,-26.474231719970703,1774115382.7875807,0.0,0.0,979.4423828125,1.0,0.0,1446.606765034,50976.64451172296,0.0,0.0,4.00338077545166,0.0,0.0,47298560.0,47298560.0
0.0,972.28125,27.652952194213867,-44.778987884521484,,-27.652952194213867,1774115388.4926324,0.0,0.0,972.28125,1.0,0.0,1452.31084049,50930.393789194975,0.0,0.0,4.009166240692139,0.0,0.0,47552512.0,47552512.0
