training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,961.8212890625,-28.619586944580078,0.0,8443904.0,0.0,1.0,,0.0,0.0,51262.2893153485,3.0527682304382324,270.848130608,0.0,8443904.0,961.8212890625,0.0,28.619586944580078,-27.067462921142578,0.0,1774111035.357675
0.0,964.5400390625,-27.5965576171875,0.0,8697856.0,0.0,1.0,"{'size': 820305, '_type': 'html-file', 'sha256': '40c3e4b4efc94d407413f6c9c71141b8bd76d1b39578929e958efbe7be617153', 'path': 'media/html/render_8697856_40c3e4b4efc94d407413.html'}",0.0,0.0,51337.450607787294,3.0702884197235107,285.760213447,0.0,8697856.0,964.5400390625,0.0,27.5965576171875,-27.634611129760742,0.0,1774111055.938471
0.0,957.8662109375,-27.92165756225586,0.0,8951808.0,0.0,0.998046875,,0.0,0.0,51297.42743282247,3.096900701522827,291.633615546,0.0,8951808.0,957.8662109375,0.0,27.92165756225586,-28.470550537109375,0.0,1774111056.134454
0.0,957.72265625,-27.4569034576416,0.0,9205760.0,0.0,1.0,,0.0,0.0,51284.59161152835,3.161436080932617,297.30589937,0.0,9205760.0,957.72265625,0.0,27.4569034576416,-29.216447830200195,0.0,1774111061.8113837
0.0,953.2421875,-29.789337158203125,0.0,9459712.0,0.0,0.998046875,,0.0,0.0,51267.59410114949,3.2014317512512207,302.981773572,0.0,9459712.0,953.2421875,0.0,29.789337158203125,-28.9334774017334,0.0,1774111067.48357
0.0,939.509765625,-32.04633331298828,0.0,9713664.0,0.0,0.998046875,,0.0,0.0,51249.66587374932,3.253262758255005,308.656270505,0.0,9713664.0,939.509765625,0.0,32.04633331298828,-30.11905288696289,0.0,1774111073.1595051
0.0,948.7197265625,-30.485366821289062,0.0,9967616.0,0.0,0.98828125,"{'path': 'media/html/render_9967616_bf2c83f4f52f4249efbf.html', 'size': 852453, '_type': 'html-file', 'sha256': 'bf2c83f4f52f4249efbf3ec84011e214f6065c820f3467db17cd703c4c76559b'}",0.0,0.0,51258.436015230196,3.267573833465576,323.959779508,0.0,9967616.0,948.7197265625,0.0,30.485366821289062,-30.459571838378906,0.0,1774111094.1380296
0.0,948.3095703125,-30.97405242919922,0.0,10221568.0,0.0,0.9951171875,,0.0,0.0,51364.42999197093,3.2609405517578125,329.810694229,0.0,10221568.0,948.3095703125,0.0,30.97405242919922,-30.933406829833984,0.0,1774111094.3111408
0.0,940.8037109375,-30.777944564819336,0.0,10475520.0,0.0,0.9814453125,,0.0,0.0,51296.61219059431,3.344423532485962,335.504008183,0.0,10475520.0,940.8037109375,0.0,30.777944564819336,-31.57925796508789,0.0,1774111099.9883227
0.0,957.9453125,-30.01030158996582,0.0,10729472.0,0.0,1.0,,0.0,0.0,51083.52314628863,3.350118398666382,341.186171694,0.0,10729472.0,957.9453125,0.0,30.01030158996582,-32.74190902709961,0.0,1774111105.681689
0.0,959.40625,-28.710466384887695,0.0,10983424.0,0.0,1.0,,0.0,0.0,51167.96635943363,3.3756306171417236,346.869719154,0.0,10983424.0,959.40625,0.0,28.710466384887695,-33.88702392578125,0.0,1774111111.3639255
0.0,961.70703125,-29.343835830688477,0.0,11237376.0,0.0,1.0,"{'path': 'media/html/render_11237376_ca650c90c8d5f0680533.html', 'size': 825309, '_type': 'html-file', 'sha256': 'ca650c90c8d5f0680533183e8049a6ae3038935be698c18e4d1889eda0da5adf'}",0.0,0.0,51171.62169088725,3.4507856369018555,361.544621287,0.0,11237376.0,961.70703125,0.0,29.343835830688477,-34.71058654785156,0.0,1774111131.7228973
0.0,967.3857421875,-28.309677124023438,0.0,11491328.0,0.0,1.0,,0.0,0.0,51172.87303058174,3.532637357711792,367.400322025,0.0,11491328.0,967.3857421875,0.0,28.309677124023438,-36.012184143066406,0.0,1774111131.8869905
0.0,960.7529296875,-27.504302978515625,0.0,11745280.0,0.0,1.0,,0.0,0.0,51160.02574101454,3.5589072704315186,373.087154139,0.0,11745280.0,960.7529296875,0.0,27.504302978515625,-37.32889175415039,0.0,1774111137.577754
0.0,965.9072265625,-29.261747360229492,0.0,11999232.0,0.0,1.0,,0.0,0.0,51119.04457626531,3.5990495681762695,378.776289962,0.0,11999232.0,965.9072265625,0.0,29.261747360229492,-38.22260284423828,0.0,1774111143.2649071
0.0,966.685546875,-27.947959899902344,0.0,12253184.0,0.0,1.0,,0.0,0.0,51116.00509551499,3.6446192264556885,384.46580625,0.0,12253184.0,966.685546875,0.0,27.947959899902344,-39.517845153808594,0.0,1774111148.95391
0.0,956.4365234375,-27.266950607299805,0.0,12507136.0,0.0,1.0,"{'sha256': 'b18aacaa41c02223ef70f079d00af7631a2e89eeb0264b3ae357672c0262048d', 'path': 'media/html/render_12507136_b18aacaa41c02223ef70.html', 'size': 820953, '_type': 'html-file'}",0.0,0.0,51089.03848926171,3.685054302215576,399.576839132,0.0,12507136.0,956.4365234375,0.0,27.266950607299805,-40.26533889770508,0.0,1774111169.7551165
0.0,967.0380859375,-27.272220611572266,0.0,12761088.0,0.0,0.9990234375,,0.0,0.0,51191.232226403496,3.7171285152435303,405.402978963,0.0,12761088.0,967.0380859375,0.0,27.272220611572266,-41.16508865356445,0.0,1774111169.899989
0.0,968.267578125,-26.98267364501953,0.0,13015040.0,0.0,0.9970703125,,0.0,0.0,51202.367289073685,3.7309415340423584,411.085257529,0.0,13015040.0,968.267578125,0.0,26.98267364501953,-41.68376159667969,0.0,1774111175.5808637
