eval/episode_reward_near,_timestamp,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_dist,eval/episode_reward_dist,_step,eval/episode_success,training/actor_loss,step,render,eval/episode_reward,training/sps,eval/episode_reward_survive,training/entropy,training/alpha_loss,training/log_alpha,training/critic_loss,eval/episode_success_any,_runtime,eval/episode_success_easy
0.0,1774122123.095424,0.0,0.0,29.051795959472656,-29.051795959472656,8443904.0,951.3232421875,-32.59912872314453,8443904.0,,951.3232421875,51330.52095401012,0.0,0.0,0.0,0.0,3.516281843185425,0.9931640625,273.704423899,0.0
0.0,1774122144.5492616,0.0,0.0,27.650468826293945,-27.650468826293945,8697856.0,958.8671875,-33.2912483215332,8697856.0,"{'size': 865609, '_type': 'html-file', 'sha256': '6d304514ac6148e38eda61fed31ffe525b82b1ed07e3e894ec098d75d63e9be6', 'path': 'media/html/render_8697856_6d304514ac6148e38eda.html'}",958.8671875,51405.617152645915,0.0,0.0,0.0,0.0,3.556783676147461,1.0,289.49924906,0.0
0.0,1774122144.7355285,0.0,0.0,29.12200927734375,-29.12200927734375,8951808.0,953.1396484375,-33.96528625488281,8951808.0,,953.1396484375,51169.731276062215,0.0,0.0,0.0,0.0,3.5562875270843506,1.0,295.396426566,0.0
0.0,1774122150.446001,0.0,0.0,27.69940185546875,-27.69940185546875,9205760.0,954.9755859375,-34.129791259765625,9205760.0,,954.9755859375,50920.44775915051,0.0,0.0,0.0,0.0,3.5882160663604736,1.0,301.08918013,0.0
0.0,1774122156.1387837,0.0,0.0,29.429697036743164,-29.429697036743164,9459712.0,943.8623046875,-34.49386978149414,9459712.0,,943.8623046875,51047.158087949334,0.0,0.0,0.0,0.0,3.645514726638794,0.9921875,306.78807009,0.0
0.0,1774122161.8370793,0.0,0.0,26.96095085144043,-26.96095085144043,9713664.0,959.9677734375,-34.63532257080078,9713664.0,,959.9677734375,51012.870048374374,0.0,0.0,0.0,0.0,3.613481283187866,1.0,312.471611871,0.0
0.0,1774122182.6284044,0.0,0.0,30.143756866455078,-30.143756866455078,9967616.0,948.7861328125,-34.85081481933594,9967616.0,"{'sha256': 'b25b2ff3f014e46d508a0e2d2f2594e9b742b656d6285b7ba53fb658811a9ebb', 'path': 'media/html/render_9967616_b25b2ff3f014e46d508a.html', 'size': 855865, '_type': 'html-file'}",948.7861328125,51136.16956697826,0.0,0.0,0.0,0.0,3.6170504093170166,1.0,327.578429621,0.0
0.0,1774122182.8193798,0.0,0.0,28.220561981201172,-28.220561981201172,10221568.0,963.009765625,-35.53746032714844,10221568.0,,963.009765625,51202.830021903996,0.0,0.0,0.0,0.0,3.6334774494171143,1.0,333.483534814,0.0
0.0,1774122188.5328755,0.0,0.0,30.09354591369629,-30.09354591369629,10475520.0,955.599609375,-36.1814079284668,10475520.0,,955.599609375,50890.31687762433,0.0,0.0,0.0,0.0,3.6762185096740723,0.994140625,339.194079965,0.0
0.0,1774122194.2432525,0.0,0.0,27.607036590576172,-27.607036590576172,10729472.0,956.7451171875,-37.131629943847656,10729472.0,,956.7451171875,50880.48857258211,0.0,0.0,0.0,0.0,3.719165325164795,0.9990234375,344.896670709,0.0
0.0,1774122199.9456418,0.0,0.0,26.776718139648438,-26.776718139648438,10983424.0,965.9873046875,-38.09010314941406,10983424.0,,965.9873046875,50954.24599584244,0.0,0.0,0.0,0.0,3.7385311126708984,1.0,350.60653033,0.0
0.0,1774122220.889135,0.0,0.0,29.418928146362305,-29.418928146362305,11237376.0,961.3984375,-39.178184509277344,11237376.0,"{'_type': 'html-file', 'sha256': '8702b651a5cf3303e032436933365fa87f656e0ce0b87cb6e5a278b26637475c', 'path': 'media/html/render_11237376_8702b651a5cf3303e032.html', 'size': 869493}",961.3984375,50886.80129703187,0.0,0.0,0.0,0.0,3.764673948287964,1.0,365.839130386,0.0
0.0,1774122221.105122,0.0,0.0,28.737503051757812,-28.737503051757812,11491328.0,943.478515625,-39.516475677490234,11491328.0,,943.478515625,50883.750477976304,0.0,0.0,0.0,0.0,3.7393829822540283,0.9970703125,371.774892084,0.0
