eval/episode_success,eval/episode_reward_survive,_step,training/entropy,training/actor_loss,training/critic_loss,training/alpha_loss,training/sps,_timestamp,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_success_any,eval/episode_dist,render,eval/episode_reward,_runtime,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_success_easy,step
0.2451171875,772.1240234375,3364864.0,0.0,-17.320377349853516,0.10225273668766022,2.574544669187162e-05,27994.40269075892,1773992321.3677568,0.0,0.0,0.0009765625,2607.97021484375,,0.2451171875,231.623584155,0.0,-1644.3970947265625,0.0,23.759765625,3364864.0
0.0,801.4521484375,3618816.0,0.0,-17.648799896240234,0.09392710775136948,5.024161873734556e-05,28000.470272683062,1773992365.4806728,0.0,0.0,0.0,2714.703857421875,"{'_type': 'html-file', 'sha256': '511a311dfd4bb92a6ba7082304bfe5616ff104ee2d5e2df50f0dbacd52b19578', 'path': 'media/html/render_3618816_511a311dfd4bb92a6ba7.html', 'size': 4144637.0}",0.0,263.649116282,0.0,-1675.730224609375,0.0,16.666015625,3618816.0
0.0,732.8330078125,3872768.0,0.0,-17.414379119873047,0.09439598023891449,1.8827613530447707e-05,27981.613090648338,1773992365.676542,0.0,0.0,0.0,2487.4013671875,,0.0,275.930429236,0.0,-1575.456787109375,0.0,12.310546875,3872768.0
0.0,881.2509765625,4126720.0,0.0,-18.731000900268555,0.0888308733701706,0.00010565956472419202,28020.49611955685,1773992377.760799,0.0,0.0,0.0,3015.48828125,,0.0,288.044109752,0.0,-1818.20068359375,0.0,24.1044921875,4126720.0
0.0,891.16015625,4380672.0,0.0,-18.562314987182617,0.08731719106435776,2.7398227757657878e-05,28046.997152069012,1773992389.8751118,0.0,0.0,0.0,3044.907470703125,,0.0,300.101553525,0.0,-1999.732666015625,0.0,16.677734375,4380672.0
0.0,853.3994140625,4634624.0,0.0,-18.39082145690918,0.08325374126434326,-8.540263479517307e-06,28094.60738816571,1773992401.9324176,0.0,0.0,0.0,2850.98876953125,,0.0,312.180437444,0.0,-1810.4189453125,0.0,21.140625,4634624.0
0.0,773.9697265625,4888576.0,0.0,-19.63142967224121,0.08355842530727386,1.209935453516664e-05,28155.098498474064,1773992445.8169684,0.0,0.0,0.0,2607.281005859375,"{'_type': 'html-file', 'sha256': 'e1dcc13170a301e3fca4f016033ce69af96e33d77eb0c0677598f591199fed68', 'path': 'media/html/render_4888576_e1dcc13170a301e3fca4.html', 'size': 4076609.0}",0.0,343.985404369,0.0,-1681.126953125,0.0,17.1318359375,4888576.0
0.0,761.3310546875,5142528.0,0.0,-18.840293884277344,0.08074069023132324,1.0190420880462625e-06,28129.538345168457,1773992446.0049102,0.0,0.0,0.0,2628.063232421875,,0.0,356.304136865,0.0,-1616.510009765625,0.0,18.6201171875,5142528.0
0.0,806.3798828125,5396480.0,0.0,-19.383012771606445,0.08572639524936676,-1.5829009498702362e-05,28020.760749296147,1773992458.1345558,0.0,0.0,0.0,2739.70751953125,,0.0,368.32027579,0.0,-1636.6162109375,0.0,20.71484375,5396480.0
0.017578125,712.9697265625,5650432.0,0.0,-19.536537170410156,0.08141575753688812,-1.2227260413055774e-06,28212.125177439557,1773992470.1511393,0.0,0.0,0.0009765625,2442.711181640625,,0.017578125,380.395189099,0.0,-1608.6761474609375,0.0,21.7265625,5650432.0
