training/log_alpha,eval/episode_success_easy,_step,training/entropy,eval/episode_dist,training/sps,eval/episode_reward_ctrl,eval/episode_success,_runtime,step,_timestamp,eval/episode_reward_dist,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward,training/actor_loss,training/alpha_loss,training/critic_loss
0.0,5.3154296875,13522944.0,0.0,2577.984375,28220.7591872298,-1582.751708984375,0.0654296875,878.076477436,13522944.0,1773986389.1677618,0.0,0.0,,757.884765625,0.0,0.0009765625,0.0654296875,-22.263504028320312,-2.8644042686210014e-05,0.07085894793272018
0.0,6.16796875,13776896.0,0.0,3006.546875,28108.645757273785,-1940.53271484375,0.2412109375,909.68817439,13776896.0,1773986432.8248408,0.0,0.0,"{'_type': 'html-file', 'sha256': '45e2290bf85b81bdac63e3bca56d39460c05399b9954a37192deaa688baf1f9a', 'path': 'media/html/render_13776896_45e2290bf85b81bdac63.html', 'size': 4128861.0}",877.482421875,0.0,0.0009765625,0.2412109375,-21.33397674560547,1.7612706869840622e-05,0.06695178896188736
0.0,11.6953125,14030848.0,0.0,2960.320556640625,28190.00480532668,-1778.785400390625,0.0,921.911548823,14030848.0,1773986432.9984806,0.0,0.0,,852.80859375,0.0,0.0,0.0,-22.086715698242188,-1.95355369214667e-05,0.07123498618602753
0.0,14.4453125,14284800.0,0.0,2863.78173828125,28114.39860627369,-1806.596435546875,0.0,933.993049253,14284800.0,1773986445.0477407,0.0,0.0,,841.859375,0.0,0.0,0.0,-22.50702476501465,5.965489890513709e-06,0.07058577239513397
0.0,9.5478515625,14538752.0,0.0,2555.17333984375,28147.71403146587,-1776.61181640625,0.0,946.039621759,14538752.0,1773986457.1290023,0.0,0.0,,769.857421875,0.0,0.0,0.0,-22.102298736572266,-2.2579386495635845e-05,0.07029463350772858
0.0,12.21875,14792704.0,0.0,2961.258544921875,28097.66371850335,-1954.419189453125,0.001953125,958.132460049,14792704.0,1773986469.175813,0.0,0.0,,866.0888671875,0.0,0.0009765625,0.001953125,-22.09266471862793,-8.278858877019957e-05,0.06859221309423447
0.0,10.779296875,15046656.0,0.0,2708.633544921875,28106.689108561844,-1606.41943359375,0.0,990.03355661,15046656.0,1773986513.1703236,0.0,0.0,"{'_type': 'html-file', 'sha256': '2668fa1d8322ffda17811eea2fc8d727695f3df143ecc7df33a94c94be928e1e', 'path': 'media/html/render_15046656_2668fa1d8322ffda1781.html', 'size': 4043513.0}",778.0322265625,0.0,0.0,0.0,-21.580232620239258,1.0455152732902206e-05,0.07136363536119461
0.0,11.2470703125,15300608.0,0.0,3232.32666015625,28075.164431978214,-2102.67626953125,0.0078125,1002.347204104,15300608.0,1773986513.3649242,0.0,0.0,,950.3212890625,0.0,0.001953125,0.0078125,-21.06177520751953,1.567639810673427e-05,0.0817161351442337
0.0,17.4375,15554560.0,0.0,2922.739990234375,28037.176084735267,-1801.4921875,0.00390625,1014.380622681,15554560.0,1773986525.4833267,0.0,0.0,,847.4912109375,0.0,0.001953125,0.00390625,-21.28622055053711,5.5347893066937104e-05,0.07523749023675919
0.0,14.091796875,15808512.0,0.0,2687.7353515625,28143.73658132853,-1599.5155029296875,0.0,1026.492700961,15808512.0,1773986537.5168066,0.0,0.0,,773.5595703125,0.0,0.0,0.0,-21.605470657348633,-2.0291296095820144e-05,0.07056073099374771
0.0,27.421875,16062464.0,0.0,2203.7265625,28050.797343007063,-1487.22119140625,0.453125,1038.54669522,16062464.0,1773986549.6288414,0.0,0.0,,672.9306640625,0.0,0.001953125,0.453125,-21.093412399291992,-9.301288628194015e-06,0.07776431739330292
0.0,11.412109375,16316416.0,0.0,2116.609130859375,28090.9723770617,-1273.150390625,0.005859375,1071.440516657,16316416.0,1773986594.5772822,0.0,0.0,"{'_type': 'html-file', 'sha256': '5a73315f4e29fb9f121eb352e6a4e7bd56780f7c0e074b9f558b073ed8ce459b', 'path': 'media/html/render_16316416_5a73315f4e29fb9f121e.html', 'size': 4125701.0}",631.404296875,0.0,0.0009765625,0.005859375,-21.65001106262207,-8.652151154819876e-05,0.07580862939357758
0.0,4.4404296875,16570368.0,0.0,2691.244384765625,28074.103308774236,-1613.4925537109375,0.0,1083.728625312,16570368.0,1773986594.7831693,0.0,0.0,,789.353515625,0.0,0.0,0.0,-21.294649124145508,-8.103750587906688e-06,0.08016908913850784
0.0,14.50390625,16824320.0,0.0,2445.5712890625,28029.603287622034,-1523.996337890625,0.0029296875,1095.807693045,16824320.0,1773986606.8648176,0.0,0.0,,709.5634765625,0.0,0.0009765625,0.0029296875,-21.622941970825195,6.32558367215097e-05,0.0829034298658371
