training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
-23.05241584777832,0.0,-1856.91748046875,834.45703125,0.7373046875,21.41015625,-2.8949258194188587e-05,,0.7373046875,0.0,0.005859375,465.075562301,0.0,7174144.0,0.07750605046749115,7174144.0,0.0,0.0,28071.85109271295,2825.71435546875,1774005726.3405318
-24.290035247802734,0.0,-1750.393310546875,804.2021484375,0.0,17.9736328125,-1.961841007869225e-05,"{'sha256': 'f6305477f68f2f57b52c3b1320581c558165d7f762f3ef2a1c1ac43b0bebe6a8', 'path': 'media/html/render_7428096_f6305477f68f2f57b52c.html', 'size': 4076617.0, '_type': 'html-file'}",0.0,0.0,0.0,497.213367021,0.0,7428096.0,0.07837248593568802,7428096.0,0.0,0.0,28169.35831439556,2736.370361328125,1774005770.5513773
-23.229658126831055,0.0,-1750.2601318359375,803.921875,0.0,16.3525390625,-0.00014722217747475952,,0.0,0.0,0.0,509.539710711,0.0,7682048.0,0.08887976408004761,7682048.0,0.0,0.0,28086.091117008615,2737.06103515625,1774005770.7416048
-22.714370727539062,0.0,-2029.983154296875,822.833984375,0.0322265625,5.5390625,8.88663053046912e-05,,0.0322265625,0.0,0.0009765625,521.588932711,0.0,7936000.0,0.0802978053689003,7936000.0,0.0,0.0,28002.420994036205,2836.29736328125,1774005782.8767483
-23.487567901611328,0.0,-1631.0257568359375,721.6337890625,0.642578125,16.4189453125,-1.542069912829902e-05,,0.642578125,0.0,0.001953125,533.698065644,0.0,8189952.0,0.081466905772686,8189952.0,0.0,0.0,28106.693558553092,2469.27001953125,1774005794.9265668
-23.180543899536133,0.0,-1549.6937255859375,784.994140625,0.126953125,16.3525390625,-4.039668419864029e-05,,0.126953125,0.0,0.0009765625,545.795151651,0.0,8443904.0,0.07971646636724472,8443904.0,0.0,0.0,28070.315294530123,2728.907470703125,1774005807.035647
-21.597047805786133,0.0,-1795.9951171875,876.1845703125,0.0,18.619140625,8.173276000889018e-06,"{'path': 'media/html/render_8697856_d3b3cf07313e93829e15.html', 'size': 4167909.0, '_type': 'html-file', 'sha256': 'd3b3cf07313e93829e15875ca6eaa6aacfd364c811e9fe95a00187efe2ba9578'}",0.0,0.0,0.0,577.322345038,0.0,8697856.0,0.08083931356668472,8697856.0,0.0,0.0,27960.23276312392,3036.91552734375,1774005850.6604278
-22.718666076660156,0.0,-1335.600341796875,697.4267578125,0.4482421875,20.189453125,-3.286015271442011e-05,,0.4482421875,0.0,0.0009765625,589.659347375,0.0,8951808.0,0.08036206662654877,8951808.0,0.0,0.0,28017.46023792454,2380.54443359375,1774005850.85279
-21.700918197631836,0.0,-1752.8304443359375,845.5947265625,0.26171875,22.1591796875,1.8226788597530685e-05,,0.26171875,0.0,0.001953125,601.79887582,0.0,9205760.0,0.07845819741487503,9205760.0,0.0,0.0,27827.55908673935,2889.3154296875,1774005862.9969132
-21.898019790649414,0.0,-1895.51220703125,823.138671875,0.7333984375,20.955078125,-1.8626054952619597e-05,,0.7333984375,0.0,0.0029296875,613.894861669,0.0,9459712.0,0.07702093571424484,9459712.0,0.0,0.0,27952.958950096963,2823.271240234375,1774005875.1363714
