eval/episode_reward_dist,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,_timestamp,eval/episode_reward_ctrl,_runtime,training/sps,training/actor_loss,_step,training/critic_loss,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,training/entropy,eval/episode_reward,eval/episode_success_easy,training/log_alpha,eval/episode_success,step
0.0,0.0,6575.6748046875,0.0,1774283993.8767824,-3063.79296875,2443.843114109,30182.163745974052,-0.7186626195907593,21903360.0,0.24436238408088684,0.0,770.060546875,,0.0185546875,0.0,11.365234375,14.4375,0.0,11.365234375,21903360.0
0.0,0.0,7320.03515625,0.0,1774284016.3852854,-3384.22802734375,2466.597435165,30412.714476726214,-0.7100182175636292,22157312.0,0.24581925570964813,0.0,850.6943359375,,0.0107421875,0.0,6.4794921875,8.822265625,0.0,6.4794921875,22157312.0
0.0,0.0,6187.55029296875,0.0,1774284039.13948,-2894.08642578125,2489.10066575,30278.114697098437,-0.8257909417152405,22411264.0,0.2678932845592499,0.0,734.7998046875,,0.015625,0.0,7.935546875,10.5927734375,0.0,7.935546875,22411264.0
0.0,0.0,6596.9931640625,0.0,1774284111.083413,-2978.82177734375,2538.54056963,30407.83161522181,-0.7193952798843384,22665216.0,0.2484872192144394,0.0,751.21875,"{'path': 'media/html/render_22665216_ae7d35c585401aec2299.html', 'size': 3724857.0, '_type': 'html-file', 'sha256': 'ae7d35c585401aec2299c3590d3bb68b1d2c05661427022a43893a3a6d1c9a8f'}",0.0390625,0.0,24.3330078125,29.626953125,0.0,24.3330078125,22665216.0
0.0,0.0,6901.181640625,0.0,1774284111.2917194,-3172.80712890625,2561.279433167,30218.297324822273,-0.7385646104812622,22919168.0,0.27307525277137756,0.0,808.5126953125,,0.0087890625,0.0,6.208984375,7.68359375,0.0,6.208984375,22919168.0
0.0,0.0,7073.5302734375,0.0,1774284133.8216789,-3322.77490234375,2584.044474446,30336.79289809006,-0.6426606774330139,23173120.0,0.24685731530189514,0.0,833.337890625,,0.0068359375,0.0,3.65625,5.068359375,0.0,3.65625,23173120.0
0.0,0.0,6627.453125,0.0,1774284156.5864592,-3098.744384765625,2606.539372086,30236.081148768637,-0.7494189143180847,23427072.0,0.25972384214401245,0.0,783.732421875,,0.0556640625,0.0,36.6943359375,50.7236328125,0.0,36.6943359375,23427072.0
0.0,0.0,7291.775390625,0.0,1774284179.0814946,-3364.566650390625,2629.307801713,30415.040117371038,-0.8226671814918518,23681024.0,0.26209259033203125,0.0,846.2392578125,,0.0234375,0.0,12.169921875,20.47265625,0.0,12.169921875,23681024.0
0.0,0.0,6607.27197265625,0.0,1774284251.2064853,-3130.2880859375,2678.663628162,30223.750681725047,-0.8928354382514954,23934976.0,0.28093957901000977,0.0,789.654296875,"{'path': 'media/html/render_23934976_64c8027e587591d3237c.html', 'size': 3660085.0, '_type': 'html-file', 'sha256': '64c8027e587591d3237cb9277c5e401fc0fb66b39693ac2cb3134b47b4e6b266'}",0.0107421875,0.0,7.771484375,13.953125,0.0,7.771484375,23934976.0
0.0,0.0,5998.57470703125,0.0,1774284251.4194314,-2769.6572265625,2701.672343467,30429.40826634557,-0.9297104477882385,24188928.0,0.27896368503570557,0.0,698.7626953125,,0.02734375,0.0,19.5615234375,25.9541015625,0.0,19.5615234375,24188928.0
0.0,0.0,6394.38037109375,0.0,1774284274.2146823,-2989.61962890625,2724.174149682,30172.78465281445,-1.0066988468170166,24442880.0,0.28473785519599915,0.0,752.22265625,,0.00390625,0.0,1.6943359375,2.19921875,0.0,1.6943359375,24442880.0
0.0,0.0,6532.4912109375,0.0,1774284296.7162986,-3115.99169921875,2746.941828486,30363.576333151483,-0.9731691479682922,24696832.0,0.2818213999271393,0.0,781.3798828125,,0.005859375,0.0,2.3525390625,6.23828125,0.0,2.3525390625,24696832.0
0.0,0.0,7149.8447265625,0.0,1774284319.4841192,-3508.130126953125,2769.428956668,30208.896621490527,-1.04098641872406,24950784.0,0.2980726361274719,0.0,878.298828125,,0.0,0.0,0.0,0.0,0.0,0.0,24950784.0
0.0,0.0,6187.0341796875,0.0,1774284390.4871073,-3039.8310546875,2817.944295136,30451.982767721955,-0.9866030812263489,25204736.0,0.2819206118583679,0.0,765.0732421875,"{'path': 'media/html/render_25204736_b43d9ea7bd9c1f273ff6.html', 'size': 3683065.0, '_type': 'html-file', 'sha256': 'b43d9ea7bd9c1f273ff66f559526f121fcb4b903bfa57e6483343275fa4eb519'}",0.015625,0.0,11.212890625,15.0576171875,0.0,11.212890625,25204736.0
0.0,0.0,6540.2236328125,0.0,1774284390.7195172,-2954.19921875,2840.717142185,30187.45349160791,-1.0105270147323608,25458688.0,0.3109813928604126,0.0,740.794921875,,0.0205078125,0.0,13.0205078125,16.212890625,0.0,13.0205078125,25458688.0
0.0,0.0,6574.6953125,0.0,1774284413.2593813,-3155.08984375,2863.481604944,30320.651081075965,-0.9377792477607727,25712640.0,0.2996256649494171,0.0,791.6396484375,,0.0087890625,0.0,5.8203125,8.880859375,0.0,5.8203125,25712640.0
0.0,0.0,4242.5654296875,0.0,1774284436.0236788,-2012.160400390625,2885.971653423,30242.178888069328,-0.8892800807952881,25966592.0,0.30311816930770874,0.0,507.9267578125,,0.0263671875,0.0,13.759765625,32.001953125,0.0,13.759765625,25966592.0
0.0,0.0,6390.98486328125,0.0,1774284458.513611,-2978.691650390625,2908.732049321,30467.00893185342,-0.8900734782218933,26220544.0,0.2996487021446228,0.0,747.6162109375,,0.0107421875,0.0,6.7490234375,8.4365234375,0.0,6.7490234375,26220544.0
0.0,0.0,5018.541015625,0.0,1774284530.6581771,-2433.747314453125,2958.115319946,30252.222380805204,-0.9570146799087524,26474496.0,0.32150527834892273,0.0,612.41796875,"{'_type': 'html-file', 'sha256': 'd7752cbe580200cd6f702c5154f2f6f49fb1a106003445aba253297abcd671a0', 'path': 'media/html/render_26474496_d7752cbe580200cd6f70.html', 'size': 3644917.0}",0.0390625,0.0,23.48046875,32.556640625,0.0,23.48046875,26474496.0
0.0,0.0,6713.33642578125,0.0,1774284530.8802917,-3095.052978515625,2981.151026484,30441.504327735944,-1.061829924583435,26728448.0,0.3076283037662506,0.0,779.5283203125,,0.0341796875,0.0,21.1328125,26.2626953125,0.0,21.1328125,26728448.0
