training/actor_loss,eval/episode_reward_survive,training/sps,render,_runtime,eval/episode_success,training/entropy,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any,eval/episode_reward,eval/episode_reward_near,training/critic_loss,eval/episode_success_easy,step,eval/episode_success_hard,training/alpha_loss,_step
0.09695291519165039,639.51171875,29987.23737693402,"{'path': 'media/html/render_22665216_16e8c0b655e7b2bd73b3.html', 'size': 3735745.0, '_type': 'html-file', 'sha256': '16e8c0b655e7b2bd73b3d069222ca96e15c50b2e5f3fe3dd7adef4813c603de9'}",2549.715799303,0.0,0.0,0.0,0.0,5091.67431640625,1774536591.9149692,-2550.543212890625,0.0,0.0,0.0,0.005652101710438728,1.5390625,22665216.0,0.0,0.0,22665216.0
0.08886274695396423,698.2802734375,29751.50559300219,,2572.608501825,0.0,0.0,0.0,0.0,5889.19970703125,1774536592.1474829,-2785.438720703125,0.0,0.0,0.0,0.008003265596926212,0.1298828125,22919168.0,0.0,0.0,22919168.0
0.07715922594070435,715.1142578125,29921.341672884173,,2595.516357484,0.0,0.0,0.0,0.0,5662.50244140625,1774536614.8067503,-2852.142578125,0.0,0.0,0.0,0.009158735163509846,0.0,23173120.0,0.0,0.0,23173120.0
0.07724322378635406,591.5185546875,29754.564856092806,,2618.183289588,0.0,0.0,0.0,0.0,4599.5537109375,1774536637.7149343,-2358.98828125,0.0,0.0,0.0,0.010186935774981976,0.0185546875,23427072.0,0.0,0.0,23427072.0
0.09352464973926544,929.7109375,29968.809855265663,,2641.094956054,0.0,0.0,0.0,0.0,7726.5634765625,1774536660.3812249,-3716.632568359375,0.0,0.0,0.0,0.007678218651562929,2.697265625,23681024.0,0.0,0.0,23681024.0
0.08770213276147842,992.8046875,29744.825771084685,"{'path': 'media/html/render_23934976_e3aec50133f1af9e7f12.html', 'size': 3715177.0, '_type': 'html-file', 'sha256': 'e3aec50133f1af9e7f125d5100a31de15b261b31a902cd5b91bb672e259942b4'}",2690.743715107,0.0,0.0,0.0,0.0,8236.259765625,1774536732.942795,-3970.90478515625,0.0,0.0,0.0,0.0075699626468122005,0.0,23934976.0,0.0,0.0,23934976.0
0.08637238293886185,837.7421875,30001.918142271228,,2713.925656735,0.0,0.0,0.0,0.0,6617.04833984375,1774536733.197763,-3346.635009765625,0.0,0.0,0.0,0.005572529975324869,0.0,24188928.0,0.0,0.0,24188928.0
0.08979722112417221,824.7275390625,29673.500128148953,,2736.544142899,0.0,0.0,0.0,0.0,6490.2783203125,1774536756.1240482,-3295.053466796875,0.0,0.0,0.0,0.00668032793328166,0.0224609375,24442880.0,0.0,0.0,24442880.0
0.08048577606678009,981.47265625,30039.67377245713,,2759.453347016,0.0,0.0,0.0,0.0,8236.330078125,1774536778.742725,-3925.2021484375,0.0,0.0,0.0,0.00832709763199091,0.3701171875,24696832.0,0.0,0.0,24696832.0
0.09040514379739761,958.177734375,29755.080197306434,,2782.091415873,0.0,0.0,0.0,0.0,7595.87744140625,1774536801.6518219,-3828.2392578125,0.0,0.0,0.0,0.007741841953247786,1.103515625,24950784.0,0.0,0.0,24950784.0
