training/critic_loss,eval/episode_success_hard,_step,render,training/entropy,eval/episode_reward,eval/episode_success_any,eval/episode_success_easy,eval/episode_dist,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,training/log_alpha,eval/episode_reward_survive,training/actor_loss,step,_timestamp,_runtime,training/sps,eval/episode_reward_near,eval/episode_success
0.012460516765713692,0.0,3364864.0,,0.0,3.2802734375,0.01953125,39.4931640625,2487.10791015625,0.0,-1197.317626953125,0.0,0.0,328.2744140625,-0.12102729082107544,3364864.0,1774304821.7003305,389.107897797,29871.496826402727,0.0,3.2802734375
0.013957435265183449,0.0,3618816.0,"{'path': 'media/html/render_3618816_93f521e3471b91f8af28.html', 'size': 3754685.0, '_type': 'html-file', 'sha256': '93f521e3471b91f8af2849fb65e7c6b8ac097f73ce12612463b30b04d0d56a3e'}",0.0,0.3583984375,0.005859375,14.1181640625,5258.72265625,0.0,-2301.57373046875,0.0,0.0,612.0302734375,-0.12426868826150894,3618816.0,1774304892.7399917,437.386686328,29862.46551154188,0.0,0.3583984375
0.015995599329471588,0.0,3872768.0,,0.0,0.7529296875,0.009765625,12.1591796875,5257.0205078125,0.0,-2401.225341796875,0.0,0.0,635.4306640625,-0.16536997258663177,3872768.0,1774304892.9400504,460.448350239,29965.195519016295,0.0,0.7529296875
0.018236570060253143,0.0,4126720.0,,0.0,0.2216796875,0.0029296875,7.21875,6029.38037109375,0.0,-2535.2998046875,0.0,0.0,658.3486328125,-0.18932002782821655,4126720.0,1774304915.801184,483.107313718,29752.467102877126,0.0,0.2216796875
0.020639406517148018,0.0,4380672.0,,0.0,1.9443359375,0.0146484375,34.5146484375,7402.73046875,0.0,-3407.890625,0.0,0.0,871.873046875,-0.20110277831554413,4380672.0,1774304938.4599907,505.923183,29905.090549893037,0.0,1.9443359375
0.022955873981118202,0.0,4634624.0,,0.0,4.736328125,0.01953125,20.00390625,5298.041015625,0.0,-2352.322509765625,0.0,0.0,603.4375,-0.20931464433670044,4634624.0,1774304961.2758608,528.581571848,29886.289188890103,0.0,4.736328125
0.026111837476491928,0.0,4888576.0,"{'path': 'media/html/render_4888576_a91eddab368c29bc5e60.html', 'size': 3654325.0, '_type': 'html-file', 'sha256': 'a91eddab368c29bc5e6086dfbb49e67580ddb8be1a576a7ca592c1507739444b'}",0.0,6.09375,0.0234375,42.5380859375,6007.046875,0.0,-3016.5087890625,0.0,0.0,778.603515625,-0.1983276754617691,4888576.0,1774305033.0081625,577.654873135,29907.790986313477,0.0,6.09375
0.029196182265877724,0.0,5142528.0,,0.0,11.443359375,0.037109375,40.0517578125,6002.0,0.0,-2946.016845703125,0.0,0.0,760.7080078125,-0.20149017870426178,5142528.0,1774305033.2341344,600.565796162,29837.96094008725,0.0,11.443359375
0.03366920351982117,0.0,5396480.0,,0.0,14.333984375,0.0380859375,35.09765625,5713.6630859375,0.0,-2727.298583984375,0.0,0.0,703.951171875,-0.2174503207206726,5396480.0,1774305055.9185443,623.384463023,29845.303153882072,0.0,14.333984375
0.03756414353847504,0.0,5650432.0,,0.0,16.99609375,0.0419921875,43.056640625,6168.9384765625,0.0,-2947.16162109375,0.0,0.0,753.8994140625,-0.225732684135437,5650432.0,1774305078.737193,646.041300645,29859.799202786966,0.0,16.99609375
0.04319841414690018,0.0,5904384.0,,0.0,13.4833984375,0.0458984375,51.2685546875,4514.5078125,0.0,-2247.00927734375,0.0,0.0,583.6533203125,-0.22495044767856598,5904384.0,1774305101.3939981,668.868335909,29891.167869640336,0.0,13.4833984375
