eval/episode_reward,eval/episode_reward_dist,training/alpha_loss,eval/episode_success,eval/episode_reward_survive,_step,step,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,_runtime,render,training/log_alpha,training/entropy,eval/episode_reward_ctrl,_timestamp,eval/episode_reward_near,eval/episode_success_any,eval/episode_dist,training/sps,training/actor_loss
0.55078125,0.0,0.0,0.55078125,473.7607421875,3364864.0,3364864.0,0.008164022117853165,0.0,12.98828125,389.063721052,,0.0,0.0,-1784.626220703125,1774299101.7244027,0.0,0.00390625,4133.06494140625,29847.690862369058,-0.05765422433614731
0.548828125,0.0,0.0,0.548828125,653.037109375,3618816.0,3618816.0,0.008449259214103222,0.0,16.2666015625,437.395568488,"{'path': 'media/html/render_3618816_5a38ef1bc684c95827a8.html', 'size': 3690497.0, '_type': 'html-file', 'sha256': '5a38ef1bc684c95827a8d617c644daaac777f7a2e87f2f35b335b361eec80f76'}",0.0,0.0,-2372.869140625,1774299172.8147628,0.0,0.0048828125,5636.57080078125,29885.83637511864,-0.035028763115406036
0.880859375,0.0,0.0,0.880859375,707.5849609375,3872768.0,3872768.0,0.010022652335464954,0.0,11.494140625,460.457035064,,0.0,0.0,-2567.00634765625,1774299173.012529,0.0,0.0107421875,6201.58642578125,29957.900369563085,-0.02599151059985161
1.8857421875,0.0,0.0,1.8857421875,595.62890625,4126720.0,4126720.0,0.011195151135325432,0.0,7.3984375,483.114422661,,0.0,0.0,-2194.16552734375,1774299195.8756433,0.0,0.0087890625,5197.41015625,29759.086337126613,-0.00436375942081213
2.66015625,0.0,0.0,2.66015625,794.765625,4380672.0,4380672.0,0.011457197368144989,0.0,22.98828125,505.940491763,,0.0,0.0,-2865.336669921875,1774299218.53301,0.0,0.015625,6890.83349609375,29914.36694240129,0.020518047735095024
0.056640625,0.0,0.0,0.056640625,659.779296875,4634624.0,4634624.0,0.010786030441522598,0.0,5.1806640625,528.596759191,,0.0,0.0,-2361.50146484375,1774299241.3586864,0.0,0.005859375,5304.1904296875,29861.182945040524,0.03035097010433674
0.0703125,0.0,0.0,0.0703125,700.376953125,4888576.0,4888576.0,0.013333776965737343,0.0,2.1826171875,577.702532439,"{'_type': 'html-file', 'sha256': '84f12fc2bd699238547819f5eeaa687678ceafd185d6b9bb8547296849c42e78', 'path': 'media/html/render_4888576_84f12fc2bd6992385478.html', 'size': 3728905.0}",0.0,0.0,-2608.54052734375,1774299313.121695,0.0,0.0029296875,5957.27490234375,29915.822963913997,0.019950611516833305
0.0498046875,0.0,0.0,0.0498046875,578.646484375,5142528.0,5142528.0,0.014508165419101715,0.0,0.361328125,600.606878334,,0.0,0.0,-2181.73779296875,1774299313.3333805,0.0,0.0029296875,4322.0791015625,29825.380064187386,0.015749242156744003
0.0,0.0,0.0,0.0,413.6611328125,5396480.0,5396480.0,0.013992873951792717,0.0,2.8486328125,623.436963095,,0.0,0.0,-1545.274169921875,1774299336.0254834,0.0,0.0,3030.61328125,29828.914804861022,0.000372199690900743
2.19921875,0.0,0.0,2.19921875,358.1201171875,5650432.0,5650432.0,0.017554864287376404,0.0,9.6103515625,646.080487728,,0.0,0.0,-1325.271728515625,1774299358.8555534,0.0,0.005859375,2951.17529296875,29845.715434924703,-0.018661707639694214
1.7822265625,0.0,0.0,1.7822265625,575.8662109375,5904384.0,5904384.0,0.0168793722987175,0.0,18.724609375,668.890023778,,0.0,0.0,-2186.09814453125,1774299381.4991033,0.0,0.0126953125,4624.18603515625,29958.77920639682,0.009182022884488106
