_step,eval/episode_reward_survive,training/entropy,eval/episode_success_hard,eval/episode_success,eval/episode_reward_dist,training/actor_loss,_runtime,eval/episode_reward_near,eval/episode_reward_ctrl,training/alpha_loss,render,eval/episode_success_any,eval/episode_success_easy,training/sps,eval/episode_dist,eval/episode_reward,step,_timestamp,training/log_alpha,training/critic_loss
8412160.0,0.0,0.0,0.0,0.005859375,0.0,-0.006426119711250067,772.962988936,0.0,0.0,5.083608534128814e-10,,0.00390625,16.7109375,21835.67362811676,234.1145782470703,0.005859375,8412160.0,1773992868.7468069,0.0,8.583282033214346e-05
8666112.0,0.0,0.0,0.0,0.015625,0.0,-0.007251545321196318,788.54763826,0.0,0.0,3.8944938940410623e-10,,0.00390625,12.4609375,21820.035155114743,148.5423583984375,0.015625,8666112.0,1773992884.361217,0.0,8.669896487845108e-05
8920064.0,0.0,0.0,0.0,0.0,0.0,-0.006204176694154739,804.129474673,0.0,0.0,2.9387212108211713e-10,,0.0,11.734375,21865.957625177485,135.00303649902344,0.0,8920064.0,1773992899.945771,0.0,7.520636427216232e-05
9174016.0,0.0,0.0,0.0,0.00390625,0.0,-0.007350809406489134,819.714253481,0.0,0.0,1.4068468612293827e-10,,0.001953125,16.388671875,21863.32843133673,191.20077514648438,0.00390625,9174016.0,1773992915.5275419,0.0,0.00010062278306577355
9427968.0,0.0,0.0,0.0,0.0,0.0,-0.00716907624155283,862.221130024,0.0,0.0,2.628475492816307e-10,"{'size': 4722109.0, '_type': 'html-file', 'sha256': 'f7f05e456305432a6c87552c7843a3f1f0209215ff34ffb50b9d1d19ac920d9f', 'path': 'media/html/render_9427968_f7f05e456305432a6c87.html'}",0.0,20.19140625,21866.691111605636,225.87509155273438,0.0,9427968.0,1773992973.6198115,0.0,8.049837197177112e-05
9681920.0,0.0,0.0,0.0,0.0,0.0,-0.007511918433010578,878.051191954,0.0,0.0,2.323393560876852e-10,,0.0,16.474609375,21857.51126523236,207.19302368164062,0.0,9681920.0,1773992973.8264785,0.0,9.757281077327207e-05
9935872.0,0.0,0.0,0.0,0.0,0.0,-0.007581367623060942,893.636658797,0.0,0.0,2.7878646613466174e-10,,0.0,17.072265625,21811.938226259565,205.8087158203125,0.0,9935872.0,1773992989.4492643,0.0,9.06258137547411e-05
10189824.0,0.0,0.0,0.0,0.0,0.0,-0.007603644859045744,909.218978539,0.0,0.0,2.747103378109017e-10,,0.0,15.90625,21858.321337418663,213.62286376953125,0.0,10189824.0,1773993005.0348308,0.0,9.658535418566316e-05
10443776.0,0.0,0.0,0.0,0.0,0.0,-0.007772026117891073,924.800338244,0.0,0.0,2.6100407946039184e-10,,0.0,18.228515625,21870.746824014484,210.1495819091797,0.0,10443776.0,1773993020.6170032,0.0,9.27072178456001e-05
10697728.0,0.0,0.0,0.0,0.0,0.0,-0.007872553542256355,966.375736886,0.0,0.0,1.380574404796775e-10,"{'size': 4719493.0, '_type': 'html-file', 'sha256': '95ef7bbb39ac5e10c39430dcf73ddefddf136f31a427f0b3aeb7d8cfcf08d556', 'path': 'media/html/render_10697728_95ef7bbb39ac5e10c394.html'}",0.0,15.62890625,21866.91332191831,186.24685668945312,0.0,10697728.0,1773993077.7744858,0.0,0.00010123589163413271
10951680.0,0.0,0.0,0.0,0.0234375,0.0,-0.007918477058410645,982.183876894,0.0,0.0,1.1682582679028997e-10,,0.00390625,17.044921875,21898.965128640335,218.03138732910156,0.0234375,10951680.0,1773993077.9807093,0.0,9.259732178179547e-05
11205632.0,0.0,0.0,0.0,0.01953125,0.0,-0.006915145553648472,997.760034733,0.0,0.0,1.6829120041972345e-10,,0.00390625,18.337890625,21839.92786117413,211.71807861328125,0.01953125,11205632.0,1773993093.5821664,0.0,8.753137808525935e-05
11459584.0,0.0,0.0,0.0,0.0078125,0.0,-0.0071042850613594055,1013.336872952,0.0,0.0,1.6424492321753803e-10,,0.001953125,18.658203125,21882.495908104815,241.77459716796875,0.0078125,11459584.0,1773993109.1578038,0.0,8.108292968245223e-05
11713536.0,0.0,0.0,0.0,0.0,0.0,-0.00785173662006855,1028.915785854,0.0,0.0,1.266369092922659e-10,,0.0,15.412109375,21866.354886810124,207.94195556640625,0.0,11713536.0,1773993124.7351935,0.0,0.00010318594286218286
11967488.0,0.0,0.0,0.0,0.0078125,0.0,-0.007639944087713957,1071.200898628,0.0,0.0,1.2760183187854324e-10,"{'path': 'media/html/render_11967488_88358c519ba01e81547a.html', 'size': 4716209.0, '_type': 'html-file', 'sha256': '88358c519ba01e81547aec27d7a5042ebc3dce3df817859e0057b6d876b894c6'}",0.001953125,18.57421875,21884.377005047318,215.67251586914062,0.0078125,11967488.0,1773993182.5996506,0.0,9.586443775333464e-05
12221440.0,0.0,0.0,0.0,0.00390625,0.0,-0.007443562615662813,1087.012965121,0.0,0.0,1.6086457166331058e-10,,0.001953125,16.56640625,21856.262633693546,221.78533935546875,0.00390625,12221440.0,1773993182.799466,0.0,8.499792602378875e-05
12475392.0,0.0,0.0,0.0,0.00390625,0.0,-0.007085349410772324,1102.594853885,0.0,0.0,1.5644656403690504e-10,,0.001953125,18.529296875,21837.358647006688,219.79611206054688,0.00390625,12475392.0,1773993198.4111764,0.0,8.816841727821156e-05
12729344.0,0.0,0.0,0.0,0.017578125,0.0,-0.007592521142214537,1118.170344712,0.0,0.0,1.5098208794306345e-10,,0.00390625,18.96484375,21858.02035674467,220.87115478515625,0.017578125,12729344.0,1773993213.9930284,0.0,9.611051063984632e-05
12983296.0,0.0,0.0,0.0,0.0625,0.0,-0.007632832508534193,1133.75017322,0.0,0.0,1.3394732545357613e-10,,0.009765625,16.72265625,21881.86789875173,218.49868774414062,0.0625,12983296.0,1773993229.5685585,0.0,8.878764492692426e-05
13237248.0,0.0,0.0,0.0,0.001953125,0.0,-0.007087227422744036,1175.530682786,0.0,0.0,9.686242086193175e-11,"{'path': 'media/html/render_13237248_eac24fcc6512355e5e65.html', 'size': 4715245.0, '_type': 'html-file', 'sha256': 'eac24fcc6512355e5e650a337986b9addba857bffce8ce4c5fc6187d5b691cbd'}",0.001953125,14.9453125,21867.47717279838,181.31402587890625,0.001953125,13237248.0,1773993286.9294105,0.0,8.741529745748267e-05
13491200.0,0.0,0.0,0.0,0.017578125,0.0,-0.007356935180723667,1191.362982776,0.0,0.0,8.922085292795146e-11,,0.00390625,16.544921875,21873.574994162744,215.31100463867188,0.017578125,13491200.0,1773993287.1361268,0.0,8.83950779098086e-05
13745152.0,0.0,0.0,0.0,0.009765625,0.0,-0.007624785881489515,1206.953048434,0.0,0.0,1.0254955912225583e-10,,0.001953125,16.056640625,21795.74052885542,231.77664184570312,0.009765625,13745152.0,1773993302.7612882,0.0,9.668821439845487e-05
13999104.0,0.0,0.0,0.0,0.0,0.0,-0.00788542814552784,1222.531735716,0.0,0.0,1.0742479822356543e-10,,0.0,16.654296875,21857.67497929922,224.06588745117188,0.0,13999104.0,1773993318.3507886,0.0,9.841431892709807e-05
14253056.0,0.0,0.0,0.0,0.017578125,0.0,-0.00838000699877739,1238.122527641,0.0,0.0,1.0600680055983247e-10,,0.00390625,18.837890625,21861.568957123836,225.8319091796875,0.017578125,14253056.0,1773993333.929999,0.0,9.870455687632784e-05
14507008.0,0.0,0.0,0.0,0.013671875,0.0,-0.008328916504979134,1279.783473514,0.0,0.0,-7.62761815514823e-12,"{'path': 'media/html/render_14507008_81d33896c7f297a2b201.html', 'size': 4717465.0, '_type': 'html-file', 'sha256': '81d33896c7f297a2b201df4972dbf9316685a12f655717e3a2d012a21b8ca1a7'}",0.00390625,16.0859375,21860.34453738224,202.03598022460938,0.013671875,14507008.0,1773993391.182204,0.0,0.00010467499669175595
14760960.0,0.0,0.0,0.0,0.0078125,0.0,-0.007829500362277031,1295.60042137,0.0,0.0,8.288586483828908e-11,,0.00390625,17.7734375,21841.54814702019,228.62112426757812,0.0078125,14760960.0,1773993391.3937936,0.0,8.929048635764048e-05
15014912.0,0.0,0.0,0.0,0.0,0.0,-0.0080410810187459,1311.174029265,0.0,0.0,5.159721955250163e-11,,0.0,15.123046875,21848.833446011427,193.34646606445312,0.0,15014912.0,1773993406.9985895,0.0,9.89465625025332e-05
15268864.0,0.0,0.0,0.0,0.001953125,0.0,-0.008907805196940899,1326.751687247,0.0,0.0,4.577953294226944e-11,,0.001953125,15.57421875,21872.50912334486,185.10629272460938,0.001953125,15268864.0,1773993422.5722406,0.0,0.00010202592966379598
15522816.0,0.0,0.0,0.0,0.0546875,0.0,-0.007559279911220074,1342.304123549,0.0,0.0,3.671021125972729e-11,,0.0078125,18.931640625,21880.937414302894,213.89718627929688,0.0546875,15522816.0,1773993438.1498504,0.0,9.111360850511119e-05
15776768.0,0.0,0.0,0.0,0.0078125,0.0,-0.007306444458663464,1384.206214436,0.0,0.0,6.921158091088842e-11,"{'sha256': '7f9eea38b8f52596d80f074590f46cd51e7bbe5e9bb8ad429bfbdd749e36ec4c', 'path': 'media/html/render_15776768_7f9eea38b8f52596d80f.html', 'size': 4708977.0, '_type': 'html-file'}",0.00390625,18.982421875,21918.43917465406,221.007080078125,0.0078125,15776768.0,1773993495.604939,0.0,8.196376438718289e-05
16030720.0,0.0,0.0,0.0,0.0234375,0.0,-0.007561929989606142,1400.005080372,0.0,0.0,7.627982273605838e-11,,0.005859375,19.193359375,21860.99912948164,219.98948669433594,0.0234375,16030720.0,1773993495.8144166,0.0,0.0001009690240607597
16284672.0,0.0,0.0,0.0,0.009765625,0.0,-0.008040384389460087,1415.581488736,0.0,0.0,7.785941336102553e-11,,0.001953125,15.9140625,21866.598188632233,224.02542114257812,0.009765625,16284672.0,1773993511.4032342,0.0,9.5020339358598e-05
16538624.0,0.0,0.0,0.0,0.0,0.0,-0.008339853025972843,1431.145585997,0.0,0.0,7.798411916226655e-11,,0.0,18.107421875,21881.756416249,223.5752716064453,0.0,16538624.0,1773993526.9793017,0.0,0.00010429731628391892
16792576.0,0.0,0.0,0.0,0.017578125,0.0,-0.009305671788752079,1446.724156519,0.0,0.0,7.761656595217659e-11,,0.005859375,18.359375,21890.490104998127,225.8423614501953,0.017578125,16792576.0,1773993542.5438876,0.0,0.0001142506516771391
17046528.0,0.0,0.0,0.0,0.00390625,0.0,-0.009286503307521343,1489.366225173,0.0,0.0,7.679080982203601e-11,"{'path': 'media/html/render_17046528_a0fcae313ddbd918cb92.html', 'size': 4731841.0, '_type': 'html-file', 'sha256': 'a0fcae313ddbd918cb9239a1013fe99f8eef68c85772b5e4e7e49480ee10ce0c'}",0.001953125,17.98828125,21880.831784596776,234.43557739257812,0.00390625,17046528.0,1773993600.7649474,0.0,0.00010643436689861119
17300480.0,0.0,0.0,0.0,0.009765625,0.0,-0.009639771655201912,1505.178839599,0.0,0.0,3.9550671765420375e-11,,0.001953125,22.052734375,21901.913189495226,236.76307678222656,0.009765625,17300480.0,1773993600.968002,0.0,0.0001171934200101532
17554432.0,0.0,0.0,0.0,0.0,0.0,-0.008704381994903088,1520.767304536,0.0,0.0,3.3871676297092534e-11,,0.0,14.236328125,21837.602647119093,190.998046875,0.0,17554432.0,1773993616.5770352,0.0,0.00010946742258965969
17808384.0,0.0,0.0,0.0,0.0,0.0,-0.009038817137479782,1536.365869937,0.0,0.0,4.154798033395579e-11,,0.0,16.8515625,21847.010433403182,195.59457397460938,0.0,17808384.0,1773993632.1650207,0.0,0.00010269146150676534
18062336.0,0.0,0.0,0.0,0.00390625,0.0,-0.008378574624657631,1551.931897109,0.0,0.0,4.835973288486173e-11,,0.001953125,18.189453125,21841.097595648316,205.41455078125,0.00390625,18062336.0,1773993647.764118,0.0,9.864704770734534e-05
18316288.0,0.0,0.0,0.0,0.01953125,0.0,-0.007790983654558659,1594.163366395,0.0,0.0,5.269068514834885e-11,"{'path': 'media/html/render_18316288_872bdf069774408ab0b0.html', 'size': 4713209.0, '_type': 'html-file', 'sha256': '872bdf069774408ab0b0bba5ca9b85d0641e5aee571a0f89bb968a2e0a3fe28c'}",0.00390625,17.052734375,21894.286874814028,208.07781982421875,0.01953125,18316288.0,1773993705.5620992,0.0,9.406805475009605e-05
18570240.0,0.0,0.0,0.0,0.01171875,0.0,-0.00915669184178114,1610.033944671,0.0,0.0,5.472737193978894e-11,,0.001953125,19.318359375,21896.480134121382,215.79013061523438,0.01171875,18570240.0,1773993705.8110075,0.0,0.00013145846605766565
18824192.0,0.0,0.0,0.0,0.0,0.0,-0.009432525373995304,1625.625710875,0.0,0.0,5.573811898140768e-11,,0.0,19.302734375,21803.848643341007,211.0504913330078,0.0,18824192.0,1773993721.4321713,0.0,0.00010529921564739197
19078144.0,0.0,0.0,0.0,0.013671875,0.0,-0.009224927984178066,1641.21950289,0.0,0.0,5.600492986035377e-11,,0.00390625,18.197265625,21847.876640151844,220.77626037597656,0.013671875,19078144.0,1773993737.023832,0.0,0.00011330330744385719
19332096.0,0.0,0.0,0.0,0.009765625,0.0,-0.009755890816450119,1656.833187102,0.0,0.0,5.449917600541809e-11,,0.001953125,18.0546875,21839.60634049714,242.95196533203125,0.009765625,19332096.0,1773993752.6177127,0.0,0.0001237269170815125
19586048.0,0.0,0.0,0.0,0.0390625,0.0,-0.010232511907815933,1697.997766385,0.0,0.0,5.300221372905867e-11,"{'size': 4709033.0, '_type': 'html-file', 'sha256': 'b1a150eccd1fb78614b7feccc27fbbffe32a91da67e17abc3a934c44125d3596', 'path': 'media/html/render_19586048_b1a150eccd1fb78614b7.html'}",0.005859375,22.888671875,21861.617864974975,224.90289306640625,0.0390625,19586048.0,1773993809.3964891,0.0,0.0001283508026972413
19840000.0,0.0,0.0,0.0,0.009765625,0.0,-0.009699291549623013,1713.85167094,0.0,0.0,5.455066953707899e-11,,0.00390625,16.4296875,21816.744899260644,235.84317016601562,0.009765625,19840000.0,1773993809.6432073,0.0,0.00010855936125153676
20093952.0,0.0,0.0,0.0,0.033203125,0.0,-0.010234802030026913,1729.430045198,0.0,0.0,5.457650650853019e-11,,0.005859375,18.134765625,21835.01652332707,232.64920043945312,0.033203125,20093952.0,1773993825.2497892,0.0,0.00013396146823652089
20347904.0,0.0,0.0,0.0,0.0,0.0,-0.011169647797942162,1745.012839891,0.0,0.0,5.410034920050322e-11,,0.0,18.99609375,21863.400234309385,226.3043212890625,0.0,20347904.0,1773993840.8278623,0.0,0.00014208779612090439
20601856.0,0.0,0.0,0.0,0.017578125,0.0,-0.011531318537890911,1760.612722865,0.0,0.0,5.324916202420482e-11,,0.00390625,17.72265625,21858.174210211586,232.16073608398438,0.017578125,20601856.0,1773993856.4111667,0.0,0.00014044796989765018
20855808.0,0.0,0.0,0.0,0.0,0.0,-0.012441447004675865,1802.665730873,0.0,0.0,5.229769742265411e-11,"{'sha256': 'b5b416740dd51d8e7162b4e62843bf17f8f55aee7269e4e43ce00e99aac10b1e', 'path': 'media/html/render_20855808_b5b416740dd51d8e7162.html', 'size': 4709169.0, '_type': 'html-file'}",0.0,14.84765625,21830.85682190879,240.15365600585938,0.0,20855808.0,1773993914.0644782,0.0,0.0001579482777742669
21109760.0,0.0,0.0,0.0,0.0,0.0,-0.012468157336115837,1818.509327073,0.0,0.0,5.1279487600641716e-11,,0.0,21.251953125,21861.815742092647,222.7498779296875,0.0,21109760.0,1773993914.286391,0.0,0.00013939669588580728
21363712.0,0.0,0.0,0.0,0.046875,0.0,-0.011701113544404507,1834.08815286,0.0,0.0,5.0231308695858345e-11,,0.0078125,18.41015625,21805.781417752623,235.9766845703125,0.046875,21363712.0,1773993929.9075177,0.0,0.00014581761206500232
21617664.0,0.0,0.0,0.0,0.01171875,0.0,-0.012087029404938221,1849.677473914,0.0,0.0,4.911247450389844e-11,,0.00390625,20.544921875,21864.135793172027,225.20745849609375,0.01171875,21617664.0,1773993945.4862852,0.0,0.0001365786447422579
21871616.0,0.0,0.0,0.0,0.02734375,0.0,-0.011272997595369816,1865.260852607,0.0,0.0,4.798597630362167e-11,,0.005859375,19.779296875,21842.799129144125,232.17788696289062,0.02734375,21871616.0,1773993961.075732,0.0,0.00012954551493749022
22125568.0,0.0,0.0,0.0,0.029296875,0.0,-0.012152225710451603,1907.566402961,0.0,0.0,4.618369575659642e-11,"{'size': 4704145.0, '_type': 'html-file', 'sha256': '00f23938e8d10d858887fdb9b702031650e0dc3d12ee9f2e3a10ceb5343bac5a', 'path': 'media/html/render_22125568_00f23938e8d10d858887.html'}",0.00390625,17.69140625,21863.030005285174,246.93069458007812,0.029296875,22125568.0,1773994018.9651248,0.0,0.0001582186232553795
