eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive,training/sps,training/actor_loss,eval/episode_reward_near,_runtime,_timestamp,training/log_alpha,_step,eval/episode_success_hard,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_dist,render,eval/episode_success_easy,training/alpha_loss,eval/episode_success,step,eval/episode_dist,training/critic_loss
0.013671875,0.001953125,0.0,21904.5800512527,-0.008843660354614258,0.0,2143.906243511,1773989968.2576053,0.0,25172992.0,0.0,0.0,0.0,0.0,,18.73828125,2.5567180317320748e-11,0.013671875,25172992.0,236.255126953125,8.927135786507279e-05
0.033203125,0.005859375,0.0,21977.38800580013,-0.006477684248238802,0.0,2159.431038382,1773989983.7703032,0.0,25426944.0,0.0,0.0,0.0,0.0,,20.0859375,2.171920976401509e-11,0.033203125,25426944.0,234.2420654296875,5.502623753272928e-05
0.017578125,0.005859375,0.0,21963.735052108284,-0.006439379882067442,0.0,2174.970014323,1773989999.2951746,0.0,25680896.0,0.0,0.0,0.0,0.0,,20.869140625,2.1802105260038118e-11,0.017578125,25680896.0,231.3768310546875,7.514457684010267e-05
0.0,0.0,0.0,21929.3514693885,-0.007233863230794668,0.0,2217.545135153,1773990057.409682,0.0,25934848.0,0.0,0.0,0.0,0.0,"{'sha256': '37a5ad0a2a7e303c1ef229be575120716d91e2dfabcfef8cb316618b5184ac76', 'path': 'media/html/render_25934848_37a5ad0a2a7e303c1ef2.html', 'size': 4695749.0, '_type': 'html-file'}",21.462890625,2.2030351501389767e-11,0.0,25934848.0,229.82164001464844,7.751854718662798e-05
0.0078125,0.001953125,0.0,21971.80866946232,-0.007785646710544825,0.0,2233.352421668,1773990057.6460757,0.0,26188800.0,0.0,0.0,0.0,0.0,,21.310546875,2.245453649407647e-11,0.0078125,26188800.0,230.9493408203125,9.436159598408267e-05
0.0234375,0.00390625,0.0,21890.00469217784,-0.009057928808033466,0.0,2248.880564183,1773990073.2159867,0.0,26442752.0,0.0,0.0,0.0,0.0,,19.810546875,2.2998969048670936e-11,0.0234375,26442752.0,240.21180725097656,9.675203909864649e-05
0.0,0.0,0.0,21954.761819093124,-0.008386878296732903,0.0,2264.423784039,1773990088.7446358,0.0,26696704.0,0.0,0.0,0.0,0.0,,21.3984375,2.3786500547018363e-11,0.0,26696704.0,245.55459594726562,8.197552961064503e-05
0.033203125,0.005859375,0.0,21929.614686307832,-0.007604348473250866,0.0,2279.945068554,1773990104.287885,0.0,26950656.0,0.0,0.0,0.0,0.0,,21.11328125,2.499577454739832e-11,0.033203125,26950656.0,246.6055908203125,8.604949834989384e-05
0.0078125,0.001953125,0.0,21968.06742744126,-0.007759425323456526,0.0,2322.395678935,1773990162.2602994,0.0,27204608.0,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_27204608_5b104f21d039e8d200dc.html', 'size': 4704921.0, '_type': 'html-file', 'sha256': '5b104f21d039e8d200dc0fe4c8badb2e6db6f4d1959f4821a264e3f063d3ecd1'}",24.18359375,2.6811337872079122e-11,0.0078125,27204608.0,249.13314819335938,8.047073060879484e-05
0.02734375,0.005859375,0.0,21961.957569486643,-0.007797038182616234,0.0,2338.187375328,1773990162.4875383,0.0,27458560.0,0.0,0.0,0.0,0.0,,22.927734375,2.886974860560887e-11,0.02734375,27458560.0,261.29522705078125,8.533911750419065e-05
0.0078125,0.001953125,0.0,21907.333171536982,-0.0075685069896280766,0.0,2353.709157619,1773990178.0508332,0.0,27712512.0,0.0,0.0,0.0,0.0,,23.681640625,3.051001118414831e-11,0.0078125,27712512.0,266.6985778808594,8.692165283719078e-05
0.0,0.0,0.0,21958.106966703435,-0.007750069256871939,0.0,2369.225726012,1773990193.573268,0.0,27966464.0,0.0,0.0,0.0,0.0,,20.9609375,3.160954831216145e-11,0.0,27966464.0,271.25823974609375,8.147286280291155e-05
0.017578125,0.001953125,0.0,21985.02695502148,-0.008189084008336067,0.0,2384.753862105,1773990209.089571,0.0,28220416.0,0.0,0.0,0.0,0.0,,21.36328125,3.190572805955583e-11,0.017578125,28220416.0,263.7353820800781,9.389872138854116e-05
0.025390625,0.005859375,0.0,21952.742822698307,-0.008395543321967125,0.0,2427.330400235,1773990267.1950083,0.0,28474368.0,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_28474368_3d59ae7fe5905e463cc4.html', 'size': 4706489.0, '_type': 'html-file', 'sha256': '3d59ae7fe5905e463cc4df39b7edfbdcb8f25d18219a35651f30b8447385580d'}",20.98046875,3.187006908378365e-11,0.025390625,28474368.0,279.06414794921875,8.515040826750919e-05
0.037109375,0.005859375,0.0,21983.204737706048,-0.007585729006677866,0.0,2443.08764865,1773990267.4129865,0.0,28728320.0,0.0,0.0,0.0,0.0,,21.732421875,3.182687099978487e-11,0.037109375,28728320.0,275.12652587890625,8.095017983578146e-05
0.01171875,0.001953125,0.0,21949.32106022647,-0.007978732697665691,0.0,2458.636325,1773990282.9516711,0.0,28982272.0,0.0,0.0,0.0,0.0,,19.380859375,3.1775672371114894e-11,0.01171875,28982272.0,273.45245361328125,9.522402979200706e-05
0.0234375,0.00390625,0.0,21966.888583949003,-0.007687382400035858,0.0,2474.148843575,1773990298.5003705,0.0,29236224.0,0.0,0.0,0.0,0.0,,20.443359375,3.177428459233411e-11,0.0234375,29236224.0,277.2239990234375,7.216236554086208e-05
0.01171875,0.00390625,0.0,21983.658902553918,-0.0074555338360369205,0.0,2489.666087822,1773990314.0128832,0.0,29490176.0,0.0,0.0,0.0,0.0,,20.142578125,3.173203713680017e-11,0.01171875,29490176.0,275.59783935546875,8.618902938906103e-05
0.0078125,0.001953125,0.0,21978.162999168457,-0.008285798132419586,0.0,2532.115414754,1773990371.9800236,0.0,29744128.0,0.0,0.0,0.0,0.0,"{'size': 4708273.0, '_type': 'html-file', 'sha256': '45fea694175ac6a7ad4b7203af8bce2193d90e0331852b4fda73ca21d67724e6', 'path': 'media/html/render_29744128_45fea694175ac6a7ad4b.html'}",21.845703125,3.167069384524268e-11,0.0078125,29744128.0,271.36370849609375,9.829441842157394e-05
0.0234375,0.00390625,0.0,22003.485297301955,-0.00849322322756052,0.0,2547.870938627,1773990372.1955795,0.0,29998080.0,0.0,0.0,0.0,0.0,,24.474609375,3.165987610964649e-11,0.0234375,29998080.0,278.7261657714844,8.684729255037382e-05
0.0,0.0,0.0,21951.486454134036,-0.008373209275305271,0.0,2563.375793972,1773990387.7347426,0.0,30252032.0,0.0,0.0,0.0,0.0,,21.619140625,3.1553985119225914e-11,0.0,30252032.0,269.49676513671875,9.476119885221124e-05
0.017578125,0.001953125,0.0,21994.404624468432,-0.007742197252810001,0.0,2578.890484742,1773990403.2398646,0.0,30505984.0,0.0,0.0,0.0,0.0,,23.419921875,3.134886447653251e-11,0.017578125,30505984.0,270.87188720703125,7.74409418227151e-05
0.01953125,0.00390625,0.0,21985.641840029522,-0.00814198050647974,0.0,2594.389748778,1773990418.754266,0.0,30759936.0,0.0,0.0,0.0,0.0,,19.732421875,3.120141991996839e-11,0.01953125,30759936.0,273.2268371582031,9.338628296973184e-05
0.048828125,0.00390625,0.0,22006.912147959243,-0.00845425482839346,0.0,2635.688638637,1773990475.5532482,0.0,31013888.0,0.0,0.0,0.0,0.0,"{'_type': 'html-file', 'sha256': '6c4894a2af07a83588d3fe227c11a83ea2f769b6c3566d2a5b510ab50198e69e', 'path': 'media/html/render_31013888_6c4894a2af07a83588d3.html', 'size': 4715797.0}",23.189453125,3.1000219752330693e-11,0.048828125,31013888.0,273.1385192871094,9.10907328943722e-05
0.015625,0.00390625,0.0,21993.863728231943,-0.00812442321330309,0.0,2651.428075952,1773990475.7765896,0.0,31267840.0,0.0,0.0,0.0,0.0,,21.8046875,3.079976204634072e-11,0.015625,31267840.0,268.2083435058594,8.18139233160764e-05
0.0,0.0,0.0,21991.558291782443,-0.008147278800606728,0.0,2666.939337169,1773990491.292046,0.0,31521792.0,0.0,0.0,0.0,0.0,,23.6328125,3.0599113520768384e-11,0.0,31521792.0,268.8969421386719,9.254905307898298e-05
0.0,0.0,0.0,21985.560609706205,-0.009170526638627052,0.0,2682.433921642,1773990506.8033862,0.0,31775744.0,0.0,0.0,0.0,0.0,,24.93359375,3.034620124631182e-11,0.0,31775744.0,256.3312683105469,9.893716924125329e-05
0.033203125,0.00390625,0.0,22012.882817809335,-0.00932002067565918,0.0,2697.946436357,1773990522.2980378,0.0,32029696.0,0.0,0.0,0.0,0.0,,22.181640625,3.025341088758182e-11,0.033203125,32029696.0,264.4884338378906,9.698479698272422e-05
0.02734375,0.005859375,0.0,21988.004589036944,-0.009119484573602676,0.0,2740.306041507,1773990580.1706738,0.0,32283648.0,0.0,0.0,0.0,0.0,"{'sha256': '1ccbd73496eba8aaec7a305a7d590ebf11c6bf4d4b6b59eb9db67de0a2ed7e2e', 'path': 'media/html/render_32283648_1ccbd73496eba8aaec7a.html', 'size': 4716017.0, '_type': 'html-file'}",23.916015625,3.025186351424125e-11,0.02734375,32283648.0,263.1648864746094,0.00010063267109217122
0.0390625,0.0078125,0.0,22005.58137754509,-0.009709821082651615,0.0,2756.069015232,1773990580.3789523,0.0,32537600.0,0.0,0.0,0.0,0.0,,20.71484375,3.026703193631519e-11,0.0390625,32537600.0,271.33404541015625,0.00010103819658979774
0.017578125,0.001953125,0.0,21914.024908023082,-0.009288342669606209,0.0,2771.559565331,1773990595.932987,0.0,32791552.0,0.0,0.0,0.0,0.0,,20.890625,3.025482642193822e-11,0.017578125,32791552.0,271.08135986328125,9.428818157175556e-05
0.044921875,0.009765625,0.0,22030.455220560216,-0.009344442747533321,0.0,2787.070514437,1773990611.4235675,0.0,33045504.0,0.0,0.0,0.0,0.0,,22.609375,3.0281437080059703e-11,0.044921875,33045504.0,261.2935791015625,0.00010127426503458992
0.005859375,0.001953125,0.0,21990.248445247908,-0.00928466860204935,0.0,2802.586859566,1773990626.9345672,0.0,33299456.0,0.0,0.0,0.0,0.0,,21.591796875,3.021121547375216e-11,0.005859375,33299456.0,269.62371826171875,9.808015602175146e-05
0.033203125,0.0078125,0.0,21972.423268551775,-0.008532053790986538,0.0,2845.519323539,1773990685.3839486,0.0,33553408.0,0.0,0.0,0.0,0.0,"{'_type': 'html-file', 'sha256': '4980d4fdb651300f9237280514247c4d76ad2e96a0a4833f79b9516d007db7aa', 'path': 'media/html/render_33553408_4980d4fdb651300f9237.html', 'size': 4712889.0}",23.583984375,3.0080285484679337e-11,0.033203125,33553408.0,260.50634765625,8.109323971439153e-05
0.0078125,0.001953125,0.0,21989.39134071423,-0.008853686042129993,0.0,2861.267935184,1773990685.601964,0.0,33807360.0,0.0,0.0,0.0,0.0,,22.8671875,3.011548996290081e-11,0.0078125,33807360.0,254.0933380126953,9.523553308099508e-05
0.013671875,0.001953125,0.0,21958.961181412487,-0.008616766892373562,0.0,2876.785981773,1773990701.1319444,0.0,34061312.0,0.0,0.0,0.0,0.0,,23.46875,3.0192466582423805e-11,0.013671875,34061312.0,260.5321960449219,9.03528489288874e-05
0.060546875,0.005859375,0.0,21982.208000126797,-0.0086777089163661,0.0,2892.286000997,1773990716.6500485,0.0,34315264.0,0.0,0.0,0.0,0.0,,25.052734375,3.0254625194015006e-11,0.060546875,34315264.0,256.883056640625,9.13300973479636e-05
0.0078125,0.001953125,0.0,22002.498082296115,-0.008488557301461697,0.0,2907.803972565,1773990732.1500869,0.0,34569216.0,0.0,0.0,0.0,0.0,,25.609375,3.033216733339117e-11,0.0078125,34569216.0,259.57220458984375,8.692494157003239e-05
0.025390625,0.00390625,0.0,21975.1680815866,-0.007979420945048332,0.0,2949.130709004,1773990788.995324,0.0,34823168.0,0.0,0.0,0.0,0.0,"{'sha256': 'e2fb7a2a69374f04175766f965978e83acf37e5e0e762f352bfcd8396fbfd700', 'path': 'media/html/render_34823168_e2fb7a2a69374f041757.html', 'size': 4697117.0, '_type': 'html-file'}",20.349609375,3.0344306928276055e-11,0.025390625,34823168.0,258.7256164550781,8.617898129159585e-05
0.0,0.0,0.0,21995.706336044896,-0.008253130130469799,0.0,2964.899384135,1773990789.206334,0.0,35077120.0,0.0,0.0,0.0,0.0,,18.677734375,2.920769529013434e-11,0.0,35077120.0,254.444091796875,8.740029443288222e-05
0.0,0.0,0.0,21918.011153298125,-0.009004684165120125,0.0,2980.407959416,1773990804.7633326,0.0,35331072.0,0.0,0.0,0.0,0.0,,17.890625,2.741405540074293e-11,0.0,35331072.0,216.16383361816406,9.975292050512508e-05
0.033203125,0.005859375,0.0,21993.00270900702,-0.008999929763376713,0.0,2995.933903953,1773990820.271987,0.0,35585024.0,0.0,0.0,0.0,0.0,,17.95703125,3.848328340022578e-12,0.033203125,35585024.0,205.8031463623047,0.00010023764480138198
0.017578125,0.001953125,0.0,21961.05648438036,-0.009577052667737007,0.0,3011.442332023,1773990835.797948,0.0,35838976.0,0.0,0.0,0.0,0.0,,16.474609375,7.668776204339256e-12,0.017578125,35838976.0,218.92835998535156,9.788796887733042e-05
0.0,0.0,0.0,21987.913809429912,-0.008551403880119324,0.0,3054.03993901,1773990893.9045582,0.0,36092928.0,0.0,0.0,0.0,0.0,"{'sha256': '13871de9313379c6e6c9febe8108a7becb3154c0bb8fdc519886fbbbcc437390', 'path': 'media/html/render_36092928_13871de9313379c6e6c9.html', 'size': 4703949.0, '_type': 'html-file'}",17.875,1.2819779092454464e-11,0.0,36092928.0,218.185302734375,8.914329373510554e-05
0.0,0.0,0.0,21975.55753339922,-0.00863679964095354,0.0,3069.81557264,1773990894.1303978,0.0,36346880.0,0.0,0.0,0.0,0.0,,16.904296875,1.3678260780969342e-11,0.0,36346880.0,218.2617645263672,9.352842607768252e-05
0.009765625,0.001953125,0.0,21929.459374016595,-0.008342926390469074,0.0,3085.312268508,1773990909.6789343,0.0,36600832.0,0.0,0.0,0.0,0.0,,15.095703125,1.444632434510762e-11,0.009765625,36600832.0,228.62161254882812,9.074546687770635e-05
0.048828125,0.0078125,0.0,22011.648668382863,-0.007622342556715012,0.0,3100.817847007,1773990925.1763675,0.0,36854784.0,0.0,0.0,0.0,0.0,,16.298828125,1.6360109447721705e-11,0.048828125,36854784.0,224.09054565429688,7.889288826845586e-05
