eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
0.0,7.214729521365371e-06,-0.00062446144875139,,5.3328286231391075e-11,1774002735.5973403,24411136.0,205.19680786132812,18.498046875,0.0,0.0,0.0,24411136.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.827427972,21833.404814548805
0.0,5.503942702489439e-06,-0.0005169343203306198,"{'path': 'media/html/render_24665088_bb54beef92773c86397e.html', 'size': 4714073.0, '_type': 'html-file', 'sha256': 'bb54beef92773c86397e1a0c980db456ccc5c81d51c34250e6c2ec866f1c9a40'}",5.2389946547659605e-11,1774002793.6384,24665088.0,208.8924560546875,17.314453125,0.0,0.0,0.0,24665088.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.29020354,21875.9087739973
0.0,6.235871751414379e-06,-0.0005368171841837466,,5.1321964039674484e-11,1774002793.8496892,24919040.0,211.6326446533203,17.94140625,0.0,0.0,0.0,24919040.0,0.0,0.0,0.0,0.0,0.0,0.0,2131.128503546,21870.868523121582
0.0,5.869608230568701e-06,-0.0005164701142348349,,5.0157201308964616e-11,1774002809.4760356,25172992.0,206.98126220703125,17.904296875,0.0,0.0,0.0,25172992.0,0.0,0.0,0.0,0.0,0.0,0.0,2146.711472029,21801.34948932965
0.0,5.748961939389119e-06,-0.0003853296802844852,,4.894842864366922e-11,1774002825.0591464,25426944.0,206.33753967285156,19.4609375,0.0,0.0,0.0,25426944.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.287438287,21860.453109919206
0.0,8.314099432027433e-06,-0.0006190153071656823,,4.773141951130988e-11,1774002840.6352925,25680896.0,208.77670288085938,17.689453125,0.005859375,0.0,0.0,25680896.0,0.0,0.001953125,0.0,0.0,0.0,0.005859375,2177.890392974,21869.282050247046
0.0,6.97017139827949e-06,-0.0006436265539377928,"{'path': 'media/html/render_25934848_43be33588b80b67cef3f.html', 'size': 4713853.0, '_type': 'html-file', 'sha256': '43be33588b80b67cef3f6a19a0590d8ffce13bfa745f65be610c7d579446da4b'}",4.650843599129928e-11,1774002898.2189453,25934848.0,217.9940185546875,15.259765625,0.0,0.0,0.0,25934848.0,0.0,0.0,0.0,0.0,0.0,0.0,2219.870833294,21827.990034494578
0.0,1.2835730558435898e-05,-0.000691710039973259,,4.532629827025403e-11,1774002898.4557922,26188800.0,216.73928833007812,16.57421875,0.005859375,0.0,0.0,26188800.0,0.0,0.001953125,0.0,0.0,0.0,0.005859375,2235.738776174,21867.657647137006
0.0,9.538226549921092e-06,-0.0010175765492022038,,4.414933349461414e-11,1774002914.0864792,26442752.0,214.4529571533203,17.33984375,0.00390625,0.0,0.0,26442752.0,0.0,0.001953125,0.0,0.0,0.0,0.00390625,2251.323504688,21792.59046298682
0.0,1.0391378964413889e-05,-0.0008207481587305665,,4.29690796832638e-11,1774002929.670639,26696704.0,211.10214233398438,18.095703125,0.0,0.0,0.0,26696704.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.922684522,21863.37779582977
