training/sps,training/actor_loss,training/entropy,_runtime,eval/episode_reward_ctrl,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_success,eval/episode_reward,training/alpha_loss,render,_timestamp,eval/episode_dist,eval/episode_success_hard,eval/episode_reward_near,training/critic_loss,eval/episode_reward_survive,eval/episode_success_any,step,training/log_alpha,_step
33349.65582608828,-3.156973616569303e-05,0.0,1802.433644938,0.0,9.087890625,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_25934848_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774340607.0181959,125.89143371582031,0.0,0.0,7.349161705860752e-07,0.0,0.0,25934848.0,0.0,25934848.0
33402.03311942983,-2.7169808163307607e-05,0.0,1814.251330297,0.0,9.69921875,0.0,0.0,0.0,0.0,,1774340607.2482533,126.0650405883789,0.0,0.0,1.2247379572727368e-06,0.0,0.0,26188800.0,0.0,26188800.0
33294.10678032352,-2.4573824703111313e-05,0.0,1825.802229291,0.0,10.28125,0.0,0.0,0.0,0.0,,1774340618.835392,124.25282287597656,0.0,0.0,2.4514733354408236e-07,0.0,0.0,26442752.0,0.0,26442752.0
33423.89517953697,-6.5316307882312685e-06,0.0,1837.349243472,0.0,10.42578125,0.0,0.0078125,0.0078125,0.0,,1774340630.3863485,121.14505767822266,0.0,0.0,3.435492862413625e-11,0.0,0.001953125,26696704.0,0.0,26696704.0
33409.29354181607,-1.0607368494675029e-05,0.0,1848.898320942,0.0,9.994140625,0.0,0.005859375,0.005859375,0.0,,1774340641.933314,122.33863830566406,0.0,0.0,4.899224563814641e-07,0.0,0.001953125,26950656.0,0.0,26950656.0
33434.45807577823,-1.5791412806720473e-05,0.0,1887.100293042,0.0,11.09765625,0.0,0.0,0.0,0.0,"{'sha256': '4650afe520df3b1af9c43c3c107c86bfb2e7760c5dbcc0415f1c8aebf8b8d9b8', 'path': 'media/html/render_27204608_4650afe520df3b1af9c4.html', 'size': 4774997.0, '_type': 'html-file'}",1774340691.6847863,123.16448211669922,0.0,0.0,1.1015274594683433e-06,0.0,0.0,27204608.0,0.0,27204608.0
33419.04821841006,-4.6108187234494835e-05,0.0,1898.90643044,0.0,10.630859375,0.0,0.0,0.0,0.0,,1774340691.8994238,120.92809295654297,0.0,0.0,1.4690797343064332e-06,0.0,0.0,27458560.0,0.0,27458560.0
33271.61904561991,-3.5591987398220226e-05,0.0,1910.454595434,0.0,10.0234375,0.0,0.0,0.0,0.0,,1774340703.490591,122.47482299804688,0.0,0.0,9.795941195989144e-07,0.0,0.0,27712512.0,0.0,27712512.0
33416.57179830186,-2.6978683308698237e-05,0.0,1922.008921141,0.0,8.669921875,0.0,0.0,0.0,0.0,,1774340715.038642,126.286865234375,0.0,0.0,8.57167663070868e-07,0.0,0.0,27966464.0,0.0,27966464.0
33413.72363513188,-1.953753235284239e-05,0.0,1933.565975728,0.0,9.228515625,0.0,0.0,0.0,0.0,,1774340726.5930886,125.92185974121094,0.0,0.0,2.4510939056199277e-07,0.0,0.0,28220416.0,0.0,28220416.0
