eval/episode_success,training/actor_loss,eval/episode_reward,_timestamp,training/entropy,_step,_runtime,training/sps,render,training/alpha_loss,eval/episode_success_any,eval/episode_success_hard,training/log_alpha,step,eval/episode_dist,eval/episode_reward_ctrl,training/critic_loss,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward_survive,eval/episode_success_easy
0.0,2.835484337992966e-06,0.0,1774343315.3069286,0.0,14760960.0,1057.402857972,33462.991718666446,,0.0,0.0,0.0,0.0,14760960.0,55.526702880859375,0.0,3.2591530169101546e-11,0.0,0.0,0.0,4.001953125
0.0,2.9478974283847492e-06,0.0,1774343326.8922238,0.0,15014912.0,1068.934960071,33281.948626998244,,0.0,0.0,0.0,0.0,15014912.0,55.083824157714844,0.0,3.2537188221493096e-11,0.0,0.0,0.0,3.962890625
0.0,3.879650648741517e-06,0.0,1774343338.4244626,0.0,15268864.0,1080.482537184,33462.67528667925,,0.0,0.0,0.0,0.0,15268864.0,53.57792663574219,0.0,3.345668880827546e-11,0.0,0.0,0.0,4.40234375
0.0,1.8845117892851704e-06,0.0,1774343349.9720109,0.0,15522816.0,1092.018614817,33372.00245156815,,0.0,0.0,0.0,0.0,15522816.0,53.86155700683594,0.0,3.2273371475266543e-11,0.0,0.0,0.0,4.001953125
0.0,2.4751273031142773e-06,0.0,1774343399.1070633,0.0,15776768.0,1129.617207635,33446.76574000936,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_15776768_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,15776768.0,52.65993881225586,0.0,3.244441867944481e-11,0.0,0.0,0.0,5.15234375
0.0,3.4679669624892995e-06,0.0,1774343399.3144305,0.0,16030720.0,1141.385950038,33372.181244945736,,0.0,0.0,0.0,0.0,16030720.0,53.541648864746094,0.0,3.301299511537792e-11,0.0,0.0,0.0,4.529296875
0.0,2.11892620427534e-06,0.0,1774343410.8755324,0.0,16284672.0,1152.925363919,33371.4619007861,,0.0,0.0,0.0,0.0,16284672.0,53.389862060546875,0.0,3.2268118732581286e-11,0.0,0.0,0.0,4.416015625
0.0,2.4028336156334262e-06,0.0,1774343422.414873,0.0,16538624.0,1164.463716864,33418.07207504384,,0.0,0.0,0.0,0.0,16538624.0,51.138450622558594,0.0,3.2228299889913714e-11,0.0,0.0,0.0,5.443359375
0.0,3.749476263692486e-06,0.0,1774343433.9532123,0.0,16792576.0,1176.000322062,33446.357193963784,,0.0,0.0,0.0,0.0,16792576.0,54.63768005371094,0.0,3.3167333463035575e-11,0.0,0.0,0.0,4.4140625
0.0,2.935733391495887e-06,0.0,1774343483.0686893,0.0,17046528.0,1213.578798313,33428.41832025344,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_17046528_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,17046528.0,54.5509033203125,0.0,3.25271649892489e-11,0.0,0.0,0.0,4.775390625
0.0,3.5424907309788978e-06,0.0,1774343483.3026211,0.0,17300480.0,1225.373065389,33498.16028260239,,0.0,0.0,0.0,0.0,17300480.0,53.67908477783203,0.0,3.317208660535975e-11,0.0,0.0,0.0,4.81640625
0.0,3.4563379358587554e-06,0.0,1774343494.862563,0.0,17554432.0,1236.914003334,33349.72787396715,,0.0,0.0,0.0,0.0,17554432.0,53.848358154296875,0.0,3.29596835935142e-11,0.0,0.0,0.0,4.2421875
0.0,2.4357611891900888e-06,0.0,1774343506.4030395,0.0,17808384.0,1248.452289363,33434.85688556877,,0.0,0.0,0.0,0.0,17808384.0,53.82534408569336,0.0,3.2284633300072585e-11,0.0,0.0,0.0,4.41015625
0.0,3.3131614145531785e-06,0.0,1774343517.9418035,0.0,18062336.0,1259.991982968,33413.08949484793,,0.0,0.0,0.0,0.0,18062336.0,53.042633056640625,0.0,3.277704496706946e-11,0.0,0.0,0.0,4.43359375
0.0,3.539591943990672e-06,0.0,1774343566.9631245,0.0,18316288.0,1297.473265649,33450.267672577436,"{'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_18316288_802407636c10f2b38582.html', 'size': 4743841.0, '_type': 'html-file'}",0.0,0.0,0.0,0.0,18316288.0,53.57573318481445,0.0,3.313554985950873e-11,0.0,0.0,0.0,4.798828125
0.0,3.363536279721302e-06,0.0,1774343567.1630156,0.0,18570240.0,1309.228075144,33381.08464994316,,0.0,0.0,0.0,0.0,18570240.0,53.34111022949219,0.0,3.294048714352904e-11,0.0,0.0,0.0,4.357421875
0.0,2.843838728949777e-06,0.0,1774343578.7175875,0.0,18824192.0,1320.787034474,33395.388356591444,,0.0,0.0,0.0,0.0,18824192.0,54.10631561279297,0.0,3.2448547321317633e-11,0.0,0.0,0.0,4.376953125
0.0,2.5395800093974685e-06,0.0,1774343590.2765074,0.0,19078144.0,1332.321336872,33344.991127521396,,0.0,0.0,0.0,0.0,19078144.0,53.74049377441406,0.0,3.230492609529456e-11,0.0,0.0,0.0,4.466796875
0.0,3.824532996077323e-06,0.0,1774343601.8108296,0.0,19332096.0,1343.868858837,33463.04848782884,,0.0,0.0,0.0,0.0,19332096.0,54.44353485107422,0.0,3.3279053124335434e-11,0.0,0.0,0.0,4.4296875
0.0,3.897946953657083e-06,0.0,1774343651.3837934,0.0,19586048.0,1381.893901241,33374.72115426855,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_19586048_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,19586048.0,53.58599853515625,0.0,3.355884667377573e-11,0.0,0.0,0.0,4.39453125
0.0,3.1112444958125707e-06,0.0,1774343651.6104615,0.0,19840000.0,1393.724266473,33439.13944286345,,0.0,0.0,0.0,0.0,19840000.0,53.439674377441406,0.0,3.286759753251545e-11,0.0,0.0,0.0,4.580078125
0.0,2.716330072871642e-06,0.0,1774343663.2137656,0.0,20093952.0,1405.248287609,33303.74744138626,,0.0,0.0,0.0,0.0,20093952.0,53.54579544067383,0.0,3.242325158359094e-11,0.0,0.0,0.0,4.35546875
0.0,2.977418944283272e-06,0.0,1774343674.7376866,0.0,20347904.0,1416.798299503,33503.19882898326,,0.0,0.0,0.0,0.0,20347904.0,55.9034423828125,0.0,3.2576486647117875e-11,0.0,0.0,0.0,4.08984375
0.0,2.038489355982165e-06,0.0,1774343686.2877924,0.0,20601856.0,1428.351006356,33380.994682241326,,0.0,0.0,0.0,0.0,20601856.0,53.74866485595703,0.0,3.227887054868539e-11,0.0,0.0,0.0,4.62890625
0.0,2.011243395827478e-06,0.0,1774343735.841004,0.0,20855808.0,1466.35117862,33387.99792102366,"{'size': 4743841.0, '_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_20855808_802407636c10f2b38582.html'}",0.0,0.0,0.0,0.0,20855808.0,52.52497863769531,0.0,3.199633613615305e-11,0.0,0.0,0.0,4.880859375
0.0,3.686429181470885e-06,0.0,1774343736.0473604,0.0,21109760.0,1478.12487747,33422.66180813346,,0.0,0.0,0.0,0.0,21109760.0,53.5377311706543,0.0,3.325729622249973e-11,0.0,0.0,0.0,4.587890625
0.0,3.409300688872463e-06,0.0,1774343747.6142275,0.0,21363712.0,1489.685941747,33375.421814825095,,0.0,0.0,0.0,0.0,21363712.0,53.22423553466797,0.0,3.3001781862829205e-11,0.0,0.0,0.0,4.451171875
0.0,3.6895980883855373e-06,0.0,1774343759.1753662,0.0,21617664.0,1501.218791454,33375.574499984556,,0.0,0.0,0.0,0.0,21617664.0,53.19118118286133,0.0,3.309355567360228e-11,0.0,0.0,0.0,4.537109375
0.0,2.4553633011237253e-06,0.0,1774343770.7081835,0.0,21871616.0,1512.748688199,33467.466560415545,,0.0,0.0,0.0,0.0,21871616.0,54.59036636352539,0.0,3.234122691875285e-11,0.0,0.0,0.0,4.666015625
0.0,3.2484015264344634e-06,0.0,1774343819.880901,0.0,22125568.0,1550.391048102,33455.6900770125,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_22125568_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,22125568.0,52.87333297729492,0.0,3.282061428189209e-11,0.0,0.0,0.0,4.61328125
0.0,2.8612423648155527e-06,0.0,1774343820.0840344,0.0,22379520.0,1562.172727607,33477.22367645612,,0.0,0.0,0.0,0.0,22379520.0,54.402976989746094,0.0,3.2580091402500955e-11,0.0,0.0,0.0,4.568359375
0.0,3.384514457138721e-06,0.0,1774343831.6621175,0.0,22633472.0,1573.711825362,33289.26305293707,,0.0,0.0,0.0,0.0,22633472.0,54.742332458496094,0.0,3.295744926967714e-11,0.0,0.0,0.0,4.345703125
0.0,3.4506715564930346e-06,0.0,1774343843.2012882,0.0,22887424.0,1585.280353022,33431.44631960965,,0.0,0.0,0.0,0.0,22887424.0,52.870948791503906,0.0,3.290389835597374e-11,0.0,0.0,0.0,4.89453125
0.0,3.4405295536998892e-06,0.0,1774343854.7697446,0.0,23141376.0,1596.833773347,33345.51203069128,,0.0,0.0,0.0,0.0,23141376.0,54.70195007324219,0.0,3.287343314228863e-11,0.0,0.0,0.0,4.408203125
0.0,1.5092130070115672e-06,0.0,1774343904.375949,0.0,23395328.0,1634.886089634,33373.559377492966,"{'_type': 'html-file', 'sha256': '802407636c10f2b38582e34e3b46358d545d9d3a8453689233dd680f1851be60', 'path': 'media/html/render_23395328_802407636c10f2b38582.html', 'size': 4743841.0}",0.0,0.0,0.0,0.0,23395328.0,54.56562042236328,0.0,3.2251423753848485e-11,0.0,0.0,0.0,4.404296875
0.0,2.7150729238201166e-06,0.0,1774343904.5818598,0.0,23649280.0,1646.679813074,33375.03801651826,,0.0,0.0,0.0,0.0,23649280.0,53.52540588378906,0.0,3.242582591322929e-11,0.0,0.0,0.0,4.69921875
0.0,3.8667044464091305e-06,0.0,1774343916.1691463,0.0,23903232.0,1658.241124085,33286.70284622602,,0.0,0.0,0.0,0.0,23903232.0,53.498207092285156,0.0,3.338638046579412e-11,0.0,0.0,0.0,4.048828125
0.0,2.6586112653603777e-06,0.0,1774343927.7305744,0.0,24157184.0,1669.785592769,33353.49881411558,,0.0,0.0,0.0,0.0,24157184.0,55.126853942871094,0.0,3.243022864141132e-11,0.0,0.0,0.0,3.837890625
0.0,3.382339400559431e-06,0.0,1774343939.2749937,0.0,24411136.0,1681.318699362,33414.293857857294,,0.0,0.0,0.0,0.0,24411136.0,55.844459533691406,0.0,3.302900314361423e-11,0.0,0.0,0.0,4.08203125
