eval/episode_reward,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,training/sps,training/critic_loss,eval/episode_success_hard,_timestamp,training/log_alpha,training/actor_loss,training/alpha_loss,eval/episode_reward_dist,eval/episode_success_easy,training/entropy,render,eval/episode_success_any,_step,eval/episode_reward_near,step,eval/episode_reward_ctrl,_runtime
0.0,51.6081428527832,0.0,0.0,33295.9541152776,3.361524600342669e-11,0.0,1774363624.1625412,0.0,3.9456208469346166e-06,0.0,0.0,3.77734375,0.0,,0.0,19840000.0,0.0,19840000.0,0.0,1392.309089039
0.0,51.67688751220703,0.0,0.0,33166.84052356403,3.25830126768345e-11,0.0,1774363635.7953503,0.0,2.63532274402678e-06,0.0,0.0,3.6171875,0.0,,0.0,20093952.0,0.0,20093952.0,0.0,1403.878496535
0.0,52.131961822509766,0.0,0.0,33297.67674467059,3.383354013619666e-11,0.0,1774363647.3646684,0.0,4.018523213744629e-06,0.0,0.0,3.650390625,0.0,,0.0,20347904.0,0.0,20347904.0,0.0,1415.457763659
0.0,51.82396697998047,0.0,0.0,33254.54813351199,3.3085943706989696e-11,0.0,1774363658.9439356,0.0,3.431209961490822e-06,0.0,0.0,3.91015625,0.0,,0.0,20601856.0,0.0,20601856.0,0.0,1427.029318359
0.0,49.97214889526367,0.0,0.0,33288.93533282235,3.300944240169912e-11,0.0,1774363708.2240696,0.0,3.3921753583854297e-06,0.0,0.0,4.232421875,0.0,"{'_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_20855808_f94447b6c646345518df.html', 'size': 4700829.0}",0.0,20855808.0,0.0,20855808.0,0.0,1464.737297903
0.0,50.63570022583008,0.0,0.0,33266.19795837134,3.2842926295240105e-11,0.0,1774363708.4517148,0.0,3.1578699690726353e-06,0.0,0.0,4.3046875,0.0,,0.0,21109760.0,0.0,21109760.0,0.0,1476.569211391
0.0,50.44458770751953,0.0,0.0,33194.73488179077,3.396273540179351e-11,0.0,1774363720.0548272,0.0,4.244067895342596e-06,0.0,0.0,4.630859375,0.0,,0.0,21363712.0,0.0,21363712.0,0.0,1488.156206312
0.0,51.045570373535156,0.0,0.0,33240.76313678777,3.3412748262628966e-11,0.0,1774363731.642493,0.0,3.632879725046223e-06,0.0,0.0,3.890625,0.0,,0.0,21617664.0,0.0,21617664.0,0.0,1499.733517458
0.0,51.51397705078125,0.0,0.0,33260.35385056727,3.368322287755632e-11,0.0,1774363743.2197185,0.0,3.8119094369903905e-06,0.0,0.0,4.1484375,0.0,,0.0,21871616.0,0.0,21871616.0,0.0,1511.322574112
0.0,51.06735610961914,0.0,0.0,33190.62742492291,3.2884091283325034e-11,0.0,1774363792.525149,0.0,3.409616738281329e-06,0.0,0.0,4.173828125,0.0,"{'path': 'media/html/render_22125568_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,22125568.0,0.0,22125568.0,0.0,1549.038389175
0.0,52.24732971191406,0.0,0.0,33285.760423137,3.232983672440959e-11,0.0,1774363792.742131,0.0,2.29978354582272e-06,0.0,0.0,3.580078125,0.0,,0.0,22379520.0,0.0,22379520.0,0.0,1560.844686584
0.0,50.423824310302734,0.0,0.0,33254.5450188439,3.21457790941615e-11,0.0,1774363804.3309863,0.0,1.854789502431231e-06,0.0,0.0,4.462890625,0.0,,0.0,22633472.0,0.0,22633472.0,0.0,1572.402529297
0.0,49.676048278808594,0.0,0.0,33346.99236140305,3.24562182685284e-11,0.0,1774363815.8888574,0.0,2.5848571567621548e-06,0.0,0.0,4.40234375,0.0,,0.0,22887424.0,0.0,22887424.0,0.0,1583.966968784
0.0,50.14037322998047,0.0,0.0,33342.95360252421,3.3265629834078325e-11,0.0,1774363827.4528506,0.0,3.477525297057582e-06,0.0,0.0,4.607421875,0.0,,0.0,23141376.0,0.0,23141376.0,0.0,1595.526797378
0.0,50.937625885009766,0.0,0.0,33334.99273300638,3.3091411555385974e-11,0.0,1774363876.758345,0.0,3.24828693010204e-06,0.0,0.0,4.115234375,0.0,"{'path': 'media/html/render_23395328_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,23395328.0,0.0,23395328.0,0.0,1633.271532087
0.0,51.091880798339844,0.0,0.0,33359.33182261643,3.2646812336833975e-11,0.0,1774363876.9727287,0.0,2.884340347009129e-06,0.0,0.0,3.92578125,0.0,,0.0,23649280.0,0.0,23649280.0,0.0,1645.070424072
0.0,51.68419647216797,0.0,0.0,33275.888992718465,3.2999405291667117e-11,0.0,1774363888.556624,0.0,3.219242898921948e-06,0.0,0.0,3.8984375,0.0,,0.0,23903232.0,0.0,23903232.0,0.0,1656.629851773
0.0,50.217437744140625,0.0,0.0,33344.57566932507,3.262434419837312e-11,0.0,1774363900.1162167,0.0,2.6311322471883614e-06,0.0,0.0,3.9375,0.0,,0.0,24157184.0,0.0,24157184.0,0.0,1668.195861941
0.0,51.469459533691406,0.0,0.0,33330.43121669173,3.324466049670072e-11,0.0,1774363911.6821322,0.0,3.5659481909533497e-06,0.0,0.0,4.005859375,0.0,,0.0,24411136.0,0.0,24411136.0,0.0,1679.75633002
0.0,48.935829162597656,0.0,0.0,33305.30217056131,3.249521138282141e-11,0.0,1774363961.205238,0.0,2.5570134312147275e-06,0.0,0.0,4.71484375,0.0,"{'path': 'media/html/render_24665088_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,24665088.0,0.0,24665088.0,0.0,1717.718447403
0.0,50.73945236206055,0.0,0.0,33325.66345635591,3.234515086325551e-11,0.0,1774363961.4631553,0.0,2.4615808342787204e-06,0.0,0.0,4.3125,0.0,,0.0,24919040.0,0.0,24919040.0,0.0,1729.586775992
0.0,51.65252685546875,0.0,0.0,33151.41113861162,3.30791193048352e-11,0.0,1774363973.0729268,0.0,3.379646841494832e-06,0.0,0.0,4.28125,0.0,,0.0,25172992.0,0.0,25172992.0,0.0,1741.155619349
0.0,51.91686248779297,0.0,0.0,33304.82521878228,3.261308237356708e-11,0.0,1774363984.641112,0.0,2.7089774903288344e-06,0.0,0.0,4.041015625,0.0,,0.0,25426944.0,0.0,25426944.0,0.0,1752.728347322
0.0,52.25531768798828,0.0,0.0,33296.465160749445,3.325959646582888e-11,0.0,1774363996.2145507,0.0,3.739655539902742e-06,0.0,0.0,3.5,0.0,,0.0,25680896.0,0.0,25680896.0,0.0,1764.306617019
0.0,49.6695556640625,0.0,0.0,33272.15532738381,3.2846780850803725e-11,0.0,1774364045.597751,0.0,3.18796173814917e-06,0.0,0.0,4.16015625,0.0,"{'path': 'media/html/render_25934848_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,25934848.0,0.0,25934848.0,0.0,1802.110956328
