_runtime,eval/episode_reward_dist,_step,eval/episode_success_hard,eval/episode_reward,training/alpha_loss,training/entropy,eval/episode_success_any,training/sps,step,eval/episode_dist,eval/episode_reward_ctrl,eval/episode_success,eval/episode_success_easy,training/critic_loss,_timestamp,training/actor_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near
449.208780117,-23.1787109375,10983424.0,0.0,961.287109375,7.378297596005723e-05,0.0,0.9931640625,33545.56267327631,10983424.0,23.1787109375,0.0,961.287109375,0.0,0.6526582837104797,1773894230.2714827,-87.2859878540039,,0.0,0.0,0.0
466.910853577,-23.922624588012695,11237376.0,0.0,964.529296875,7.335193367907777e-05,0.0,0.9990234375,33749.296337465625,11237376.0,23.922624588012695,0.0,964.529296875,0.0,0.48283347487449646,1773894256.2532465,-89.60285949707031,"{'path': 'media/html/render_11237376_32fdbf35ef9d7961b562.html', 'size': 907145, '_type': 'html-file', 'sha256': '32fdbf35ef9d7961b5629d4b1c67871d24984c754adad1e78bb7ab27fd21ed39'}",0.0,0.0,0.0
475.331455262,-27.371143341064453,11491328.0,0.0,940.5078125,6.983546336414292e-05,0.0,0.9951171875,33528.58739928575,11491328.0,27.371143341064453,0.0,940.5078125,0.0,0.34384527802467346,1773894256.4035678,-91.18801879882812,,0.0,0.0,0.0
483.605749564,-24.62734031677246,11745280.0,0.0,947.015625,4.315951809985563e-05,0.0,0.9912109375,33651.54698927948,11745280.0,24.62734031677246,0.0,947.015625,0.0,0.23671960830688477,1773894264.673322,-92.68142700195312,,0.0,0.0,0.0
491.903264321,-26.659469604492188,11999232.0,0.0,942.892578125,6.127227970864624e-05,0.0,1.0,33624.15679035035,11999232.0,26.659469604492188,0.0,942.892578125,0.0,0.15714651346206665,1773894272.9477081,-93.99695587158203,,0.0,0.0,0.0
500.214841296,-25.201622009277344,12253184.0,0.0,949.4091796875,7.762728637317196e-05,0.0,1.0,33520.834079828695,12253184.0,25.201622009277344,0.0,949.4091796875,0.0,0.1155625507235527,1773894281.2449865,-94.75483703613281,,0.0,0.0,0.0
517.614825526,-27.409374237060547,12507136.0,0.0,921.59375,1.3821350876241922e-05,0.0,1.0,33459.020457948776,12507136.0,27.409374237060547,0.0,921.59375,0.0,0.08640928566455841,1773894306.9572532,-95.31182861328125,"{'_type': 'html-file', 'sha256': 'a63e723e91f97876117b5a8b902bc8703c176d75195e6271ad13840504e99c5c', 'path': 'media/html/render_12507136_a63e723e91f97876117b.html', 'size': 908665}",0.0,0.0,0.0
526.04931942,-26.244434356689453,12761088.0,0.0,947.08203125,-2.2014231149114494e-07,0.0,0.998046875,33696.3826826683,12761088.0,26.244434356689453,0.0,947.08203125,0.0,0.08369326591491699,1773894307.1121304,-95.4111557006836,,0.0,0.0,0.0
534.297890882,-25.554990768432617,13015040.0,0.0,932.2265625,-1.4994667196788214e-07,0.0,1.0,33619.891445267065,13015040.0,25.554990768432617,0.0,932.2265625,0.0,0.07800991088151932,1773894315.3912709,-95.72760009765625,,0.0,0.0,0.0
542.609101868,-24.7783145904541,13268992.0,0.0,960.3935546875,1.4516103874484543e-05,0.0,1.0,33746.52696080233,13268992.0,24.7783145904541,0.0,960.3935546875,0.0,0.07914064079523087,1773894323.6396232,-96.16337585449219,,0.0,0.0,0.0
550.851295053,-24.63951873779297,13522944.0,0.0,946.955078125,3.327388549223542e-05,0.0,1.0,33464.2186062422,13522944.0,24.63951873779297,0.0,946.955078125,0.0,0.07904518395662308,1773894331.9510615,-96.17835235595703,,0.0,0.0,0.0
568.028442222,-23.094369888305664,13776896.0,0.0,960.9404296875,6.694407375107403e-07,0.0,1.0,33765.07548296589,13776896.0,23.094369888305664,0.0,960.9404296875,0.0,0.07535264641046524,1773894357.370838,-96.2146224975586,"{'_type': 'html-file', 'sha256': '3cd984dd0465887195f1f36ba2b328f40039a7b6faab5d3b08517d9cb79ca88e', 'path': 'media/html/render_13776896_3cd984dd0465887195f1.html', 'size': 907701}",0.0,0.0,0.0
576.495173054,-23.93930435180664,14030848.0,0.0,950.353515625,2.38384982367279e-05,0.0,1.0,33588.32929452114,14030848.0,23.93930435180664,0.0,950.353515625,0.0,0.0775708332657814,1773894357.551477,-96.12588500976562,,0.0,0.0,0.0
584.805900954,-29.443422317504883,14284800.0,0.0,928.119140625,-4.54343035016791e-06,0.0,0.9990234375,33599.912122987036,14284800.0,29.443422317504883,0.0,928.119140625,0.0,0.07646214216947556,1773894365.8369172,-96.35433197021484,,0.0,0.0,0.0
593.081327773,-26.30780029296875,14538752.0,0.0,956.134765625,7.716380423516966e-06,0.0,0.9970703125,33456.11041040239,14538752.0,26.30780029296875,0.0,956.134765625,0.0,0.07028114795684814,1773894374.1477952,-96.55570220947266,,0.0,0.0,0.0
601.392568266,-22.739328384399414,14792704.0,0.0,968.2275390625,1.6416465768998023e-06,0.0,1.0,33618.550191918766,14792704.0,22.739328384399414,0.0,968.2275390625,0.0,0.07092214375734329,1773894382.4231298,-96.65814208984375,,0.0,0.0,0.0
619.044583147,-22.33069610595703,15046656.0,0.0,970.1279296875,-9.249113759324246e-07,0.0,1.0,33453.12732269395,15046656.0,22.33069610595703,0.0,970.1279296875,0.0,0.07316248118877411,1773894408.3869054,-96.61177062988281,"{'sha256': '15671d9d6eb48f972476662dea73a0d1d46c9aa4598967e4c56a11579366cefb', 'path': 'media/html/render_15046656_15671d9d6eb48f972476.html', 'size': 907829, '_type': 'html-file'}",0.0,0.0,0.0
627.473806522,-22.69855499267578,15300608.0,0.0,970.4130859375,7.842467312002555e-06,0.0,1.0,33656.44993312169,15300608.0,22.69855499267578,0.0,970.4130859375,0.0,0.0748935416340828,1773894408.531365,-96.56597900390625,,0.0,0.0,0.0
635.7391525,-23.294597625732422,15554560.0,0.0,970.5029296875,-1.1324352271913085e-05,0.0,1.0,33615.37363108289,15554560.0,23.294597625732422,0.0,970.5029296875,0.0,0.07949021458625793,1773894416.8152428,-96.50361633300781,,0.0,0.0,0.0
644.021922904,-23.742448806762695,15808512.0,0.0,975.0126953125,2.2416559659177437e-05,0.0,1.0,33662.46386448445,15808512.0,23.742448806762695,0.0,975.0126953125,0.0,0.07550540566444397,1773894425.0811212,-96.54633331298828,,0.0,0.0,0.0
652.268353134,-24.10369110107422,16062464.0,0.0,967.623046875,1.0780729553516721e-06,0.0,0.9990234375,33579.35100111937,16062464.0,24.10369110107422,0.0,967.623046875,0.0,0.07718291878700256,1773894433.3639164,-96.52899932861328,,0.0,0.0,0.0
669.664147047,-22.58725357055664,16316416.0,0.0,974.67578125,-1.03242346085608e-05,0.0,1.0,33757.2509317495,16316416.0,22.58725357055664,0.0,974.67578125,0.0,0.07373480498790741,1773894459.006545,-96.61565399169922,"{'sha256': '285f3ee5bbb67127f00da72185c8668e6b843433f2cca1418855e79fca06e771', 'path': 'media/html/render_16316416_285f3ee5bbb67127f00d.html', 'size': 905361, '_type': 'html-file'}",0.0,0.0,0.0
678.110417157,-23.535324096679688,16570368.0,0.0,969.0107421875,6.43191151539213e-06,0.0,1.0,33650.97289280961,16570368.0,23.535324096679688,0.0,969.0107421875,0.0,0.07416672259569168,1773894459.159616,-96.68163299560547,,0.0,0.0,0.0
686.414744986,-21.773120880126953,16824320.0,0.0,974.8603515625,6.430185749195516e-06,0.0,1.0,33555.81888364338,16824320.0,21.773120880126953,0.0,974.8603515625,0.0,0.07310844212770462,1773894467.4524095,-96.70032501220703,,0.0,0.0,0.0
694.688733461,-23.042823791503906,17078272.0,0.0,970.150390625,4.945525233779335e-06,0.0,1.0,33493.21593097595,17078272.0,23.042823791503906,0.0,970.150390625,0.0,0.07056093961000443,1773894475.7566698,-96.66724395751953,,0.0,0.0,0.0
702.980748343,-23.226350784301758,17332224.0,0.0,973.564453125,-7.510455816372996e-06,0.0,1.0,33627.63120894995,17332224.0,23.226350784301758,0.0,973.564453125,0.0,0.07311943173408508,1773894484.0306752,-96.72437286376953,,0.0,0.0,0.0
