_timestamp,_step,eval/episode_success,eval/episode_success_easy,render,eval/episode_reward_ctrl,eval/episode_reward_near,eval/episode_reward_survive,training/alpha_loss,training/sps,eval/episode_reward,training/actor_loss,eval/episode_dist,eval/episode_reward_dist,eval/episode_success_hard,eval/episode_success_any,_runtime,step,training/entropy,training/log_alpha,training/critic_loss
1773898713.7548215,18855936.0,975.259765625,0.0,"{'path': 'media/html/render_18855936_71520ac58eff137eb665.html', 'size': 913533, '_type': 'html-file', 'sha256': '71520ac58eff137eb665c19fe57c4d0301d947d4b6ec951f6f966f2bf2578693'}",0.0,0.0,0.0,-1.7500964531791396e-05,33902.94539278521,975.259765625,-97.03404235839844,21.034643173217773,-21.034643173217773,0.0,1.0,767.135784839,18855936.0,0.0,0.0,0.053823322057724
1773898713.9107227,19109888.0,974.5986328125,0.0,,0.0,0.0,0.0,-6.97079212841345e-06,33807.27943746615,974.5986328125,-97.01677703857422,22.77937126159668,-22.77937126159668,0.0,1.0,775.554795228,19109888.0,0.0,0.0,0.05575433745980263
1773898722.1729538,19363840.0,976.4130859375,0.0,,0.0,0.0,0.0,5.642889846058097e-06,33711.1233061231,976.4130859375,-97.099365234375,22.672964096069336,-22.672964096069336,0.0,1.0,783.775796802,19363840.0,0.0,0.0,0.05744176357984543
1773898730.3941514,19617792.0,969.861328125,0.0,,0.0,0.0,0.0,-6.512301752081839e-06,33860.966333901626,969.861328125,-97.11392211914062,22.285005569458008,-22.285005569458008,0.0,1.0,792.010021774,19617792.0,0.0,0.0,0.05535009130835533
1773898738.628471,19871744.0,973.47265625,0.0,,0.0,0.0,0.0,1.8603881244416698e-06,33805.42213723584,973.47265625,-97.22481536865234,21.378923416137695,-21.378923416137695,0.0,1.0,800.229310446,19871744.0,0.0,0.0,0.051119208335876465
1773898764.7313073,20125696.0,967.8984375,0.0,"{'path': 'media/html/render_20125696_0c281836f1e32ab498cb.html', 'size': 912793, '_type': 'html-file', 'sha256': '0c281836f1e32ab498cb7965b2e2caf7c1dbf5922a355089787fca8964937f14'}",0.0,0.0,0.0,1.153287030319916e-05,33867.46062532738,967.8984375,-97.15234375,21.348430633544922,-21.348430633544922,0.0,1.0,818.112235217,20125696.0,0.0,0.0,0.05508282035589218
1773898764.8957808,20379648.0,975.767578125,0.0,,0.0,0.0,0.0,1.0697630386857782e-05,33784.42877941673,975.767578125,-97.18785095214844,20.867918014526367,-20.867918014526367,0.0,1.0,826.519180942,20379648.0,0.0,0.0,0.05479095131158829
1773898773.1377554,20633600.0,970.8369140625,0.0,,0.0,0.0,0.0,1.22835490401485e-06,33773.171374847356,970.8369140625,-97.17564392089844,21.716873168945312,-21.716873168945312,0.0,0.998046875,834.739194537,20633600.0,0.0,0.0,0.0573432631790638
1773898781.3576124,20887552.0,977.05859375,0.0,,0.0,0.0,0.0,-1.380867388434126e-06,33862.893259288554,977.05859375,-97.09603881835938,21.097091674804688,-21.097091674804688,0.0,1.0,842.955827415,20887552.0,0.0,0.0,0.05718865245580673
1773898789.5744307,21141504.0,974.76171875,0.0,,0.0,0.0,0.0,2.8821348223573295e-06,33873.8593780177,974.76171875,-97.19026947021484,19.662322998046875,-19.662322998046875,0.0,1.0,851.206874875,21141504.0,0.0,0.0,0.054132722318172455
1773898815.332436,21395456.0,977.2568359375,0.0,"{'sha256': 'fffe566f2d30b094a5c19635a0ea4d8bfbcd1144ba58f936e8288134ce3c2f0a', 'path': 'media/html/render_21395456_fffe566f2d30b094a5c1.html', 'size': 913281, '_type': 'html-file'}",0.0,0.0,0.0,8.066444934229366e-06,33737.37307554941,977.2568359375,-97.25096130371094,21.702104568481445,-21.702104568481445,0.0,1.0,868.713365473,21395456.0,0.0,0.0,0.04775453358888626
1773898815.484542,21649408.0,976.7939453125,0.0,,0.0,0.0,0.0,-4.731013632408576e-06,33955.10848410785,976.7939453125,-97.2574234008789,21.885175704956055,-21.885175704956055,0.0,1.0,877.099693085,21649408.0,0.0,0.0,0.05221923813223839
1773898823.7181149,21903360.0,978.435546875,0.0,,0.0,0.0,0.0,-3.0900633873898187e-07,33937.7422489205,978.435546875,-97.40324401855469,21.36547088623047,-21.36547088623047,0.0,1.0,885.316474482,21903360.0,0.0,0.0,0.04934557527303696
1773898831.9352303,22157312.0,977.265625,0.0,,0.0,0.0,0.0,-1.3306975006344146e-06,33873.77966146379,977.265625,-97.29397583007812,21.897308349609375,-21.897308349609375,0.0,1.0,893.523123066,22157312.0,0.0,0.0,0.06083470582962036
1773898840.1417058,22411264.0,977.9931640625,0.0,,0.0,0.0,0.0,3.0274224627646618e-05,33935.3126961715,977.9931640625,-97.4720458984375,22.201154708862305,-22.201154708862305,0.0,0.9990234375,901.748977661,22411264.0,0.0,0.0,0.04355423152446747
1773898865.32892,22665216.0,979.0556640625,0.0,"{'size': 910025, '_type': 'html-file', 'sha256': '175c524f9311e7e5845fc8d4751e93ba196b3f5647cfc4f8b4a19d222c058bda', 'path': 'media/html/render_22665216_175c524f9311e7e5845f.html'}",0.0,0.0,0.0,4.918816557619721e-06,33839.91040494941,979.0556640625,-97.45867919921875,21.861492156982422,-21.861492156982422,0.0,1.0,918.7099055260001,22665216.0,0.0,0.0,0.045052722096443176
1773898865.478048,22919168.0,965.1611328125,0.0,,0.0,0.0,0.0,-5.4542365433007944e-06,33708.90530980696,965.1611328125,-97.39202117919922,22.285350799560547,-22.285350799560547,0.0,0.998046875,927.077370996,22919168.0,0.0,0.0,0.045683495700359344
1773898873.695764,23173120.0,974.8193359375,0.0,,0.0,0.0,0.0,1.88954782061046e-05,33883.705101999265,974.8193359375,-97.41938018798828,24.339344024658203,-24.339344024658203,0.0,1.0,935.320553559,23173120.0,0.0,0.0,0.04513050243258476
1773898881.9389048,23427072.0,978.265625,0.0,,0.0,0.0,0.0,2.4353448679903522e-06,33770.03833313428,978.265625,-97.53865814208984,21.495262145996094,-21.495262145996094,0.0,0.9990234375,943.570821373,23427072.0,0.0,0.0,0.040153611451387405
1773898890.1892908,23681024.0,978.3974609375,0.0,,0.0,0.0,0.0,1.5351056390500162e-06,33724.38723082318,978.3974609375,-97.38294982910156,21.73472023010254,-21.73472023010254,0.0,0.9990234375,951.79217168,23681024.0,0.0,0.0,0.04761417955160141
1773898917.061737,23934976.0,970.37109375,0.0,"{'size': 910677, '_type': 'html-file', 'sha256': '7b2d37a8d64e09aac57bdbad99161c304afed72d0a9bd072059a9fe7fe86bcff', 'path': 'media/html/render_23934976_7b2d37a8d64e09aac57b.html'}",0.0,0.0,0.0,3.975295385316713e-06,33862.38836210447,970.37109375,-97.47124481201172,22.941884994506836,-22.941884994506836,0.0,0.9970703125,970.442699099,23934976.0,0.0,0.0,0.045557450503110886
1773898917.2179277,24188928.0,975.1640625,0.0,,0.0,0.0,0.0,-1.2470683941501193e-05,33861.444277065246,975.1640625,-97.54141235351562,22.06686782836914,-22.06686782836914,0.0,0.9990234375,978.840731006,24188928.0,0.0,0.0,0.04035814106464386
1773898925.458875,24442880.0,976.5,0.0,,0.0,0.0,0.0,8.27358690003166e-06,33801.01307366856,976.5,-97.49850463867188,23.42904281616211,-23.42904281616211,0.0,0.9990234375,987.07731312,24442880.0,0.0,0.0,0.04082464426755905
1773898933.69568,24696832.0,970.08984375,0.0,,0.0,0.0,0.0,1.3793111065751873e-05,33787.749909491875,970.08984375,-97.62237548828125,22.947973251342773,-22.947973251342773,0.0,0.99609375,995.300241464,24696832.0,0.0,0.0,0.03535132110118866
1773898941.9185266,24950784.0,973.33984375,0.0,,0.0,0.0,0.0,-4.068513590027578e-06,33852.970322583926,973.33984375,-97.64360046386719,22.158069610595703,-22.158069610595703,0.0,0.998046875,1003.499869443,24950784.0,0.0,0.0,0.0338418111205101
1773898967.400863,25204736.0,969.44921875,0.0,"{'path': 'media/html/render_25204736_820ae4f31eff6f6cb10a.html', 'size': 912701, '_type': 'html-file', 'sha256': '820ae4f31eff6f6cb10a239c9ec4cf124e0447a360a56a03055bb86238f76728'}",0.0,0.0,0.0,1.8122897017747164e-05,33950.8929535328,969.44921875,-97.7351303100586,24.361692428588867,-24.361692428588867,0.0,0.9921875,1020.781760894,25204736.0,0.0,0.0,0.029251722618937492
1773898967.5585546,25458688.0,977.3583984375,0.0,,0.0,0.0,0.0,1.8848964828066528e-05,33755.795999427915,977.3583984375,-97.77393341064453,22.826519012451172,-22.826519012451172,0.0,0.998046875,1029.176947782,25458688.0,0.0,0.0,0.026868578046560287
1773898975.7954261,25712640.0,974.177734375,0.0,,0.0,0.0,0.0,-2.7309392862662207e-06,33810.11996716474,974.177734375,-97.8354721069336,23.39826202392578,-23.39826202392578,0.0,0.9990234375,1037.419008176,25712640.0,0.0,0.0,0.025554895401000977
1773898984.037499,25966592.0,980.251953125,0.0,,0.0,0.0,0.0,2.814775825754623e-06,33760.83637749261,980.251953125,-97.9229736328125,21.653827667236328,-21.653827667236328,0.0,1.0,1045.633736343,25966592.0,0.0,0.0,0.023134605959057808
1773898992.2523472,26220544.0,980.1787109375,0.0,,0.0,0.0,0.0,-1.5963279338393477e-06,33877.987915647886,980.1787109375,-97.9780044555664,21.083478927612305,-21.083478927612305,0.0,1.0,1053.863306906,26220544.0,0.0,0.0,0.023617925122380257
1773899017.8655808,26474496.0,978.765625,0.0,"{'path': 'media/html/render_26474496_1a0d16043c85241e011e.html', 'size': 912745, '_type': 'html-file', 'sha256': '1a0d16043c85241e011e09612e1e62b645fa7ea03e1dbfc80f62e4cc9de2487d'}",0.0,0.0,0.0,3.5774569369095843e-06,33830.02886728727,978.765625,-98.0847396850586,21.79507827758789,-21.79507827758789,0.0,1.0,1071.246483959,26474496.0,0.0,0.0,0.021011169999837875
1773899018.0399399,26728448.0,977.986328125,0.0,,0.0,0.0,0.0,3.324844556118478e-06,33737.940506225634,977.986328125,-98.17007446289062,22.618152618408203,-22.618152618408203,0.0,1.0,1079.697286457,26728448.0,0.0,0.0,0.019725434482097626
1773899026.3155923,26982400.0,976.025390625,0.0,,0.0,0.0,0.0,1.2377121493045706e-05,33643.84509689246,976.025390625,-98.20836639404297,21.315101623535156,-21.315101623535156,0.0,1.0,1087.91464505,26982400.0,0.0,0.0,0.018974555656313896
1773899034.5331867,27236352.0,979.634765625,0.0,,0.0,0.0,0.0,8.161766800185433e-07,33872.646434277056,979.634765625,-98.1831283569336,23.239038467407227,-23.239038467407227,0.0,1.0,1096.168523802,27236352.0,0.0,0.0,0.020091945305466652
1773899042.787049,27490304.0,976.2548828125,0.0,,0.0,0.0,0.0,1.8026205452770228e-06,33725.2948574043,976.2548828125,-98.23722076416016,23.476722717285156,-23.476722717285156,0.0,1.0,1104.392615043,27490304.0,0.0,0.0,0.02002621628344059
1773899068.5351532,27744256.0,975.9931640625,0.0,"{'path': 'media/html/render_27744256_bb170ff7a3d0a2ee1379.html', 'size': 911129, '_type': 'html-file', 'sha256': 'bb170ff7a3d0a2ee13797fc99ddeac9756a87d8faab58d474de323c9978d154d'}",0.0,0.0,0.0,7.681706847506575e-06,33854.59827546702,975.9931640625,-98.2382583618164,23.804500579833984,-23.804500579833984,0.0,0.9990234375,1121.916068582,27744256.0,0.0,0.0,0.018023796379566193
1773899068.6930668,27998208.0,973.921875,0.0,,0.0,0.0,0.0,-5.376570697990246e-06,33713.827117231864,973.921875,-98.27812957763672,24.64557647705078,-24.64557647705078,0.0,1.0,1130.316737726,27998208.0,0.0,0.0,0.017688538879156113
