training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,_runtime,eval/episode_dist,eval/episode_reward_survive,training/critic_loss,_timestamp,training/entropy,render,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_near,_step,eval/episode_reward,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,step,training/actor_loss
1.0992784154950641e-05,1.0,0.0,732.837293732,22.491302490234375,0.0,0.05121859535574913,1773889502.5569444,0.0,,-22.491302490234375,0.0,0.0,18094080.0,976.2392578125,0.0,0.0,33805.87812792288,976.2392578125,18094080.0,-97.21636199951172
3.0429529942921363e-05,1.0,0.0,741.06121708,23.865345001220703,0.0,0.06625868380069733,1773889510.7507112,0.0,,-23.865345001220703,0.0,0.0,18348032.0,972.890625,0.0,0.0,33987.304390128316,972.890625,18348032.0,-97.2326431274414
1.1085218829975929e-05,1.0,0.0,749.289155726,22.803184509277344,0.0,0.0489790216088295,1773889518.974863,0.0,,-22.803184509277344,0.0,0.0,18601984.0,973.6005859375,0.0,0.0,33846.618177300166,973.6005859375,18601984.0,-97.26778411865234
4.846578576689353e-06,0.9990234375,0.0,766.939872042,24.34490203857422,0.0,0.041781939566135406,1773889544.8540087,0.0,"{'path': 'media/html/render_18855936_d0a6f9db2619fcb49fd2.html', 'size': 907801, '_type': 'html-file', 'sha256': 'd0a6f9db2619fcb49fd255698d001705b0407e025071d6ccf70bbda5a47064b6'}",-24.34490203857422,0.0,0.0,18855936.0,969.451171875,0.0,0.0,33831.52889011787,969.451171875,18855936.0,-97.37675476074219
4.459316187421791e-06,1.0,0.0,775.331432348,24.17903709411621,0.0,0.050193801522254944,1773889545.0109181,0.0,,-24.17903709411621,0.0,0.0,19109888.0,971.978515625,0.0,0.0,33937.56275070189,971.978515625,19109888.0,-97.3672866821289
-6.025896709616063e-06,1.0,0.0,783.547704336,22.70145034790039,0.0,0.04262207821011543,1773889553.2447457,0.0,,-22.70145034790039,0.0,0.0,19363840.0,975.4091796875,0.0,0.0,33844.18767367099,975.4091796875,19363840.0,-97.25881958007812
1.9978291675215587e-05,1.0,0.0,791.750549405,23.272777557373047,0.0,0.04318040609359741,1773889561.461143,0.0,,-23.272777557373047,0.0,0.0,19617792.0,965.201171875,0.0,0.0,33881.05480342741,965.201171875,19617792.0,-97.29255676269531
-6.159619078971446e-05,0.9990234375,0.0,799.981785083,24.785173416137695,0.0,0.08254773169755936,1773889569.6640706,0.0,,-24.785173416137695,0.0,0.0,19871744.0,963.8759765625,0.0,0.0,33941.463480018785,963.8759765625,19871744.0,-97.19152069091797
-9.443704698242072e-07,1.0,0.0,817.794647822,23.369304656982422,0.0,0.04571377858519554,1773889595.70879,0.0,"{'path': 'media/html/render_20125696_fb208aafadf58c90d894.html', 'size': 907813, '_type': 'html-file', 'sha256': 'fb208aafadf58c90d8949cadbd6beddaa6935e467b5d97aad6976dfdc443588a'}",-23.369304656982422,0.0,0.0,20125696.0,969.9951171875,0.0,0.0,33806.17426022802,969.9951171875,20125696.0,-97.24002075195312
2.2171225282363594e-05,0.9990234375,0.0,826.179101616,24.097396850585938,0.0,0.04900350794196129,1773889595.8658552,0.0,,-24.097396850585938,0.0,0.0,20379648.0,975.818359375,0.0,0.0,33864.82255735597,975.818359375,20379648.0,-97.45979309082031
