eval/episode_success_any,training/critic_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success,_runtime,_timestamp,training/alpha_loss,eval/episode_success_hard,training/entropy,eval/episode_success_easy,render,training/actor_loss,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward,step,training/sps,eval/episode_reward_dist,eval/episode_reward_near,_step
1.0,0.0468442440032959,0.0,0.0,973.0810546875,767.927760127,1773904956.5163088,-8.867475116858259e-06,0.0,0.0,0.0,"{'size': 909949, '_type': 'html-file', 'sha256': '62768f83dc21f7fa0a5c1d79727c467782eb976c026488ac2e1a366fe35fdd67', 'path': 'media/html/render_18855936_62768f83dc21f7fa0a5c.html'}",-97.15180206298828,0.0,22.650388717651367,973.0810546875,18855936.0,33798.7124497653,-22.650388717651367,0.0,18855936.0
1.0,0.04663289338350296,0.0,0.0,974.66796875,776.354380599,1773904956.6852112,-6.28961834081565e-06,0.0,0.0,0.0,,-97.28192138671875,0.0,21.428741455078125,974.66796875,19109888.0,33802.17047561218,-21.428741455078125,0.0,19109888.0
1.0,0.045146625488996506,0.0,0.0,964.1748046875,784.601648919,1773904964.9422917,1.024549510475481e-05,0.0,0.0,0.0,,-97.22139739990234,0.0,23.09046173095703,964.1748046875,19363840.0,33726.56561669572,-23.09046173095703,0.0,19363840.0
1.0,0.04398488998413086,0.0,0.0,965.255859375,792.832739224,1773904973.1895778,1.2107948350603692e-05,0.0,0.0,0.0,,-97.28123474121094,0.0,23.315025329589844,965.255859375,19617792.0,33739.351151062096,-23.315025329589844,0.0,19617792.0
1.0,0.04584435001015663,0.0,0.0,974.8203125,801.082518956,1773904981.4207008,5.132071692059981e-07,0.0,0.0,0.0,,-97.31486511230469,0.0,21.84213638305664,974.8203125,19871744.0,33816.1835782313,-21.84213638305664,0.0,19871744.0
1.0,0.042829155921936035,0.0,0.0,973.2744140625,818.887317827,1773905007.4758635,-5.0842809287132695e-06,0.0,0.0,0.0,"{'size': 907473, '_type': 'html-file', 'sha256': '8a18c9e6490b7c184fc7bc00388ec3166b39ffc0a7eb5fd85280c30ca0b254df', 'path': 'media/html/render_20125696_8a18c9e6490b7c184fc7.html'}",-97.39701843261719,0.0,23.256826400756836,973.2744140625,20125696.0,33726.48125239693,-23.256826400756836,0.0,20125696.0
1.0,0.0437612347304821,0.0,0.0,975.7041015625,827.295338359,1773905007.6290116,1.4491074580291752e-05,0.0,0.0,0.0,,-97.4214096069336,0.0,22.03487205505371,975.7041015625,20379648.0,33857.38434259829,-22.03487205505371,0.0,20379648.0
1.0,0.03958640620112419,0.0,0.0,971.171875,835.536871868,1773905015.8829157,-9.793052413442638e-07,0.0,0.0,0.0,,-97.45268249511719,0.0,22.568313598632812,971.171875,20633600.0,33716.24106719825,-22.568313598632812,0.0,20633600.0
1.0,0.04173511639237404,0.0,0.0,972.845703125,843.769413351,1773905024.1249278,5.700989049728378e-07,0.0,0.0,0.0,,-97.44093322753906,0.0,23.37435531616211,972.845703125,20887552.0,33766.38028431105,-23.37435531616211,0.0,20887552.0
1.0,0.040665049105882645,0.0,0.0,962.087890625,851.987302107,1773905032.3574824,3.388454388186801e-07,0.0,0.0,0.0,,-97.52433013916016,0.0,23.291400909423828,962.087890625,21141504.0,33798.80361072059,-23.291400909423828,0.0,21141504.0
1.0,0.04127177223563194,0.0,0.0,971.9619140625,869.40794814,1773905057.9964836,-2.233796658401843e-05,0.0,0.0,0.0,"{'size': 909157, '_type': 'html-file', 'sha256': 'dd0a611417e520188570eb7b6523001ff3af5156a16f11e1dfaa67b76d9d5321', 'path': 'media/html/render_21395456_dd0a611417e520188570.html'}",-97.55194854736328,0.0,21.92316436767578,971.9619140625,21395456.0,33886.864661641455,-21.92316436767578,0.0,21395456.0
1.0,0.0405590645968914,0.0,0.0,970.328125,877.783326223,1773905058.151893,3.101054971921258e-05,0.0,0.0,0.0,,-97.698974609375,0.0,21.35797119140625,970.328125,21649408.0,33827.976759270015,-21.35797119140625,0.0,21649408.0
1.0,0.04028407111763954,0.0,0.0,970.0888671875,886.006207194,1773905066.3713317,-3.769972636291641e-06,0.0,0.0,0.0,,-97.6236572265625,0.0,22.260456085205078,970.0888671875,21903360.0,33977.18052417368,-22.260456085205078,0.0,21903360.0
1.0,0.041644249111413956,0.0,0.0,975.9453125,894.243913418,1773905074.5943892,6.000432222208474e-06,0.0,0.0,0.0,,-97.61897277832031,0.0,21.68769645690918,975.9453125,22157312.0,33849.1813386869,-21.68769645690918,0.0,22157312.0
1.0,0.03738189861178398,0.0,0.0,971.8251953125,902.473386362,1773905082.831917,9.940106792782899e-06,0.0,0.0,0.0,,-97.61638641357422,0.0,21.302101135253906,971.8251953125,22411264.0,33788.6588062085,-21.302101135253906,0.0,22411264.0
1.0,0.04226110875606537,0.0,0.0,976.158203125,920.006204294,1773905108.5947597,9.408637197338976e-06,0.0,0.0,0.0,"{'sha256': 'e56b3a05da37231610edcac0bf71ff0b24966553b21d5a3a1f6cc0cf8de3905b', 'path': 'media/html/render_22665216_e56b3a05da37231610ed.html', 'size': 908977, '_type': 'html-file'}",-97.63494873046875,0.0,21.87535858154297,976.158203125,22665216.0,33816.94047470245,-21.87535858154297,0.0,22665216.0
1.0,0.03945022076368332,0.0,0.0,975.4716796875,928.409547584,1773905108.7495656,-1.7330859918729402e-05,0.0,0.0,0.0,,-97.6119613647461,0.0,22.871749877929688,975.4716796875,22919168.0,33776.577048717874,-22.871749877929688,0.0,22919168.0
1.0,0.03607391193509102,0.0,0.0,975.185546875,936.613634481,1773905116.997255,2.0088880773982964e-05,0.0,0.0,0.0,,-97.70671844482422,0.0,23.370437622070312,975.185546875,23173120.0,33766.00777946644,-23.370437622070312,0.0,23173120.0
1.0,0.03488911688327789,0.0,0.0,975.26953125,944.85059902,1773905125.2015955,-1.7223328541149385e-05,0.0,0.0,0.0,,-97.77930450439453,0.0,22.41132354736328,975.26953125,23427072.0,33944.62408512365,-22.41132354736328,0.0,23427072.0
1.0,0.03362428769469261,0.0,0.0,976.04296875,953.07463456,1773905133.4386148,1.938724199135322e-05,0.0,0.0,0.0,,-97.89156341552734,0.0,22.465511322021484,976.04296875,23681024.0,33786.75425211488,-22.465511322021484,0.0,23681024.0
1.0,0.034488335251808167,0.0,0.0,976.67578125,970.57871335,1773905159.167222,-5.068707196187461e-06,0.0,0.0,0.0,"{'size': 907785, '_type': 'html-file', 'sha256': 'eed85a15da21d3155fbd06edfa02d0edae3c09fb7a5930eaf5590249237b583d', 'path': 'media/html/render_23934976_eed85a15da21d3155fbd.html'}",-97.89054107666016,0.0,21.829668045043945,976.67578125,23934976.0,33840.60278033505,-21.829668045043945,0.0,23934976.0
