eval/episode_success_easy,eval/episode_success_hard,_timestamp,_runtime,eval/episode_reward_dist,training/entropy,eval/episode_reward_near,training/sps,eval/episode_success_any,render,eval/episode_reward_survive,training/alpha_loss,training/log_alpha,eval/episode_reward_ctrl,step,eval/episode_reward,eval/episode_success,_step,eval/episode_dist,training/critic_loss,training/actor_loss
153.76171875,0.0,1773623284.9365597,2309.49371078,0.0,0.0,0.0,29293.64043820447,0.1572265625,,952.6220703125,1.723162677080836e-05,0.0,-2000.65625,20379648.0,108.462890625,108.462890625,20379648.0,6974.5048828125,0.23901307582855225,-14.296024322509766
126.1123046875,0.0,1773623307.9579973,2332.332353464,0.0,0.0,0.0,29108.389579884548,0.125,,948.1396484375,-3.356132947374135e-05,0.0,-1963.9927978515625,20633600.0,94.80078125,94.80078125,20633600.0,7373.6162109375,0.24673591554164886,-14.134567260742188
142.0361328125,0.0,1773623330.7968676,2355.342817262,0.0,0.0,0.0,29280.962103055223,0.138671875,,965.2060546875,4.459639239939861e-05,0.0,-1924.5244140625,20887552.0,111.2744140625,111.2744140625,20887552.0,7345.8349609375,0.2355746626853943,-14.276219367980957
143.82421875,0.0,1773623353.8074522,2378.179313956,0.0,0.0,0.0,29139.888517875646,0.1572265625,,895.48828125,-1.889246232167352e-05,0.0,-1811.8372802734375,21141504.0,120.3681640625,120.3681640625,21141504.0,6526.35009765625,0.2238696664571762,-14.294631004333496
127.439453125,0.0,1773623426.7437606,2428.278654592,0.0,0.0,0.0,29279.47627415525,0.1357421875,"{'path': 'media/html/render_21395456_a1f2a9f5b7db2b31e44c.html', 'size': 3860009.0, '_type': 'html-file', 'sha256': 'a1f2a9f5b7db2b31e44c6ec02ba80ff65a23be415cc5cadc45bfeb510741033e'}",907.6591796875,-5.233185675024288e-06,0.0,-1917.2415771484375,21395456.0,92.646484375,92.646484375,21395456.0,7046.42578125,0.219044029712677,-14.415647506713867
140.3974609375,0.0,1773623426.9552586,2451.339850977,0.0,0.0,0.0,29136.740737328517,0.1435546875,,926.212890625,-6.278457931330195e-06,0.0,-1983.138916015625,21649408.0,119.255859375,119.255859375,21649408.0,6831.2958984375,0.22894397377967834,-14.236987113952637
146.4365234375,0.0,1773623449.8043685,2474.349848246,0.0,0.0,0.0,29223.310703669133,0.16015625,,884.9443359375,1.9651115508168004e-05,0.0,-1759.86865234375,21903360.0,115.3212890625,115.3212890625,21903360.0,6286.20849609375,0.22580906748771667,-14.312055587768555
131.3173828125,0.0,1773623472.814124,2497.181012007,0.0,0.0,0.0,29149.287281363286,0.1396484375,,914.9755859375,1.4636008017987479e-05,0.0,-1782.375732421875,22157312.0,107.767578125,107.767578125,22157312.0,6824.12939453125,0.22796504199504852,-14.386824607849121
121.2353515625,0.0,1773623495.6452608,2520.190943077,0.0,0.0,0.0,29287.739588229106,0.1298828125,,920.8583984375,-2.6518808226683177e-05,0.0,-1862.821533203125,22411264.0,98.908203125,98.908203125,22411264.0,7264.27734375,0.24687336385250092,-14.142653465270996
148.7958984375,0.0,1773623568.50144,2570.036296968,0.0,0.0,0.0,29098.451962041905,0.150390625,"{'path': 'media/html/render_22665216_2bf39b2a731661c60390.html', 'size': 3860937.0, '_type': 'html-file', 'sha256': '2bf39b2a731661c6039042618dd0f1ced3c6ef8d9e8b16cee0c82d4c5ce211f2'}",972.7060546875,-2.5724191345943836e-06,0.0,-2140.4169921875,22665216.0,113.5263671875,113.5263671875,22665216.0,6620.51611328125,0.22902999818325043,-14.210179328918457
143.01953125,0.0,1773623568.7036252,2593.255921456,0.0,0.0,0.0,29314.37427257396,0.14453125,,959.806640625,8.972935575002339e-06,0.0,-1956.98974609375,22919168.0,102.982421875,102.982421875,22919168.0,7180.8046875,0.24757280945777893,-14.138872146606445
144.349609375,0.0,1773623591.7201633,2616.102121627,0.0,0.0,0.0,29055.486002585705,0.1494140625,,956.1123046875,9.06287368707126e-06,0.0,-1972.772705078125,23173120.0,105.666015625,105.666015625,23173120.0,7420.36962890625,0.23407337069511414,-13.987797737121582
112.638671875,0.0,1773623614.566388,2639.075840177,0.0,0.0,0.0,29239.768183059976,0.1259765625,,925.5732421875,-2.2617910872213542e-05,0.0,-1956.788818359375,23427072.0,80.9892578125,80.9892578125,23427072.0,7149.220703125,0.23327629268169403,-13.85998821258545
139.8359375,0.0,1773623637.5401337,2661.907425502,0.0,0.0,0.0,29152.906935240237,0.1455078125,,942.771484375,2.162193959520664e-05,0.0,-1960.22021484375,23681024.0,112.943359375,112.943359375,23681024.0,6926.69921875,0.23741789162158966,-14.051432609558105
139.4716796875,0.0,1773623710.4835496,2712.018390085,0.0,0.0,0.0,29283.55018787186,0.1416015625,"{'path': 'media/html/render_23934976_b9c956484951cda11f82.html', 'size': 3851533.0, '_type': 'html-file', 'sha256': 'b9c956484951cda11f820aefeaaa4b6a05dd01a247475996eb172cb1123408b0'}",906.9599609375,8.639181032776833e-06,0.0,-1869.92626953125,23934976.0,107.5673828125,107.5673828125,23934976.0,6874.447265625,0.22988611459732056,-14.154272079467773
86.982421875,0.0,1773623710.6947134,2735.086150457,0.0,0.0,0.0,29146.90312502189,0.083984375,,893.8671875,-8.152695045282599e-06,0.0,-1830.2821044921875,24188928.0,56.474609375,56.474609375,24188928.0,6955.38037109375,0.2400072067975998,-13.981027603149414
110.6982421875,0.0,1773623733.5505185,2757.988056826,0.0,0.0,0.0,29230.878922876338,0.1142578125,,913.583984375,-1.4792489309911616e-05,0.0,-1773.4033203125,24442880.0,79.857421875,79.857421875,24442880.0,6977.03466796875,0.22009751200675964,-14.040066719055176
155.8115234375,0.0,1773623756.4522767,2780.825208648,0.0,0.0,0.0,29060.98439849571,0.1572265625,,983.7626953125,3.48754801962059e-05,0.0,-2042.517333984375,24696832.0,128.2822265625,128.2822265625,24696832.0,7476.7470703125,0.256032794713974,-14.100963592529297
158.8603515625,0.0,1773623779.2897165,2803.912043113,0.0,0.0,0.0,29215.554079632275,0.1650390625,,978.2060546875,-1.8497990822652355e-05,0.0,-2018.43017578125,24950784.0,127.171875,127.171875,24950784.0,7402.91259765625,0.2317100167274475,-14.144303321838379
160.2177734375,0.0,1773623851.6029391,2853.13779191,0.0,0.0,0.0,29110.11903843502,0.169921875,"{'path': 'media/html/render_25204736_d7e32af6f1f0c7acc685.html', 'size': 3857321.0, '_type': 'html-file', 'sha256': 'd7e32af6f1f0c7acc68572019cbfafef6ae270ebcb899c185ce96b38ec3508c6'}",950.60546875,-1.3979348295833915e-05,0.0,-1984.01708984375,25204736.0,129.54296875,129.54296875,25204736.0,7178.2421875,0.2527596652507782,-13.865768432617188
149.572265625,0.0,1773623851.8134108,2876.195842109,0.0,0.0,0.0,29312.9810470854,0.154296875,,976.3876953125,6.96055803928175e-06,0.0,-2058.55029296875,25458688.0,121.4599609375,121.4599609375,25458688.0,7661.44140625,0.24712833762168884,-13.921024322509766
136.048828125,0.0,1773623874.6600318,2899.049375939,0.0,0.0,0.0,29089.49269418475,0.138671875,,964.1201171875,3.9180235035018995e-05,0.0,-1933.101318359375,25712640.0,95.298828125,95.298828125,25712640.0,7441.8525390625,0.25997212529182434,-13.935802459716797
130.2060546875,0.0,1773623897.5136886,2922.00437451,0.0,0.0,0.0,29227.300030853043,0.1337890625,,979.2705078125,-2.9441962396958843e-05,0.0,-1950.093017578125,25966592.0,93.34375,93.34375,25966592.0,7614.4609375,0.23863030970096588,-14.066375732421875
110.9150390625,0.0,1773623920.4689002,2944.873486883,0.0,0.0,0.0,29129.532658492382,0.1220703125,,925.7978515625,-1.4815466784057207e-05,0.0,-1953.8414306640625,26220544.0,82.7333984375,82.7333984375,26220544.0,7514.49560546875,0.23731397092342377,-14.154377937316895
156.689453125,0.0,1773623993.2976015,2994.832446089,0.0,0.0,0.0,29174.58621567271,0.1650390625,"{'size': 3864241.0, '_type': 'html-file', 'sha256': 'a1123756d3fdf3cbb721b4b0085e61909d9e0715b509253224a24aeec76716ed', 'path': 'media/html/render_26474496_a1123756d3fdf3cbb721.html'}",967.677734375,7.67435267334804e-06,0.0,-2074.27099609375,26474496.0,131.3203125,131.3203125,26474496.0,7283.02880859375,0.2323954850435257,-14.045939445495605
135.076171875,0.0,1773623993.5075476,3017.930309147,0.0,0.0,0.0,29108.24321380014,0.14453125,,973.89453125,7.921184078441001e-06,0.0,-1958.33935546875,26728448.0,96.1787109375,96.1787109375,26728448.0,7534.150390625,0.2370501160621643,-13.990429878234863
161.8828125,0.0,1773624016.3946633,3040.932568888,0.0,0.0,0.0,29136.708856476955,0.1689453125,,958.2138671875,6.942189429537393e-06,0.0,-2047.4056396484375,26982400.0,135.078125,135.078125,26982400.0,7110.07080078125,0.23326508700847626,-13.979940414428711
145.5009765625,0.0,1773624039.3969612,3063.776358917,0.0,0.0,0.0,29088.642668909022,0.1416015625,,963.4150390625,4.0612092561786994e-05,0.0,-1928.323974609375,27236352.0,113.3359375,113.3359375,27236352.0,7261.73193359375,0.22908630967140198,-13.994441986083984
125.7158203125,0.0,1773624062.2407675,3086.777327586,0.0,0.0,0.0,29192.778539367686,0.125,,901.3037109375,-1.9294464436825365e-05,0.0,-1841.098388671875,27490304.0,79.0263671875,79.0263671875,27490304.0,6886.6103515625,0.23503592610359192,-13.97915267944336
