training/entropy,render,training/sps,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,_timestamp,eval/episode_reward,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward_near,_step,eval/episode_success,_runtime,training/actor_loss,step,training/log_alpha,eval/episode_success_hard
0.0,,28899.924537401927,0.0,2.4612090783193707e-05,0.126953125,124.5517578125,-1690.580810546875,0.17849101126194,1773546402.893809,88.6240234375,855.30859375,6475.33935546875,0.0,6666240.0,88.6240234375,771.314018369,-5.490477085113525,6666240.0,0.0,0.0
0.0,,28845.967529867703,0.0,-0.00019279101979918778,0.12109375,115.353515625,-1716.082763671875,0.18258219957351685,1773546425.9664998,92.3251953125,843.48046875,6522.50390625,0.0,6920192.0,92.3251953125,794.248608933,-6.225295543670654,6920192.0,0.0,0.0
0.0,,28945.749633609936,0.0,-8.686057299200911e-06,0.1484375,147.1787109375,-1688.474365234375,0.1978893131017685,1773546448.9008446,122.2919921875,815.556640625,5669.046875,0.0,7174144.0,122.2919921875,817.340863485,-6.830386161804199,7174144.0,0.0,0.0
0.0,"{'size': 3861533.0, '_type': 'html-file', 'sha256': 'f692c98020fdc67c430b77812e463da09ab130d826bce178964dfc6216f69363', 'path': 'media/html/render_7428096_f692c98020fdc67c430b.html'}",28784.394321856926,0.0,7.565801206510514e-05,0.146484375,155.5458984375,-1722.417724609375,0.20032629370689392,1773546520.8409593,112.904296875,777.1298828125,5518.294921875,0.0,7428096.0,112.904296875,866.187921438,-7.199263572692871,7428096.0,0.0,0.0
0.0,,28979.758400632512,0.0,5.154857717570849e-06,0.15625,162.7724609375,-1878.76171875,0.20422345399856567,1773546521.0204084,124.9794921875,901.57421875,6474.19140625,0.0,7682048.0,124.9794921875,889.482463211,-6.931477069854736,7682048.0,0.0,0.0
0.0,,28726.814143249605,0.0,-8.983414772956166e-06,0.1171875,112.3896484375,-1687.2718505859375,0.2044193148612976,1773546544.1349084,87.1513671875,856.9326171875,6788.0341796875,0.0,7936000.0,87.1513671875,912.406712475,-7.977795124053955,7936000.0,0.0,0.0
0.0,,28981.239986960572,0.0,5.142873487784527e-05,0.146484375,144.66015625,-1768.1044921875,0.203047975897789,1773546567.0590816,117.8427734375,841.5625,6206.9306640625,0.0,8189952.0,117.8427734375,935.470889841,-7.299217700958252,8189952.0,0.0,0.0
0.0,,28870.79881448739,0.0,-2.290691327289096e-06,0.1083984375,131.75,-1736.351318359375,0.19136419892311096,1773546590.1233208,69.189453125,847.6787109375,6326.37890625,0.0,8443904.0,69.189453125,958.387927635,-8.047842025756836,8443904.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '6f4932891c9a49d474e31a9cf972dd3a2ab4a331204c9d5ae04b3028eeaa4457', 'path': 'media/html/render_8697856_6f4932891c9a49d474e3.html', 'size': 3865777.0}",28984.51278738162,0.0,1.0502730219741352e-05,0.1513671875,138.9326171875,-1582.0120849609375,0.18770566582679749,1773546662.9387546,120.4921875,779.2373046875,5651.29931640625,0.0,8697856.0,120.4921875,1008.285968081,-8.353222846984863,8697856.0,0.0,0.0
0.0,,28804.254390372822,0.0,1.8501177692087367e-05,0.0986328125,138.5390625,-1572.8642578125,0.19205357134342194,1773546663.1564178,67.6220703125,784.537109375,5775.39599609375,0.0,8951808.0,67.6220703125,1031.494955475,-8.691591262817383,8951808.0,0.0,0.0
0.0,,28849.327834957057,0.0,4.442726549314102e-06,0.158203125,146.4541015625,-1879.8046875,0.1930500566959381,1773546686.1472807,134.001953125,858.412109375,6404.22998046875,0.0,9205760.0,134.001953125,1054.593911748,-8.983287811279297,9205760.0,0.0,0.0
0.0,,28774.734183224075,0.0,-2.0865372789558023e-05,0.10546875,92.896484375,-1702.31689453125,0.1980556696653366,1773546709.246315,61.755859375,863.1787109375,7002.71533203125,0.0,9459712.0,61.755859375,1077.573663059,-8.90388011932373,9459712.0,0.0,0.0
0.0,,28935.90308566501,0.0,5.70701013202779e-05,0.130859375,130.412109375,-1809.721923828125,0.19165143370628357,1773546732.2258747,96.658203125,928.2392578125,7004.35498046875,0.0,9713664.0,96.658203125,1100.660461385,-9.403326034545898,9713664.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': 'd76bb4e2e28a6395f871f18b88d3ea9f67e1eeb4167ff83cced375f09485dc6e', 'path': 'media/html/render_9967616_d76bb4e2e28a6395f871.html', 'size': 3869385.0}",28806.166805029236,0.0,-1.750014052959159e-05,0.1240234375,121.6337890625,-1808.432373046875,0.19437766075134277,1773546804.7752483,88.865234375,917.4189453125,7046.9951171875,0.0,9967616.0,88.865234375,1150.122245927,-9.66321086883545,9967616.0,0.0,0.0
0.0,,28958.195966668623,0.0,2.542700713092927e-05,0.1552734375,149.2685546875,-1636.9063720703125,0.18715807795524597,1773546804.9729352,131.455078125,847.41015625,6260.25390625,0.0,10221568.0,131.455078125,1173.485964732,-9.571812629699707,10221568.0,0.0,0.0
0.0,,28602.5351983358,0.0,1.836546289268881e-05,0.1435546875,139.685546875,-1844.4058837890625,0.1814006119966507,1773546828.1383939,92.966796875,945.2783203125,6991.9833984375,0.0,10475520.0,92.966796875,1196.448655308,-10.077027320861816,10475520.0,0.0,0.0
0.0,,28849.559905382604,0.0,2.1842233763891272e-06,0.1328125,121.373046875,-1613.8572998046875,0.1831965148448944,1773546851.1010742,110.8232421875,825.8056640625,6085.45556640625,0.0,10729472.0,110.8232421875,1219.551667817,-10.45360279083252,10729472.0,0.0,0.0
0.0,,28756.313693286025,0.0,-1.7683787518762983e-05,0.126953125,124.6826171875,-1839.4951171875,0.17702412605285645,1773546874.2040603,100.9365234375,903.08203125,6999.8701171875,0.0,10983424.0,100.9365234375,1242.513235068,-10.732850074768066,10983424.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': 'fd345b52bd79b914cc7d028840436fbbb6f874796850e6658ef7a685ca2a8422', 'path': 'media/html/render_11237376_fd345b52bd79b914cc7d.html', 'size': 3859561.0}",28888.19026102901,0.0,-1.8027541955234483e-05,0.1572265625,159.2470703125,-2044.4049072265625,0.1781122237443924,1773546947.3660946,127.30859375,972.9169921875,7188.64599609375,0.0,11237376.0,127.30859375,1292.713090296,-11.161648750305176,11237376.0,0.0,0.0
0.0,,28769.383191568668,0.0,4.159615855314769e-05,0.1474609375,138.7314453125,-1753.351318359375,0.16629336774349213,1773546947.5515625,121.7470703125,856.5771484375,6401.2265625,0.0,11491328.0,121.7470703125,1315.863150879,-11.068018913269043,11491328.0,0.0,0.0
0.0,,28864.325537526824,0.0,-2.973475966427941e-05,0.1533203125,148.314453125,-1828.6317138671875,0.17383292317390442,1773546970.5154665,119.8251953125,915.8408203125,6822.158203125,0.0,11745280.0,119.8251953125,1338.964939973,-11.517961502075195,11745280.0,0.0,0.0
0.0,,28762.874530577166,0.0,-4.710387293016538e-05,0.1640625,154.0791015625,-2060.196044921875,0.17813540995121002,1773546993.617255,142.88671875,954.8720703125,6822.1455078125,0.0,11999232.0,142.88671875,1361.928878786,-12.012534141540527,11999232.0,0.0,0.0
0.0,,28897.407735202276,0.0,5.106547541799955e-05,0.142578125,151.4775390625,-1891.9261474609375,0.18279673159122467,1773547016.5812857,94.7080078125,893.3720703125,6527.578125,0.0,12253184.0,94.7080078125,1385.034758798,-12.18393611907959,12253184.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '2434f9651ab173e2c205755008b67ae20b0fd23f174206e8833fdb3dc4d2c682', 'path': 'media/html/render_12507136_2434f9651ab173e2c205.html', 'size': 3867249.0}",28729.28194421979,0.0,2.316813697689213e-05,0.130859375,138.0146484375,-1946.32568359375,0.15593655407428741,1773547088.9593616,103.4677734375,920.62890625,7182.701171875,0.0,12507136.0,103.4677734375,1434.306372294,-13.0097074508667,12507136.0,0.0,0.0
0.0,,28949.96489014063,0.0,-2.350186332478188e-05,0.15234375,149.1318359375,-1709.869140625,0.16737088561058044,1773547089.1481764,129.88671875,817.6748046875,6074.2744140625,0.0,12761088.0,129.88671875,1457.635688095,-13.01853084564209,12761088.0,0.0,0.0
0.0,,28658.91834839362,0.0,5.952475476078689e-05,0.1689453125,161.599609375,-1830.214599609375,0.15080392360687256,1773547112.288128,143.685546875,883.3603515625,6255.04931640625,0.0,13015040.0,143.685546875,1480.598449792,-13.348397254943848,13015040.0,0.0,0.0
0.0,,28869.47873135081,0.0,3.303433186374605e-05,0.1533203125,145.65234375,-1940.676025390625,0.14889676868915558,1773547135.2507515,122.435546875,938.021484375,6854.26025390625,0.0,13268992.0,122.435546875,1503.709598421,-13.518095970153809,13268992.0,0.0,0.0
0.0,,28728.981291469194,0.0,-3.559257311280817e-05,0.16796875,156.5322265625,-1671.128173828125,0.1405647248029709,1773547158.3619106,139.13671875,800.3623046875,5780.2998046875,0.0,13522944.0,139.13671875,1526.656661737,-13.798468589782715,13522944.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': 'd8a1a15b2668b4b91a13809415e9e2e0a08901a16914eb99fa7c7e2041a724a6', 'path': 'media/html/render_13776896_d8a1a15b2668b4b91a13.html', 'size': 3864657.0}",28935.134327295924,0.0,1.8575641661300324e-05,0.103515625,86.9013671875,-1675.0103759765625,0.1448204070329666,1773547230.921117,69.07421875,899.2421875,7006.484375,0.0,13776896.0,69.07421875,1576.268097447,-13.997275352478027,13776896.0,0.0,0.0
0.0,,28745.926841982102,0.0,2.0871524611720815e-05,0.1611328125,155.255859375,-1923.5411376953125,0.12447736412286758,1773547231.1395695,130.72265625,916.6123046875,6846.15087890625,0.0,14030848.0,130.72265625,1599.473784879,-14.45174503326416,14030848.0,0.0,0.0
0.0,,28862.561810808147,0.0,-1.3492506695911288e-05,0.1435546875,136.8720703125,-1941.30224609375,0.12956827878952026,1773547254.1255767,126.123046875,902.1826171875,6755.92236328125,0.0,14284800.0,126.123046875,1622.589620885,-14.572538375854492,14284800.0,0.0,0.0
0.0,,28716.470265248427,0.0,-1.7773035096979584e-06,0.134765625,139.5283203125,-1991.59912109375,0.11944223195314407,1773547277.2419987,79.5859375,927.443359375,6908.033203125,0.0,14538752.0,79.5859375,1645.551405993,-14.721217155456543,14538752.0,0.0,0.0
0.0,,28872.30528089967,0.0,2.8825894332840107e-05,0.1396484375,133.6787109375,-1902.6640625,0.10450675338506699,1773547300.203602,111.435546875,921.3076171875,6921.6513671875,0.0,14792704.0,111.435546875,1668.663254046,-15.057121276855469,14792704.0,0.0,0.0
0.0,"{'sha256': '0ca6d962d9f1d0f9bed17993a01a415f93f0739de2f21d2ff843152a2ba9afa8', 'path': 'media/html/render_15046656_0ca6d962d9f1d0f9bed1.html', 'size': 3861989.0, '_type': 'html-file'}",28721.394992242283,0.0,-6.936081263120286e-06,0.1640625,154.1005859375,-1769.4923095703125,0.10441509634256363,1773547373.1050215,144.16796875,819.154296875,5730.2978515625,0.0,15046656.0,144.16796875,1718.452002936,-15.153996467590332,15046656.0,0.0,0.0
0.0,,28903.68958227832,0.0,-2.097799733746797e-05,0.1611328125,152.9638671875,-1926.877197265625,0.10398633033037186,1773547373.3122225,137.78515625,914.3271484375,6907.74951171875,0.0,15300608.0,137.78515625,1741.808427489,-15.223114013671875,15300608.0,0.0,0.0
0.0,,28663.38985642066,0.0,1.712982884782832e-05,0.1435546875,143.578125,-1653.838134765625,0.10254298895597458,1773547396.4608297,104.6845703125,799.021484375,5746.6396484375,0.0,15554560.0,104.6845703125,1764.744199245,-15.295116424560547,15554560.0,0.0,0.0
