training/actor_loss,_runtime,_timestamp,eval/episode_reward_survive,_step,render,training/alpha_loss,training/sps,eval/episode_reward,eval/episode_reward_ctrl,training/entropy,eval/episode_success_hard,step,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/log_alpha,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_dist
-4.747933864593506,1648.092233653,1773599489.638485,822.404296875,14538752.0,,-2.529635366954608e-06,28912.44057123053,75.439453125,-1718.797119140625,0.0,0.0,14538752.0,0.1142578125,0.0,117.6533203125,0.0,0.298581600189209,0.0,75.439453125,6099.78515625
-4.8311357498168945,1671.166240876,1773599512.5279953,776.9716796875,14792704.0,,1.3789730246571708e-06,29110.088011379354,36.2216796875,-1564.26171875,0.0,0.0,14792704.0,0.0751953125,0.0,76.091796875,0.0,0.29786238074302673,0.0,36.2216796875,5958.83837890625
-4.619443893432617,1720.775742425,1773599585.2127616,916.4580078125,15046656.0,"{'path': 'media/html/render_15046656_84f59a8b3a710a437628.html', 'size': 3869113.0, '_type': 'html-file', 'sha256': '84f59a8b3a710a437628c6985544a789c150fd728d69d5fc848b78f23bbe3654'}",-1.6190042515518144e-05,28910.633294095573,32.982421875,-1929.6285400390625,0.0,0.0,15046656.0,0.0673828125,0.0,126.8134765625,0.0,0.3175564408302307,0.0,32.982421875,6614.474609375
-5.192070007324219,1744.10132234,1773599585.449737,871.384765625,15300608.0,,-3.568402098608203e-05,29120.332123695043,28.32421875,-1713.962158203125,0.0,0.0,15300608.0,0.0546875,0.0,80.7880859375,0.0,0.3276369273662567,0.0,28.32421875,7053.2919921875
-5.646243095397949,1766.965704771,1773599608.5375924,641.9482421875,15554560.0,,2.6267656721756794e-05,28876.053738453495,67.00390625,-1389.765625,0.0,0.0,15554560.0,0.119140625,0.0,109.5087890625,0.0,0.33242088556289673,0.0,67.00390625,4561.75439453125
-5.659116268157959,1790.034618892,1773599631.4019475,824.47265625,15808512.0,,1.5529865777352825e-05,29166.718061446143,50.1728515625,-1683.304443359375,0.0,0.0,15808512.0,0.08984375,0.0,90.9404296875,0.0,0.3131795823574066,0.0,50.1728515625,6390.2978515625
-5.607404708862305,1812.897658326,1773599654.4709089,723.1142578125,16062464.0,,-3.331362677272409e-05,28928.187484848815,84.3076171875,-1590.768798828125,0.0,0.0,16062464.0,0.1259765625,0.0,131.4375,0.0,0.32376551628112793,0.0,84.3076171875,4831.59228515625
-5.934203624725342,1862.805702636,1773599727.242678,799.7333984375,16316416.0,"{'path': 'media/html/render_16316416_49f21c9c69d25cf0f970.html', 'size': 3867705.0, '_type': 'html-file', 'sha256': '49f21c9c69d25cf0f97059f884fa7afc1bbb62a1a8bead3d9dfdf009b0668531'}",-3.34601668328105e-06,29150.870021395876,38.328125,-1681.449951171875,0.0,0.0,16316416.0,0.0751953125,0.0,95.234375,0.0,0.31765490770339966,0.0,38.328125,6100.806640625
-6.601452827453613,1885.933759108,1773599727.4609935,797.46875,16570368.0,,2.023686647589784e-05,28953.04174813815,49.544921875,-1635.293212890625,0.0,0.0,16570368.0,0.078125,0.0,96.0751953125,0.0,0.3019646108150482,0.0,49.544921875,6204.77587890625
-6.526215076446533,1908.993500443,1773599750.3698905,886.3359375,16824320.0,,-2.284061338286847e-06,29016.777952834327,50.9755859375,-1834.596435546875,0.0,0.0,16824320.0,0.0947265625,0.0,97.0966796875,0.0,0.31645718216896057,0.0,50.9755859375,6943.32763671875
