eval/episode_reward_ctrl,training/actor_loss,training/alpha_loss,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,eval/episode_reward_near,step,training/entropy,eval/episode_dist,training/log_alpha,eval/episode_success_easy,training/critic_loss,eval/episode_success,_runtime,training/sps,_step,render,eval/episode_reward,eval/episode_reward_dist,eval/episode_success_any
-1904.251708984375,3.195368528366089,1.413197060173843e-05,0.0,1774879260.3337648,833.474609375,0.0,12761088.0,-3.9988479614257812,5385.1640625,-4.496738910675049,187.4248046875,3.4144017696380615,124.5224609375,1428.690261558,27644.90579007075,12761088.0,,124.5224609375,0.0,0.208984375
-1929.20556640625,3.204491138458252,1.731640054458694e-06,0.0,1774879283.8788147,830.7841796875,0.0,13015040.0,-3.9999520778656006,5611.27685546875,-4.513317108154297,185.1806640625,3.427612066268921,120.3994140625,1452.128035445,27626.311515619065,13015040.0,,120.3994140625,0.0,0.2216796875
-1912.506103515625,3.209972858428955,-2.7278690595267108e-06,0.0,1774879307.3165538,820.869140625,0.0,13268992.0,-4.000361919403076,5146.99658203125,-4.512862205505371,199.083984375,3.4322471618652344,126.12890625,1475.551013335,27630.285244945422,13268992.0,,126.12890625,0.0,0.21484375
-1829.689208984375,3.2050600051879883,1.5644771337974817e-05,0.0,1774879330.7395563,823.7451171875,0.0,13522944.0,-3.9986934661865234,5519.91845703125,-4.5160980224609375,176.5,3.4285104274749756,115.5068359375,1498.927356679,27734.75093704052,13522944.0,,115.5068359375,0.0,0.20703125
-2034.8240966796875,3.184049367904663,-2.1708392523578368e-05,0.0,1774879404.5810225,841.435546875,0.0,13776896.0,-4.002058506011963,5972.6181640625,-4.514510631561279,170.650390625,3.4054086208343506,108.8935546875,1549.391874385,27759.055769190174,13776896.0,"{'path': 'media/html/render_13776896_04cb9950811f6aa78104.html', 'size': 3829369.0, '_type': 'html-file', 'sha256': '04cb9950811f6aa78104580bc51e8f03cc1eb209de270c1ece4fc5f327400652'}",108.8935546875,0.0,0.1962890625
-2023.447509765625,3.2045576572418213,1.006916500045918e-05,0.0,1774879404.7958982,883.703125,0.0,14030848.0,-3.9992079734802246,5451.62451171875,-4.502931594848633,226.1455078125,3.4270901679992676,153.9189453125,1573.032241294,27707.391254645627,14030848.0,,153.9189453125,0.0,0.240234375
-2237.856201171875,3.2031311988830566,-4.398907549330033e-06,0.0,1774879428.2208204,884.3837890625,0.0,14284800.0,-4.000496864318848,5745.7744140625,-4.5062432289123535,218.1025390625,3.4232518672943115,148.1328125,1596.548078823,27627.85787351441,14284800.0,,148.1328125,0.0,0.2373046875
-2314.38330078125,3.208125114440918,8.384790817217436e-06,0.0,1774879451.736557,893.46875,0.0,14538752.0,-3.999361038208008,5804.45263671875,-4.5087971687316895,224.8076171875,3.4273552894592285,133.7080078125,1619.949076447,27728.050134329103,14538752.0,,133.7080078125,0.0,0.251953125
-2169.6923828125,3.194854497909546,-1.4300248949439265e-05,0.0,1774879475.1374922,873.5380859375,0.0,14792704.0,-4.001379013061523,5432.328125,-4.493348121643066,208.322265625,3.415438175201416,128.0615234375,1643.339703723,27725.836498261306,14792704.0,,128.0615234375,0.0,0.212890625
-2221.8466796875,3.1867804527282715,2.6467509087524377e-05,0.0,1774879548.4081087,914.857421875,0.0,15046656.0,-3.997735023498535,5609.6162109375,-4.511580944061279,220.40625,3.4012351036071777,142.2734375,1693.218916601,27690.757875525876,15046656.0,"{'sha256': '240418063973c447f9330b70c97c6da03d675f7893e7f1d588d8d9fe8c144f75', 'path': 'media/html/render_15046656_240418063973c447f933.html', 'size': 3823861.0, '_type': 'html-file'}",142.2734375,0.0,0.234375
