training/alpha_loss,eval/episode_reward,training/critic_loss,eval/episode_success_hard,training/log_alpha,training/sps,_timestamp,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_survive,training/actor_loss,eval/episode_success_any,_step,eval/episode_dist,render,eval/episode_success,step,eval/episode_reward_near,_runtime,eval/episode_success_easy,eval/episode_reward_dist
-7.79683830387512e-07,171.23046875,3.3082499504089355,0.0,-4.48956823348999,27608.560154984018,1774850056.123091,-1779.14697265625,-4.000181674957275,910.810546875,3.087125301361084,0.2314453125,13268992.0,5949.7392578125,,171.23046875,13268992.0,0.0,1475.24587151,264.0869140625,0.0
-3.3009717299137264e-05,147.1513671875,3.304199695587158,0.0,-4.477130889892578,27692.756397589957,1774850079.561837,-1942.053466796875,-4.003005504608154,934.611328125,3.0787339210510254,0.2099609375,13522944.0,5922.20849609375,,147.1513671875,13522944.0,0.0,1498.640852695,259.4501953125,0.0
-4.668966994358925e-06,134.89453125,3.2807233333587646,0.0,-4.455815315246582,27728.51787964931,1774850153.803712,-2048.122802734375,-4.00050687789917,976.7783203125,3.0584259033203125,0.1767578125,13776896.0,6542.681640625,"{'sha256': 'ed5fe82cff82aed6bd89958925667e39a13f887be481678102a8a21a20026111', 'path': 'media/html/render_13776896_ed5fe82cff82aed6bd89.html', 'size': 3784837.0, '_type': 'html-file'}",134.89453125,13776896.0,0.0,1549.487111932,248.0615234375,0.0
-3.072725667152554e-05,146.15625,3.277665853500366,0.0,-4.441748142242432,27673.206893766433,1774850154.0061793,-1989.2733154296875,-4.002681732177734,949.2490234375,3.056164026260376,0.2001953125,14030848.0,6057.09375,,146.15625,14030848.0,0.0,1573.114808759,254.8212890625,0.0
1.1338947842887137e-05,152.71484375,3.263998508453369,0.0,-4.436307907104492,27605.38679254794,1774850177.4308112,-1644.6295166015625,-3.999168634414673,906.8349609375,3.042283535003662,0.2412109375,14284800.0,5488.736328125,,152.71484375,14284800.0,0.0,1596.64574598,264.2353515625,0.0
-1.1591809197852854e-05,134.5908203125,3.2465648651123047,0.0,-4.421422481536865,27691.592957729597,1774850200.9616196,-1766.4454345703125,-4.001053333282471,911.248046875,3.0262012481689453,0.1806640625,14538752.0,5307.662109375,,134.5908203125,14538752.0,0.0,1620.053249123,290.48046875,0.0
-1.1635147529887035e-05,147.46875,3.235734224319458,0.0,-4.387856483459473,27691.38490236604,1774850224.369266,-1881.291748046875,-4.001062870025635,965.634765625,3.01192045211792,0.2001953125,14792704.0,5632.73046875,,147.46875,14792704.0,0.0,1643.465146757,306.0654296875,0.0
1.0052725883724634e-05,162.2421875,3.2341511249542236,0.0,-4.396793842315674,27643.858287527848,1774850297.338185,-1790.100830078125,-3.999297857284546,938.4677734375,3.0088534355163574,0.234375,15046656.0,5207.33544921875,"{'path': 'media/html/render_15046656_e0dcbb84a17dda5a0441.html', 'size': 3720381.0, '_type': 'html-file', 'sha256': 'e0dcbb84a17dda5a04418681f9a85d61894704bbbe4592640b07b8ecd4f2f3b4'}",162.2421875,15046656.0,0.0,1693.021579587,287.8671875,0.0
6.237202342163073e-06,150.0263671875,3.2275097370147705,0.0,-4.390605449676514,27805.744176695473,1774850297.5345445,-1899.5345458984375,-3.9996042251586914,953.341796875,3.00516676902771,0.1943359375,15300608.0,5565.61767578125,,150.0263671875,15300608.0,0.0,1716.703861451,288.5693359375,0.0
-1.4958246538299136e-05,161.5986328125,3.2098467350006104,0.0,-4.395547866821289,27541.804615477504,1774850321.0198915,-1965.080322265625,-4.001306056976318,926.2509765625,2.9927690029144287,0.2099609375,15554560.0,5565.228515625,,161.5986328125,15554560.0,0.0,1740.226247749,248.03125,0.0
2.4540895537938923e-05,149.13671875,3.209763288497925,0.0,-4.394433975219727,27702.9795756722,1774850344.542142,-1773.6844482421875,-3.9981212615966797,935.68359375,2.9880154132843018,0.2041015625,15808512.0,5730.4287109375,,149.13671875,15808512.0,0.0,1763.676991404,254.314453125,0.0
-2.1558680600719526e-05,145.4111328125,3.213531255722046,0.0,-4.396009922027588,27560.55126096899,1774850367.9929829,-1821.479736328125,-4.001852512359619,909.173828125,2.9892871379852295,0.197265625,16062464.0,5453.7294921875,,145.4111328125,16062464.0,0.0,1787.273391921,257.3173828125,0.0
7.5771508818434086e-06,159.1162109375,3.2074780464172363,0.0,-4.376356601715088,27768.679305757916,1774850441.1643033,-1745.939208984375,-3.9994969367980957,904.1044921875,2.987814426422119,0.2236328125,16316416.0,5027.51611328125,"{'path': 'media/html/render_16316416_0580651eac75e576ab48.html', 'size': 3780361.0, '_type': 'html-file', 'sha256': '0580651eac75e576ab48c84d3f568613eba12049dd34953b9989b007dce3fc6f'}",159.1162109375,16316416.0,0.0,1836.847698258,279.796875,0.0
-1.620762668608222e-05,146.20703125,3.212987184524536,0.0,-4.403456211090088,27595.475003204763,1774850441.3518312,-1873.219482421875,-4.001397132873535,872.3076171875,2.9968554973602295,0.201171875,16570368.0,4963.01806640625,,146.20703125,16570368.0,0.0,1860.630999883,264.7392578125,0.0
