eval/episode_success,training/entropy,render,_runtime,_step,eval/episode_dist,eval/episode_reward_dist,training/alpha_loss,eval/episode_reward_near,eval/episode_reward,training/critic_loss,training/log_alpha,_timestamp,eval/episode_reward_survive,eval/episode_reward_ctrl,eval/episode_success_easy,training/sps,training/actor_loss,step,eval/episode_success_any,eval/episode_success_hard
5.3017578125,0.0,,424.385461965,3364864.0,6863.236328125,0.0,8.478241397824604e-06,0.0,5.3017578125,0.4341222643852234,0.0,1773913112.409581,814.2490234375,-1478.820068359375,32.078125,21601.71958038529,-15.105301856994629,3364864.0,0.0322265625,0.0
10.7490234375,0.0,"{'sha256': '8418735a8b013581a21dcfab8c7f171d60979419ea9ac0f7695181379cc5a0df', 'path': 'media/html/render_3618816_8418735a8b013581a21d.html', 'size': 3873829.0, '_type': 'html-file'}",476.683025173,3618816.0,6632.8193359375,0.0,-1.9247327145421878e-06,0.0,10.7490234375,0.4917423725128174,0.0,1773913190.6007311,825.62890625,-1433.5244140625,57.068359375,21719.956258126873,-15.795583724975586,3618816.0,0.0615234375,0.0
10.3916015625,0.0,,502.790887293,3872768.0,6913.71142578125,0.0,-2.4089009457384236e-05,0.0,10.3916015625,0.5692110061645508,0.0,1773913190.8170998,839.2294921875,-1456.673828125,55.6494140625,21661.768810248246,-16.733427047729492,3872768.0,0.06640625,0.0
10.4892578125,0.0,,528.814233905,4126720.0,6130.794921875,0.0,3.3678010368021205e-05,0.0,10.4892578125,0.5959348678588867,0.0,1773913216.7078965,752.8173828125,-1263.8968505859375,40.400390625,21697.649467399682,-15.584071159362793,4126720.0,0.068359375,0.0
20.1572265625,0.0,,554.61278338,4380672.0,6827.84521484375,0.0,-4.513235035119578e-05,0.0,20.1572265625,0.6495357155799866,0.0,1773913242.7313643,834.8837890625,-1439.44580078125,55.853515625,21719.032849461502,-15.543787002563477,4380672.0,0.0732421875,0.0
36.2265625,0.0,,580.607433722,4634624.0,5864.38525390625,0.0,-8.53433994052466e-06,0.0,36.2265625,0.72592693567276,0.0,1773913268.529773,742.6015625,-1216.0191650390625,65.3076171875,21864.97642835941,-16.208030700683594,4634624.0,0.09765625,0.0
85.9267578125,0.0,"{'path': 'media/html/render_4888576_b1cdc6a930414853a19f.html', 'size': 3869473.0, '_type': 'html-file', 'sha256': 'b1cdc6a930414853a19fede8b5d62e552e5168e4b6c524a3fd80c0997645bdae'}",632.231067522,4888576.0,6337.75634765625,0.0,-9.090233106689993e-06,0.0,85.9267578125,0.7534652352333069,0.0,1773913346.1487813,846.203125,-1468.083740234375,120.17578125,21770.44711057943,-16.06736946105957,4888576.0,0.140625,0.0
16.82421875,0.0,,658.391810888,5142528.0,7057.32373046875,0.0,-4.387410626804922e-06,0.0,16.82421875,0.7952168583869934,0.0,1773913346.3409116,846.0791015625,-1352.59619140625,35.9931640625,21881.25430954047,-16.648691177368164,5142528.0,0.0703125,0.0
38.3544921875,0.0,,684.147967019,5396480.0,6554.302734375,0.0,-2.0270257664378732e-05,0.0,38.3544921875,0.8217681050300598,0.0,1773913372.3084493,805.2724609375,-1356.7001953125,66.45703125,21827.379015805913,-16.83578109741211,5396480.0,0.09765625,0.0
69.59375,0.0,,710.108160037,5650432.0,6018.056640625,0.0,5.825590505992295e-06,0.0,69.59375,0.8468779921531677,0.0,1773913398.0651486,795.642578125,-1427.2188720703125,95.4443359375,21956.614627043396,-17.060815811157227,5650432.0,0.1318359375,0.0
