training/sps,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_any,training/log_alpha,_runtime,step,eval/episode_reward_near,eval/episode_reward,training/actor_loss,training/entropy,training/critic_loss,_step,eval/episode_success_easy,eval/episode_dist,eval/episode_reward_survive,training/alpha_loss,render,eval/episode_success_hard,_timestamp,eval/episode_reward_dist
22244.896958014953,110.3759765625,-1593.162109375,0.1513671875,0.0,1487.719377263,11999232.0,0.0,110.3759765625,-29.009153366088867,0.0,0.9958474636077881,11999232.0,124.271484375,6515.2509765625,854.8623046875,-7.231011113617569e-05,,0.0,1773907893.8252938,0.0
22341.528793987683,149.7421875,-1822.673095703125,0.203125,0.0,1513.462219343,12253184.0,0.0,149.7421875,-29.353618621826172,0.0,0.9556617736816406,12253184.0,168.8671875,6928.83447265625,937.0888671875,9.19428639463149e-05,,0.0,1773907919.384785,0.0
22239.881684164593,140.712890625,-1620.8455810546875,0.203125,0.0,1565.205867177,12507136.0,0.0,140.712890625,-30.048097610473633,0.0,0.9893479347229004,12507136.0,159.7197265625,6442.2412109375,889.2666015625,-4.2564472096273676e-05,"{'_type': 'html-file', 'sha256': '9a460986fd1eb9edc660e6f8e785bf87b5f9c60f74223e6f3e084204d8022c2b', 'path': 'media/html/render_12507136_9a460986fd1eb9edc660.html', 'size': 3873397.0}",0.0,1773907996.8720737,0.0
22414.35448379201,185.974609375,-1703.84375,0.2587890625,0.0,1591.197199582,12761088.0,0.0,185.974609375,-30.472244262695312,0.0,0.9631572961807251,12761088.0,209.9931640625,6096.92041015625,887.3095703125,3.146417657262646e-05,,0.0,1773907997.1216998,0.0
22271.155101096418,174.9404296875,-1692.747802734375,0.251953125,0.0,1616.693674496,13015040.0,0.0,174.9404296875,-31.57463836669922,0.0,0.9851235747337341,13015040.0,200.3125,6088.8017578125,880.7216796875,-8.750105916988105e-05,,0.0,1773908022.8628256,0.0
22460.48308178157,146.580078125,-1559.482421875,0.2275390625,0.0,1642.399704006,13268992.0,0.0,146.580078125,-32.268856048583984,0.0,0.9923009276390076,13268992.0,163.3369140625,5998.1591796875,840.8046875,1.639462607272435e-05,,0.0,1773908048.3592725,0.0
22324.87780723077,146.232421875,-1682.679443359375,0.2138671875,0.0,1667.879780761,13522944.0,0.0,146.232421875,-32.996368408203125,0.0,0.9886329770088196,13522944.0,166.5205078125,6613.658203125,915.5859375,2.3840408175601624e-05,,0.0,1773908074.0653768,0.0
22493.010251823496,179.4609375,-1741.210693359375,0.25390625,0.0,1719.754708644,13776896.0,0.0,179.4609375,-33.231807708740234,0.0,0.9678018093109131,13776896.0,208.5732421875,6231.4912109375,900.7841796875,-3.5295822726766346e-06,"{'_type': 'html-file', 'sha256': 'e62cf7e6800a3343f7e79f49d003e051f0dee3c6181f91fe1d45d4b4688c0cff', 'path': 'media/html/render_13776896_e62cf7e6800a3343f7e7.html', 'size': 3863525.0}",0.0,1773908151.4208848,0.0
22341.386805183367,158.6806640625,-1690.06298828125,0.2333984375,0.0,1745.471299911,14030848.0,0.0,158.6806640625,-33.363033294677734,0.0,0.9820330142974854,14030848.0,185.751953125,6155.94921875,889.111328125,-5.0041569920722395e-05,,0.0,1773908151.6240067,0.0
22448.766246489904,209.13671875,-1859.7823486328125,0.3125,0.0,1771.148873634,14284800.0,0.0,209.13671875,-33.138999938964844,0.0,0.958365261554718,14284800.0,247.5810546875,6084.13525390625,948.10546875,-1.2077436622348614e-05,,0.0,1773908177.1370006,0.0
22381.390647018034,206.4619140625,-1539.1435546875,0.287109375,0.0,1796.645197602,14538752.0,0.0,206.4619140625,-34.19241714477539,0.0,0.9655492305755615,14538752.0,224.625,5345.375,823.259765625,6.293600563367363e-06,,0.0,1773908202.814461,0.0
22489.37669747884,197.78125,-1681.347412109375,0.2978515625,0.0,1822.316967332,14792704.0,0.0,197.78125,-34.45188903808594,0.0,0.9488899111747742,14792704.0,228.9765625,5829.3330078125,885.8984375,1.114854239858687e-05,,0.0,1773908228.3106265,0.0
