eval/episode_dist,training/sps,eval/episode_reward_dist,training/critic_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success,eval/episode_reward_ctrl,_step,eval/episode_success_hard,step,eval/episode_success_easy,eval/episode_success_any,training/alpha_loss,_timestamp,training/actor_loss,_runtime,eval/episode_reward,training/entropy
5645.095703125,21489.395111934402,0.0,0.3570877015590668,,0.0,705.06640625,0.0,3.88671875,-1383.8475341796875,3364864.0,0.0,3364864.0,32.3037109375,0.0185546875,-4.635211007553153e-05,1773938654.7335443,-11.535160064697266,429.581608871,3.88671875,0.0
5940.396484375,21580.488635126825,0.0,0.43776896595954895,"{'_type': 'html-file', 'sha256': '31288141388affa12a232cb88c80ba1dd4e5e0e51718fd68da94c111ae508fad', 'path': 'media/html/render_3618816_31288141388affa12a23.html', 'size': 3875361.0}",0.0,781.2646484375,0.0,12.123046875,-1529.30126953125,3618816.0,0.0,3618816.0,85.0009765625,0.1494140625,6.938539627299178e-06,1773938733.453163,-12.260666847229004,482.363913256,12.123046875,0.0
6077.8291015625,21502.11034633729,0.0,0.4823709726333618,,0.0,803.4658203125,0.0,8.22265625,-1558.854736328125,3872768.0,0.0,3872768.0,70.9443359375,0.095703125,7.372095569735393e-05,1773938733.6403034,-12.897272109985352,508.44638889,8.22265625,0.0
5906.521484375,21630.436068492705,0.0,0.5383018255233765,,0.0,789.7080078125,0.0,11.5849609375,-1448.018310546875,4126720.0,0.0,4126720.0,95.6318359375,0.0849609375,4.307266135583632e-05,1773938759.5349889,-13.104949951171875,534.501625905,11.5849609375,0.0
7054.9951171875,21598.46592477222,0.0,0.5864711999893188,,0.0,918.48046875,0.0,25.529296875,-1714.544921875,4380672.0,0.0,4380672.0,107.2060546875,0.1171875,-3.2267118513118476e-05,1773938785.5901346,-13.169641494750977,560.333907359,25.529296875,0.0
6181.455078125,21744.03464308613,0.0,0.6267658472061157,,0.0,774.255859375,0.0,12.6552734375,-1395.30810546875,4634624.0,0.0,4634624.0,77.916015625,0.1103515625,4.6526136429747567e-05,1773938811.422524,-13.1865234375,586.360791457,12.6552734375,0.0
6523.1552734375,21644.293845736433,0.0,0.6772839426994324,"{'sha256': '1b77e6d15a3071d679ca4acc91cba7416ebdeb7e145fb7a62aa8f877e484160c', 'path': 'media/html/render_4888576_1b77e6d15a3071d679ca.html', 'size': 3861517.0, '_type': 'html-file'}",0.0,859.5673828125,0.0,26.2548828125,-1503.0875244140625,4888576.0,0.0,4888576.0,80.0009765625,0.111328125,-3.336844019941054e-05,1773938889.641688,-12.828094482421875,638.552473866,26.2548828125,0.0
6792.88671875,21828.96746713928,0.0,0.7446959614753723,,0.0,845.1630859375,0.0,20.6201171875,-1540.997314453125,5142528.0,0.0,5142528.0,72.376953125,0.1298828125,-4.540729059954174e-05,1773938889.8487625,-13.58388614654541,664.754484984,20.6201171875,0.0
6237.73779296875,21721.204423976356,0.0,0.8109758496284485,,0.0,867.4443359375,0.0,94.07421875,-1711.8056640625,5396480.0,0.0,5396480.0,149.435546875,0.1962890625,3.0483655791613273e-05,1773938915.8429666,-13.828268051147461,690.558505874,94.07421875,0.0
6211.8564453125,21802.62354000822,0.0,0.8068873882293701,,0.0,841.5419921875,0.0,48.10546875,-1537.63525390625,5650432.0,0.0,5650432.0,111.7060546875,0.150390625,-4.354045017862518e-07,1773938941.6471248,-13.310327529907227,716.518464839,48.10546875,0.0
