eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
238.4736328125,21910.932959308415,1773952332.4840205,0.9259898066520691,220.77734375,0.0,0.0,1497.864946075,11999232.0,0.0,,0.0,11999232.0,948.1650390625,0.291015625,-26.68416404724121,-2.1626523448503576e-05,220.77734375,0.0,6314.14501953125,-1793.6038818359375
238.240234375,22074.0069151214,1773952358.1507132,0.9437841176986694,196.94921875,0.0,0.0,1523.732614852,12253184.0,0.0,,0.0,12253184.0,894.2978515625,0.2861328125,-27.983224868774414,-2.0323794160503894e-05,196.94921875,0.0,5873.0537109375,-1805.66796875
176.7275390625,21944.11039597476,1773952436.2450004,0.946821928024292,158.267578125,0.0,0.0,1575.958254686,12507136.0,0.0,"{'path': 'media/html/render_12507136_e522299664d92aeec21e.html', 'size': 3866217.0, '_type': 'html-file', 'sha256': 'e522299664d92aeec21e77c7af6dbd0053e766b8022904484ea282f176ceed0a'}",0.0,12507136.0,948.09375,0.2275390625,-28.368680953979492,2.504123403923586e-05,158.267578125,0.0,6844.81787109375,-1708.6162109375
241.16015625,22050.944981318164,1773952436.44388,0.9431536197662354,207.4736328125,0.0,0.0,1602.012557126,12761088.0,0.0,,0.0,12761088.0,916.2392578125,0.30078125,-28.179140090942383,-9.490659977018367e-06,207.4736328125,0.0,5969.8037109375,-1768.7960205078125
246.7255859375,21977.957568452144,1773952462.2986627,0.9566747546195984,221.171875,0.0,0.0,1627.663942246,13015040.0,0.0,,0.0,13015040.0,919.439453125,0.298828125,-29.641477584838867,1.7778706023818813e-05,221.171875,0.0,5897.103515625,-1751.9716796875
212.2314453125,22101.192748680307,1773952487.9498596,0.9102742075920105,187.009765625,0.0,0.0,1653.51037287,13268992.0,0.0,,0.0,13268992.0,939.6083984375,0.2724609375,-29.648649215698242,-3.0233568395487964e-05,187.009765625,0.0,6463.28125,-1801.9056396484375
212.32421875,21982.919816691483,1773952513.7964585,0.9062340259552002,191.201171875,0.0,0.0,1679.132276337,13522944.0,0.0,,0.0,13522944.0,925.12109375,0.263671875,-29.71773910522461,-2.7149029847350903e-05,191.201171875,0.0,6373.1533203125,-1720.908447265625
204.2607421875,22149.8675368528,1773952592.0158927,0.9228842258453369,182.2880859375,0.0,0.0,1731.729176942,13776896.0,0.0,"{'path': 'media/html/render_13776896_0139321826f790dcc581.html', 'size': 3855489.0, '_type': 'html-file', 'sha256': '0139321826f790dcc581519db8aaca4ae82de60cc9fc2b449914bab1f06532e7'}",0.0,13776896.0,932.447265625,0.26171875,-30.911361694335938,1.7312480849795975e-05,182.2880859375,0.0,6644.9091796875,-1749.95556640625
279.42578125,22005.513638497952,1773952592.2348838,0.9222024083137512,248.853515625,0.0,0.0,1757.569383997,14030848.0,0.0,,0.0,14030848.0,955.208984375,0.328125,-30.873123168945312,3.7028836231911555e-05,248.853515625,0.0,6068.84521484375,-1872.445068359375
262.474609375,22184.416214274985,1773952617.8553817,0.9376189112663269,244.3798828125,0.0,0.0,1783.369646859,14284800.0,0.0,,0.0,14284800.0,929.5078125,0.3134765625,-32.39369201660156,-4.460072159417905e-05,244.3798828125,0.0,6003.927734375,-1709.968505859375
