eval/episode_reward,training/entropy,eval/episode_success_any,_runtime,eval/episode_dist,_timestamp,step,training/log_alpha,eval/episode_success_hard,training/alpha_loss,training/actor_loss,eval/episode_reward_near,training/critic_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_success,_step,eval/episode_reward_survive,render,eval/episode_success_easy,training/sps
975.328125,0.0,1.0,497.00353198,23.393959045410156,1773455728.827176,15554560.0,0.0,0.0,2.8040376491844654e-05,-97.53495788574219,0.0,0.03489554673433304,0.0,-23.393959045410156,975.328125,15554560.0,0.0,,0.0,49110.75590768863
959.25390625,0.0,0.998046875,502.884160925,24.750595092773438,1773455734.6989837,15808512.0,0.0,0.0,5.021538981964113e-06,-97.6353988647461,0.0,0.032460860908031464,0.0,-24.750595092773438,959.25390625,15808512.0,0.0,,0.0,49289.1682719456
968.7255859375,0.0,0.998046875,508.753716953,24.478652954101562,1773455740.5796814,16062464.0,0.0,0.0,3.4702138691500295e-06,-97.71289825439453,0.0,0.02805289253592491,0.0,-24.478652954101562,968.7255859375,16062464.0,0.0,,0.0,49223.574841421025
952.6376953125,0.0,1.0,523.864033025,26.231571197509766,1773455761.5601106,16316416.0,0.0,0.0,-9.897331437969115e-06,-97.70172119140625,0.0,0.03138535097241402,0.0,-26.231571197509766,952.6376953125,16316416.0,0.0,"{'path': 'media/html/render_16316416_db0d8a89af2f7e3d3fcf.html', 'size': 909649, '_type': 'html-file', 'sha256': 'db0d8a89af2f7e3d3fcf75cbd3b9f04058a01bbbc27e63ea8675110d94108076'}",0.0,49325.9854150199
968.828125,0.0,1.0,529.904094245,24.65781021118164,1773455761.7097414,16570368.0,0.0,0.0,1.4533791727444623e-05,-97.73145294189453,0.0,0.03210621699690819,0.0,-24.65781021118164,968.828125,16570368.0,0.0,,0.0,49232.584522743135
968.443359375,0.0,0.998046875,535.794820261,24.924354553222656,1773455767.5996175,16824320.0,0.0,0.0,-9.252124073100276e-06,-97.69773864746094,0.0,0.030697092413902283,0.0,-24.924354553222656,968.443359375,16824320.0,0.0,,0.0,49160.76265060664
974.537109375,0.0,1.0,541.681114699,23.874210357666016,1773455773.4903014,17078272.0,0.0,0.0,5.370575308916159e-06,-97.7593765258789,0.0,0.03331323340535164,0.0,-23.874210357666016,974.537109375,17078272.0,0.0,,0.0,49142.622253238405
968.7119140625,0.0,1.0,547.564825614,24.06028175354004,1773455779.3767016,17332224.0,0.0,0.0,1.0376478712714743e-05,-97.78642272949219,0.0,0.034029215574264526,0.0,-24.06028175354004,968.7119140625,17332224.0,0.0,,0.0,49157.354918011224
976.4658203125,0.0,1.0,562.421502144,24.173892974853516,1773455800.1175833,17586176.0,0.0,0.0,2.0033662622154225e-06,-97.7689208984375,0.0,0.032844673842191696,0.0,-24.173892974853516,976.4658203125,17586176.0,0.0,"{'path': 'media/html/render_17586176_4801fec6371a8c61cd6c.html', 'size': 911297, '_type': 'html-file', 'sha256': '4801fec6371a8c61cd6c673be36969bf1ab11fd4e9bec8cfdabb84042711b216'}",0.0,49200.90824433743
967.970703125,0.0,1.0,568.469271752,25.332107543945312,1773455800.2616527,17840128.0,0.0,0.0,-8.252651241491549e-06,-97.84078216552734,0.0,0.033970270305871964,0.0,-25.332107543945312,967.970703125,17840128.0,0.0,,0.0,49248.97421423254
