eval/episode_reward_near,eval/episode_reward_dist,_timestamp,_step,render,eval/episode_dist,training/log_alpha,training/alpha_loss,training/entropy,_runtime,step,eval/episode_reward_survive,eval/episode_success,eval/episode_reward,eval/episode_reward_ctrl,training/critic_loss,eval/episode_success_easy,eval/episode_success_any,training/actor_loss,eval/episode_success_hard,training/sps
0.0,-26.825298309326172,1773457299.0983279,14792704.0,,26.825298309326172,0.0,2.7993457479169592e-05,0.0,467.573040204,14792704.0,0.0,960.859375,960.859375,0.0,0.09479992836713791,0.0,1.0,-93.18700408935547,0.0,49616.4561074365
0.0,-28.60663414001465,1773457319.8112235,15046656.0,"{'path': 'media/html/render_15046656_6611390a04b6a4474504.html', 'size': 907317, '_type': 'html-file', 'sha256': '6611390a04b6a4474504586ef6fae0ea0219f5840043ce23644231b2268b2322'}",28.60663414001465,0.0,1.8541426470619626e-05,0.0,482.444543858,15046656.0,0.0,961.828125,961.828125,0.0,0.08711899071931839,0.0,1.0,-93.89012908935547,0.0,49598.883248678016
0.0,-26.843843460083008,1773457319.958624,15300608.0,,26.843843460083008,0.0,2.0871977540082298e-05,0.0,488.440700765,15300608.0,0.0,964.8916015625,964.8916015625,0.0,0.08678767830133438,0.0,1.0,-94.24148559570312,0.0,49546.35220870097
0.0,-28.830482482910156,1773457325.8067286,15554560.0,,28.830482482910156,0.0,-1.6803482139948756e-05,0.0,494.269795925,15554560.0,0.0,956.3193359375,956.3193359375,0.0,0.07984741777181625,0.0,0.998046875,-94.57273864746094,0.0,49567.81582798093
0.0,-29.873523712158203,1773457331.6358588,15808512.0,,29.873523712158203,0.0,3.4707438317127526e-05,0.0,500.108353823,15808512.0,0.0,929.6015625,929.6015625,0.0,0.07476454973220825,0.0,0.9970703125,-94.99048614501953,0.0,49708.6294712778
0.0,-30.849349975585938,1773457337.4743178,16062464.0,,30.849349975585938,0.0,2.4024689992074855e-05,0.0,505.913210127,16062464.0,0.0,943.5439453125,943.5439453125,0.0,0.06795894354581833,0.0,0.9931640625,-95.19548034667969,0.0,49622.607007213075
0.0,-28.802719116210938,1773457358.2173066,16316416.0,"{'path': 'media/html/render_16316416_d3e2eff563537b06274c.html', 'size': 910473, '_type': 'html-file', 'sha256': 'd3e2eff563537b06274c71cd7421804c648ff25c3d34911d8d23c88aa07d23d3'}",28.802719116210938,0.0,1.7593592929188162e-05,0.0,520.850627281,16316416.0,0.0,957.4619140625,957.4619140625,0.0,0.06972065567970276,0.0,0.998046875,-95.45744323730469,0.0,49926.49147051361
0.0,-27.615074157714844,1773457358.3704455,16570368.0,,27.615074157714844,0.0,2.1867017494514585e-06,0.0,526.852882588,16570368.0,0.0,958.357421875,958.357421875,0.0,0.06654255837202072,0.0,0.9970703125,-95.54673767089844,0.0,49614.949242434195
0.0,-26.6422119140625,1773457364.2190478,16824320.0,,26.6422119140625,0.0,-1.6894695363589562e-05,0.0,532.702856593,16824320.0,0.0,956.826171875,956.826171875,0.0,0.06155215948820114,0.0,0.9921875,-95.81871032714844,0.0,49533.09689533619
0.0,-27.0445613861084,1773457370.0689201,17078272.0,,27.0445613861084,0.0,4.199125760351308e-05,0.0,538.540363548,17078272.0,0.0,956.4736328125,956.4736328125,0.0,0.061414897441864014,0.0,0.9951171875,-95.8579330444336,0.0,49535.64003839883
0.0,-27.080978393554688,1773457375.9064095,17332224.0,,27.080978393554688,0.0,-1.2781573786924127e-05,0.0,544.38509684,17332224.0,0.0,963.818359375,963.818359375,0.0,0.06309453397989273,0.0,1.0,-95.95714569091797,0.0,49620.10115783758
0.0,-29.540111541748047,1773457397.012318,17586176.0,"{'size': 907169, '_type': 'html-file', 'sha256': 'cae5997126d2517a788374726c5a6e12bfb9f186fb1b8b78ca08e2db583a1095', 'path': 'media/html/render_17586176_cae5997126d2517a7883.html'}",29.540111541748047,0.0,5.481709195009898e-06,0.0,559.645668444,17586176.0,0.0,947.6357421875,947.6357421875,0.0,0.06143955513834953,0.0,0.9990234375,-96.18267822265625,0.0,49554.920209252916
0.0,-26.927661895751953,1773457397.1566694,17840128.0,,26.927661895751953,0.0,1.802048609533813e-05,0.0,565.637701022,17840128.0,0.0,947.75,947.75,0.0,0.06077875569462776,0.0,0.98828125,-96.29078674316406,0.0,49618.10636828621
0.0,-27.007598876953125,1773457403.0037355,18094080.0,,27.007598876953125,0.0,-7.637958674422407e-07,0.0,571.471832031,18094080.0,0.0,951.83203125,951.83203125,0.0,0.05773339420557022,0.0,1.0,-96.30953216552734,0.0,49559.68610197929
0.0,-27.443275451660156,1773457408.83799,18348032.0,,27.443275451660156,0.0,-1.1652180546661839e-05,0.0,577.322424219,18348032.0,0.0,958.7646484375,958.7646484375,0.0,0.0637195035815239,0.0,0.9990234375,-96.4023666381836,0.0,49657.754848190154
0.0,-26.13077163696289,1773457414.6884468,18601984.0,,26.13077163696289,0.0,-8.713952411198989e-06,0.0,583.161895288,18601984.0,0.0,965.330078125,965.330078125,0.0,0.05446341261267662,0.0,0.994140625,-96.46241760253906,0.0,49525.466729932436
