eval/episode_success_any,eval/episode_reward_dist,eval/episode_reward_ctrl,_step,_timestamp,training/entropy,training/alpha_loss,eval/episode_dist,eval/episode_reward_near,step,eval/episode_reward_survive,eval/episode_reward,_runtime,training/actor_loss,eval/episode_success_hard,eval/episode_success,render,training/log_alpha,training/sps,eval/episode_success_easy,training/critic_loss
0.9423828125,-37.170406341552734,0.0,3364864.0,1773461737.8603897,0.0,-1.733475255605299e-05,37.170406341552734,0.0,3364864.0,0.0,807.1689453125,122.815629467,-32.31403350830078,0.0,807.1689453125,,0.0,49445.814182760296,0.0,2.5682568550109863
0.982421875,-33.404544830322266,0.0,3618816.0,1773461758.7791767,0.0,-2.8160715373815037e-05,33.404544830322266,0.0,3618816.0,0.0,876.712890625,137.873709265,-38.00086975097656,0.0,876.712890625,"{'path': 'media/html/render_3618816_e56155f4db8bcf438966.html', 'size': 909921, '_type': 'html-file', 'sha256': 'e56155f4db8bcf438966f06fcbaf3472a98a5d66fb53c2895d2e7f8afb520a60'}",0.0,49407.87834314338,0.0,2.653979539871216
0.9765625,-31.63394546508789,0.0,3872768.0,1773461758.9237738,0.0,4.2905707232421264e-05,31.63394546508789,0.0,3872768.0,0.0,886.44921875,143.853409631,-41.29816436767578,0.0,886.44921875,,0.0,49438.95435546134,0.0,2.757535457611084
0.9619140625,-33.789310455322266,0.0,4126720.0,1773461764.758329,0.0,1.8850763808586635e-05,33.789310455322266,0.0,4126720.0,0.0,888.9501953125,149.711507769,-45.45505905151367,0.0,888.9501953125,,0.0,49683.4630232596,0.0,2.64910626411438
0.955078125,-31.548608779907227,0.0,4380672.0,1773461770.615898,0.0,7.04655030858703e-05,31.548608779907227,0.0,4380672.0,0.0,875.0703125,155.572852998,-48.36869812011719,0.0,875.0703125,,0.0,49416.97396662849,0.0,2.63997745513916
0.9697265625,-32.070533752441406,0.0,4634624.0,1773461776.4777598,0.0,0.00014971492055337876,32.070533752441406,0.0,4634624.0,0.0,872.10546875,161.430803899,-51.731510162353516,0.0,872.10546875,,0.0,49390.96361466928,0.0,2.5143020153045654
0.974609375,-30.17996597290039,0.0,4888576.0,1773461797.1359582,0.0,1.6847930965013802e-05,30.17996597290039,0.0,4888576.0,0.0,898.42578125,176.230504985,-54.01219940185547,0.0,898.42578125,"{'sha256': 'a7f1d000939eeb03f1fcafa3a8d6cd136c4c3167f87daced8fd878b5229e2cf1', 'path': 'media/html/render_4888576_a7f1d000939eeb03f1fc.html', 'size': 910209, '_type': 'html-file'}",0.0,49431.02283020981,0.0,2.5199713706970215
0.9755859375,-30.291213989257812,0.0,5142528.0,1773461797.2926152,0.0,7.888294931035489e-05,30.291213989257812,0.0,5142528.0,0.0,886.080078125,182.263853503,-56.3436393737793,0.0,886.080078125,,0.0,49276.58590767551,0.0,2.4202399253845215
0.982421875,-30.787187576293945,0.0,5396480.0,1773461803.1688194,0.0,6.432630470953882e-05,30.787187576293945,0.0,5396480.0,0.0,898.85546875,188.116106681,-58.68727493286133,0.0,898.85546875,,0.0,49300.00227756674,0.0,2.270320177078247
0.986328125,-27.868602752685547,0.0,5650432.0,1773461809.0205085,0.0,0.0001638902467675507,27.868602752685547,0.0,5650432.0,0.0,924.2255859375,193.98420053,-60.28486633300781,0.0,924.2255859375,,0.0,49488.76518550646,0.0,2.2859790325164795
