eval/episode_dist,eval/episode_success_easy,eval/episode_success_hard,training/sps,eval/episode_success_any,eval/episode_reward_ctrl,_timestamp,eval/episode_success,_step,eval/episode_reward_survive,eval/episode_reward,training/critic_loss,eval/episode_reward_near,step,training/log_alpha,training/alpha_loss,render,_runtime,training/entropy,eval/episode_reward_dist,training/actor_loss
2120.32666015625,4.84765625,0.0,44896.83796019546,0.0,-2389.303466796875,1774228794.6278765,0.0,11999232.0,602.95703125,0.0,0.0012751002795994282,0.0,11999232.0,0.0,0.0,,629.533933602,0.0,0.0,0.07189228385686874
2176.09765625,4.447265625,0.0,45052.66601033094,0.0,-2464.264892578125,1774228803.260795,0.0,12253184.0,621.052734375,0.0,0.0011016388889402151,0.0,12253184.0,0.0,0.0,,638.213982171,0.0,0.0,0.07473832368850708
2039.909423828125,3.486328125,0.0,44863.2327477979,0.0,-2218.35546875,1774228840.3721452,0.0,12507136.0,560.9013671875,0.0,0.0008108751499094069,0.0,12507136.0,0.0,0.0,"{'path': 'media/html/render_12507136_cab5e4ece17ac19523a6.html', 'size': 3977769.0, '_type': 'html-file', 'sha256': 'cab5e4ece17ac19523a68de2b3d1c2e575cee94f7af999bf6518da9b03db0138'}",666.644673903,0.0,0.0,0.0812491923570633
2299.869140625,3.1474609375,0.0,44952.70381320979,0.0009765625,-2560.30029296875,1774228840.5698552,0.0615234375,12761088.0,646.4267578125,0.0615234375,0.0010681345593184233,0.0,12761088.0,0.0,0.0,,675.544908904,0.0,0.0,0.0781811848282814
2204.22802734375,3.791015625,0.0,44724.090427361094,0.0,-2465.784912109375,1774228849.2718723,0.0,13015040.0,621.8466796875,0.0,0.000595347722992301,0.0,13015040.0,0.0,0.0,,684.205007898,0.0,0.0,0.07693193107843399
2305.59423828125,5.2333984375,0.0,44842.543628751635,0.0,-2597.521240234375,1774228857.931857,0.0,13268992.0,655.6396484375,0.0,0.0005070808110758662,0.0,13268992.0,0.0,0.0,,692.883061994,0.0,0.0,0.0743669718503952
1601.803955078125,10.0107421875,0.0,44877.138834702266,0.0,-1735.9248046875,1774228866.6099641,0.0,13522944.0,437.6416015625,0.0,0.0005475398502312601,0.0,13522944.0,0.0,0.0,,701.515827208,0.0,0.0,0.06685851514339447
2281.77490234375,1.978515625,0.0,45001.66353163168,0.0,-2549.140380859375,1774228903.3317668,0.0,13776896.0,642.6435546875,0.0,0.0005595941329374909,0.0,13776896.0,0.0,0.0,"{'path': 'media/html/render_13776896_e2616f4a0ce9f31689c9.html', 'size': 4003281.0, '_type': 'html-file', 'sha256': 'e2616f4a0ce9f31689c96fd64e08f14052459cc9b219be15e69b8a4400edd759'}",729.604324323,0.0,0.0,0.06317915767431259
1465.019775390625,3.8486328125,0.0,44866.03708759091,0.0,-1667.769287109375,1774228903.5182147,0.0,14030848.0,419.60546875,0.0,0.0012660841457545757,0.0,14030848.0,0.0,0.0,,738.471046287,0.0,0.0,0.047491952776908875
2183.3017578125,3.099609375,0.0,44711.56086193276,0.0009765625,-2458.013916015625,1774228912.1979654,0.1357421875,14284800.0,618.8095703125,0.1357421875,0.001536375842988491,0.0,14284800.0,0.0,0.0,,747.148071007,0.0,0.0,0.04062552750110626
2518.11865234375,6.3388671875,0.0,44872.28008105685,0.0009765625,-2808.49755859375,1774228920.8749826,0.0029296875,14538752.0,706.1728515625,0.0029296875,0.0009988108649849892,0.0,14538752.0,0.0,0.0,,755.807387679,0.0,0.0,0.048431940376758575
2080.158203125,7.033203125,0.0,44808.52951165331,0.0,-2340.3818359375,1774228929.5342298,0.0,14792704.0,589.30859375,0.0,0.0007552594179287553,0.0,14792704.0,0.0,0.0,,764.498176777,0.0,0.0,0.04641323909163475
1298.9964599609375,6.517578125,0.0,44756.054385180054,0.0009765625,-1480.718017578125,1774228966.146247,0.00390625,15046656.0,372.953125,0.00390625,0.00043662835378199816,0.0,15046656.0,0.0,0.0,"{'path': 'media/html/render_15046656_25e207fd986a653eeb9b.html', 'size': 3990293.0, '_type': 'html-file', 'sha256': '25e207fd986a653eeb9b17c103a7a1aff5d1a6e936322fbe67ae025f917da2a1'}",792.418758561,0.0,0.0,0.0507790744304657
2101.824462890625,2.580078125,0.0,44763.52529978355,0.0009765625,-2415.79638671875,1774228966.3231797,0.0400390625,15300608.0,607.2265625,0.0400390625,0.0005329810664989054,0.0,15300608.0,0.0,0.0,,801.3262685,0.0,0.0,0.044926438480615616
1364.498046875,6.3994140625,0.0,44482.77168616363,0.0,-1513.5328369140625,1774228975.053033,0.0,15554560.0,381.0703125,0.0,0.0009122130577452481,0.0,15554560.0,0.0,0.0,,809.9576338,0.0,0.0,0.04006412252783775
2069.78857421875,7.0673828125,0.0,45055.47883667354,0.0009765625,-2393.67236328125,1774228983.6845834,0.9130859375,15808512.0,601.095703125,0.9130859375,0.0010398998856544495,0.0,15808512.0,0.0,0.0,,818.680798925,0.0,0.0,0.03508209437131882
782.98876953125,4.91015625,0.0,44502.33614009026,0.0,-888.4208374023438,1774228992.4076896,0.0,16062464.0,222.8876953125,0.0,0.0011035028146579862,0.0,16062464.0,0.0,0.0,,827.322439999,0.0,0.0,0.028538180515170097
937.9439697265625,1.28125,0.0,44968.710015556535,0.0,-1007.927978515625,1774229029.745267,0.0,16316416.0,254.017578125,0.0,0.00152014777995646,0.0,16316416.0,0.0,0.0,"{'path': 'media/html/render_16316416_89ce7c403610202da541.html', 'size': 4066277.0, '_type': 'html-file', 'sha256': '89ce7c403610202da5413f585c39ae2b152333b673696614e4663a5819f96fa9'}",856.017820105,0.0,0.0,0.016676094383001328
841.432373046875,3.0166015625,0.0,44704.67765883972,0.0,-931.0731201171875,1774229029.9453747,0.0,16570368.0,233.80859375,0.0,0.0014545132871717215,0.0,16570368.0,0.0,0.0,,864.866987811,0.0,0.0,0.023812435567378998
1995.9637451171875,0.9638671875,0.0,44891.02516598671,0.0,-2252.460205078125,1774229038.5938952,0.0,16824320.0,565.4541015625,0.0,0.0012971787946298718,0.0,16824320.0,0.0,0.0,,873.539236685,0.0,0.0,0.028658634051680565
2569.34619140625,2.7607421875,0.0,44901.1209392464,0.0,-2909.1572265625,1774229047.2661583,0.0,17078272.0,729.337890625,0.0,0.0009797399397939444,0.0,17078272.0,0.0,0.0,,882.168482887,0.0,0.0,0.031444795429706573
1291.499755859375,4.1162109375,0.0,45047.91206514293,0.0,-1475.1217041015625,1774229055.895351,0.0,17332224.0,369.84375,0.0,0.0008180340519174933,0.0,17332224.0,0.0,0.0,,890.874955986,0.0,0.0,0.03749413788318634
