training/alpha_loss,training/log_alpha,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,_timestamp,eval/episode_dist,eval/episode_success_any,eval/episode_reward_survive,step,training/sps,eval/episode_reward_ctrl,training/entropy,_step,eval/episode_success_hard,_runtime,eval/episode_success,training/actor_loss,render,training/critic_loss
0.0,0.0,8.984375,0.0,0.0,0.0,1774223617.1643023,2450.301513671875,0.0,704.6435546875,13015040.0,44914.93310223222,-2806.7626953125,0.0,13015040.0,0.0,679.532843567,0.0,0.036479704082012177,,0.0008576596155762672
0.0,0.0,5.2744140625,0.0,0.0,0.0,1774223625.7875676,2515.108642578125,0.0,744.013671875,13268992.0,45071.64033474525,-2968.57568359375,0.0,13268992.0,0.0,688.187457773,0.0,0.024800922721624374,,0.0012517409631982446
0.0,0.0,3.7939453125,0.0,0.0,0.0,1774223634.442115,2603.9501953125,0.0,757.2880859375,13522944.0,45061.37623997358,-3016.94677734375,0.0,13522944.0,0.0,696.811898919,0.0,0.02390931360423565,,0.0013241675915196538
0.0,0.0,1.7978515625,0.0,0.0,0.0,1774223670.908388,2478.93115234375,0.0,701.638671875,13776896.0,45026.29855855651,-2798.0341796875,0.0,13776896.0,0.0,724.653208419,0.0,0.022647175937891006,"{'_type': 'html-file', 'sha256': '4c9194a25d803d24dd678287b7dd7dc970cda65ac569c00957b23a03816d6fac', 'path': 'media/html/render_13776896_4c9194a25d803d24dd67.html', 'size': 3955917.0}",0.0017289618263021111
0.0,0.0,6.658203125,0.0,0.4658203125,0.0,1774223671.080679,2425.844970703125,0.0009765625,690.9775390625,14030848.0,44936.238849512825,-2756.955078125,0.0,14030848.0,0.0,733.505382908,0.4658203125,0.037184443324804306,,0.0010671693598851562
0.0,0.0,7.6044921875,0.0,0.0,0.0,1774223679.759981,2460.8056640625,0.0,716.6923828125,14284800.0,44700.897302687634,-2859.98828125,0.0,14284800.0,0.0,742.155201422,0.0,0.03615959733724594,,0.0013632639311254025
0.0,0.0,2.9638671875,0.0,0.0,0.0,1774223688.4097564,2562.77880859375,0.0,745.3671875,14538752.0,45071.00715477432,-2973.693359375,0.0,14538752.0,0.0,750.799896805,0.0,0.03472395986318588,,0.0014029305893927813
0.0,0.0,4.8349609375,0.0,0.0,0.0,1774223697.0545244,2281.425048828125,0.0,662.806640625,14792704.0,44890.173808847896,-2642.6904296875,0.0,14792704.0,0.0,759.457365852,0.0,0.029634427279233932,,0.0020187399350106716
0.0,0.0,4.8427734375,0.0,0.912109375,0.0,1774223734.1676164,2825.03173828125,0.0009765625,787.6328125,15046656.0,45009.001759368606,-3142.253662109375,0.0,15046656.0,0.0,787.912422101,0.912109375,0.03584092855453491,"{'path': 'media/html/render_15046656_ab6c27446a3e9a19b062.html', 'size': 3924453.0, '_type': 'html-file', 'sha256': 'ab6c27446a3e9a19b06207ecd94de4d73cf62cb3b8603424a6d205159425ef86'}",0.0012846922036260366
0.0,0.0,5.912109375,0.0,0.029296875,0.0,1774223734.354845,1944.3629150390625,0.0009765625,558.662109375,15300608.0,44946.07237927287,-2226.603271484375,0.0,15300608.0,0.0,796.808059557,0.029296875,0.028151948004961014,,0.0015149805694818497
