eval/episode_reward_ctrl,_step,eval/episode_reward_survive,step,training/entropy,eval/episode_success_any,_timestamp,training/actor_loss,eval/episode_reward_near,training/alpha_loss,render,training/log_alpha,training/sps,eval/episode_dist,training/critic_loss,eval/episode_success_easy,_runtime,eval/episode_success_hard,eval/episode_reward,eval/episode_success,eval/episode_reward_dist
-2522.73779296875,3364864.0,678.822265625,3364864.0,0.0,0.0009765625,1774215288.2271562,-0.05919456481933594,0.0,0.0,,0.0,45125.34794129813,2377.780029296875,0.009168258868157864,5.6181640625,194.239193724,0.0,0.9033203125,0.9033203125,0.0
-2762.3642578125,3618816.0,748.7041015625,3618816.0,0.0,0.0,1774215325.4746432,-0.05071159824728966,0.0,0.0,"{'_type': 'html-file', 'sha256': '4f246faf752fc3bfdf793cd0fd6545a7c7e2d851eeb9ab5abaa08a407b881fd5', 'path': 'media/html/render_3618816_4f246faf752fc3bfdf79.html', 'size': 3911505.0}",0.0,45078.097115946424,2596.660888671875,0.008637956343591213,2.14453125,222.863756423,0.0,0.0,0.0,0.0
-2787.66845703125,3872768.0,738.6806640625,3872768.0,0.0,0.0009765625,1774215325.6362762,-0.046739380806684494,0.0,0.0,,0.0,45097.0947813378,2561.2392578125,0.010962900705635548,6.515625,231.664741517,0.0,0.873046875,0.873046875,0.0
-2625.509765625,4126720.0,699.7919921875,4126720.0,0.0,0.0,1774215334.2751844,-0.021556004881858826,0.0,0.0,,0.0,44959.4700438725,2400.86572265625,0.007862078957259655,5.4541015625,240.320840302,0.0,0.0,0.0,0.0
-2138.20068359375,4380672.0,559.220703125,4380672.0,0.0,0.0,1774215342.9313602,-0.011090846732258797,0.0,0.0,,0.0,45066.53535098821,1929.596923828125,0.007387666031718254,4.798828125,248.93498314,0.0,0.0,0.0,0.0
-1806.830078125,4634624.0,469.2724609375,4634624.0,0.0,0.0,1774215351.5453944,0.00017513212515041232,0.0,0.0,,0.0,45128.82184635298,1594.1383056640625,0.00531382579356432,13.0126953125,257.57443736,0.0,0.0,0.0,0.0
-1878.560546875,4888576.0,491.013671875,4888576.0,0.0,0.0,1774215388.5266678,0.012535440735518932,0.0,0.0,"{'_type': 'html-file', 'sha256': '56e0586db2abc629340af83f6e1a1a8d7d414254419651e7d131419f398d3ee5', 'path': 'media/html/render_4888576_56e0586db2abc629340a.html', 'size': 4023349.0}",0.0,45163.92163205328,1762.79248046875,0.005116892512887716,3.6220703125,285.915775745,0.0,0.0,0.0,0.0
-1632.844970703125,5142528.0,434.1318359375,5142528.0,0.0,0.0,1774215388.7124007,0.02085639163851738,0.0,0.0,,0.0,45187.4234058517,1541.724365234375,0.002348347334191203,3.1796875,294.769638464,0.0,0.0,0.0,0.0
-1689.862060546875,5396480.0,449.619140625,5396480.0,0.0,0.0,1774215397.3800051,0.022679578512907028,0.0,0.0,,0.0,44987.442665894145,1594.13720703125,0.0017579923151060939,1.6220703125,303.383260372,0.0,0.0,0.0,0.0
-2438.67333984375,5650432.0,637.8525390625,5650432.0,0.0,0.0,1774215405.9935677,0.002376897493377328,0.0,0.0,,0.0,45142.51045092929,2237.25341796875,0.0025682260747998953,7.0224609375,312.030655712,0.0,0.0,0.0,0.0
-2463.849609375,5904384.0,647.046875,5904384.0,0.0,0.0,1774215414.6410353,0.0006862946902401745,0.0,0.0,,0.0,45108.36085184796,2209.892333984375,0.0029125406872481108,2.05859375,320.631663368,0.0,0.0,0.0,0.0
