_timestamp,training/critic_loss,training/sps,training/log_alpha,eval/episode_success_any,eval/episode_reward_survive,eval/episode_reward_near,render,_runtime,eval/episode_success,step,eval/episode_reward,eval/episode_reward_ctrl,training/actor_loss,eval/episode_reward_dist,training/entropy,_step,eval/episode_success_hard,eval/episode_success_easy,training/alpha_loss,eval/episode_dist
1774231141.2372785,0.006597495172172785,44196.06068046336,0.0,0.0,752.544921875,0.0,"{'size': 4012825.0, '_type': 'html-file', 'sha256': 'c1b345dd014d620478a74d2c733d1d540a10a45a07e48c0cbecd3f9bccf6a8f8', 'path': 'media/html/render_6158336_c1b345dd014d620478a7.html'}",350.966880865,0.0,6158336.0,0.0,-2840.19970703125,0.05631791055202484,0.0,0.0,6158336.0,0.0,1.9951171875,0.0,2651.220703125
1774231141.4284196,0.005987318232655525,44019.079215315796,0.0,0.0,582.765625,0.0,,359.900840555,0.0,6412288.0,0.0,-2228.712890625,0.07485811412334442,0.0,0.0,6412288.0,0.0,1.810546875,0.0,2067.08056640625
1774231150.170651,0.004508811980485916,44176.59597268094,0.0,0.0,638.2744140625,0.0,,368.691833233,0.0,6666240.0,0.0,-2446.454833984375,0.08053246885538101,0.0,0.0,6666240.0,0.0,1.9384765625,0.0,2246.830078125
1774231158.9616473,0.006557072978466749,44034.38911258017,0.0,0.0,695.2724609375,0.0,,377.413784197,0.0,6920192.0,0.0,-2650.837890625,0.037015363574028015,0.0,0.0,6920192.0,0.0,5.2890625,0.0,2405.6787109375
1774231167.6836612,0.00837644375860691,44322.20106235777,0.0,0.0,794.3349609375,0.0,,386.176430231,0.0,7174144.0,0.0,-3032.7216796875,0.023618191480636597,0.0,0.0,7174144.0,0.0,3.123046875,0.0,2719.228515625
1774231204.4990854,0.007020064629614353,44237.027541492986,0.0,0.0,780.7421875,0.0,"{'size': 3924617.0, '_type': 'html-file', 'sha256': '657b7cd470f971cf9a08731f722dd16bb93ea4d81d833fd91540ebe43067d097', 'path': 'media/html/render_7428096_657b7cd470f971cf9a08.html'}",414.228666517,0.0,7428096.0,0.0,-2987.39111328125,0.048434946686029434,0.0,0.0,7428096.0,0.0,2.9453125,0.0,2686.600341796875
1774231204.6841803,0.00834634155035019,44405.988851142,0.0,0.0,742.392578125,0.0,,423.26210079,0.0,7682048.0,0.0,-2834.8984375,0.045908909291028976,0.0,0.0,7682048.0,0.0,3.8232421875,0.0,2561.63818359375
1774231213.532078,0.006540452130138874,43615.564802156274,0.0,0.0,651.8046875,0.0,,431.971601678,0.0,7936000.0,0.0,-2520.991455078125,0.04377661272883415,0.0,0.0,7936000.0,0.0,2.5859375,0.0,2300.74072265625
1774231222.2413437,0.007306826300919056,44386.64957495113,0.0,0.0,667.09765625,0.0,,440.784893107,0.0,8189952.0,0.0,-2600.66162109375,0.047745708376169205,0.0,0.0,8189952.0,0.0,4.705078125,0.0,2309.503662109375
1774231231.0548775,0.007238301448523998,43831.127539116686,0.0,0.0009765625,772.6220703125,0.0,,449.50088208,0.939453125,8443904.0,0.939453125,-2997.059814453125,0.03259984403848648,0.0,0.0,8443904.0,0.0,1.9296875,0.0,2654.202880859375
1774231268.6850352,0.0069462512619793415,44330.981660037185,0.0,0.0,698.41796875,0.0,"{'sha256': '9bea4ded2545cf660dbd6d8627ecd79dfae3f142383f970a5258cf631ae36f56', 'path': 'media/html/render_8697856_9bea4ded2545cf660dbd.html', 'size': 3986041.0, '_type': 'html-file'}",478.414663874,0.0,8697856.0,0.0,-2726.22509765625,0.02780073694884777,0.0,0.0,8697856.0,0.0,0.9501953125,0.0,2477.07177734375
1774231268.8849003,0.00762126175686717,44055.30478482404,0.0,0.0,633.9384765625,0.0,,487.379970118,0.0,8951808.0,0.0,-2465.84375,0.02786252275109291,0.0,0.0,8951808.0,0.0,7.57421875,0.0,2160.5380859375
1774231277.6499102,0.006922549568116665,43977.39633995089,0.0,0.0,666.8486328125,0.0,,496.169106063,0.0,9205760.0,0.0,-2612.4189453125,0.04437364637851715,0.0,0.0,9205760.0,0.0,4.8408203125,0.0,2338.669189453125
1774231286.4390917,0.0038007379043847322,44010.26352347904,0.0,0.0009765625,652.8916015625,0.0,,504.92903454,0.818359375,9459712.0,0.818359375,-2563.26318359375,0.08458925038576126,0.0,0.0,9459712.0,0.0,3.353515625,0.0,2235.071533203125
1774231295.1988015,0.003968064673244953,44021.984602024444,0.0,0.0009765625,696.9794921875,0.0,,513.723947663,0.0107421875,9713664.0,0.0107421875,-2750.7939453125,0.07393060624599457,0.0,0.0,9713664.0,0.0,5.466796875,0.0,2405.86572265625
1774231332.3117447,0.00410771369934082,43978.4712690187,0.0,0.0009765625,648.0107421875,0.0,"{'_type': 'html-file', 'sha256': 'e22c9105ee4ae8da85de69d4529da99d32c7049f288e3b954a1cec85de14ad23', 'path': 'media/html/render_9967616_e22c9105ee4ae8da85de.html', 'size': 3973425.0}",542.041326485,0.0029296875,9967616.0,0.0029296875,-2559.529541015625,0.06559935212135315,0.0,0.0,9967616.0,0.0,2.037109375,0.0,2212.1494140625
1774231332.5171063,0.0037478022277355194,44067.56582054249,0.0,0.0009765625,510.345703125,0.0,,551.100252676,0.9423828125,10221568.0,0.9423828125,-1997.977294921875,0.06248455494642258,0.0,0.0,10221568.0,0.0,5.1572265625,0.0,1733.823974609375
1774231341.3701878,0.0025417262222617865,43588.040910116186,0.0,0.0009765625,588.025390625,0.0,,559.862379379,0.85546875,10475520.0,0.85546875,-2324.44287109375,0.0678807720541954,0.0,0.0,10475520.0,0.0,16.060546875,0.0,1958.341064453125
1774231350.1317742,0.0034542519133538008,43973.48382400812,0.0,0.0,658.0498046875,0.0,,568.703826195,0.0,10729472.0,0.0,-2592.3935546875,0.052485767751932144,0.0,0.0,10729472.0,0.0,9.5068359375,0.0,2248.51513671875
