training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
0.0,-0.47502198815345764,7.014109996816842e-06,0.005740637890994549,0.0,15.9189453125,42336.682187161234,0.615234375,0.0,806.0244140625,1773784366.3568776,0.0,2721.8447265625,6158336.0,6158336.0,0.0009765625,0.615234375,355.590516262,0.0,"{'path': 'media/html/render_6158336_7f1345e2772cbefa908b.html', 'size': 4099285.0, '_type': 'html-file', 'sha256': '7f1345e2772cbefa908b02c60db58cf8f3649c91aa3dfc50ec867fcd07c680cd'}",-1731.5008544921875
0.0,-0.4574359655380249,1.225120172421157e-06,0.005409903824329376,0.0,13.6298828125,42430.481272621386,0.0,0.0,732.8662109375,1773784366.535666,0.0,2431.07861328125,6412288.0,6412288.0,0.0,0.0,364.820301735,0.0,,-1495.8433837890625
0.0,-0.4442359507083893,3.8997759475023486e-06,0.0047933426685631275,0.0,9.03125,42114.018750362266,0.0,0.0,940.396484375,1773784375.586013,0.0,3240.3359375,6666240.0,6666240.0,0.0,0.0,373.874823334,0.0,,-1972.330322265625
0.0,-0.42537227272987366,2.963714905490633e-06,0.004221470560878515,0.0,31.8447265625,42310.72135483047,0.720703125,0.0,914.693359375,1773784384.6404834,0.0,3049.31396484375,6920192.0,6920192.0,0.0009765625,0.720703125,382.890649489,0.0,,-1842.888427734375
0.0,-0.36891213059425354,2.6256166165694594e-06,0.003472280688583851,0.0,19.197265625,42281.67702008526,1.423828125,0.0,899.2265625,1773784393.655852,0.0,3008.376220703125,7174144.0,7174144.0,0.0029296875,1.423828125,391.943802005,0.0,,-1790.509765625
0.0,-0.36288416385650635,5.7350735005456954e-06,0.0029615703970193863,0.0,19.5546875,42314.41921046992,0.0380859375,0.0,824.041015625,1773784431.211649,0.0,2788.625732421875,7428096.0,7428096.0,0.001953125,0.0380859375,420.445231974,0.0,"{'path': 'media/html/render_7428096_360895e46acdb3b8a5f7.html', 'size': 4066817.0, '_type': 'html-file', 'sha256': '360895e46acdb3b8a5f74141f2e7fac73e111f6c314cd386ccb44cae7c269d1c'}",-1672.0811767578125
0.0,-0.3278539478778839,-4.885441740043461e-06,0.002573822159320116,0.0,31.091796875,42264.36145168529,0.232421875,0.0,845.1318359375,1773784431.3962824,0.0,2827.560791015625,7682048.0,7682048.0,0.001953125,0.232421875,429.706101958,0.0,,-1815.0992431640625
0.0,-0.25110504031181335,6.8148069658491295e-06,0.0017164917662739754,0.0,21.3095703125,42230.358830661025,0.390625,0.0,810.65234375,1773784440.4713707,0.0,2728.848876953125,7936000.0,7936000.0,0.0029296875,0.390625,438.708695608,0.0,,-1677.51318359375
0.0,-0.22873960435390472,-2.3918526039778953e-06,0.0019458268070593476,0.0,13.568359375,42383.049190193335,0.3525390625,0.0,924.8896484375,1773784449.474414,0.0,3164.638916015625,8189952.0,8189952.0,0.0009765625,0.3525390625,447.759838808,0.0,,-1940.226806640625
0.0,-0.2609635889530182,3.5306711652083322e-06,0.0022314758971333504,0.0,32.759765625,42352.67612683903,0.2626953125,0.0,940.439453125,1773784458.5255787,0.0,3135.50048828125,8443904.0,8443904.0,0.00390625,0.2626953125,456.771947016,0.0,,-2019.443359375
0.0,-0.24634449183940887,6.260648888201104e-07,0.001992036122828722,0.0,25.5126953125,42349.75790159638,0.9638671875,0.0,894.6669921875,1773784496.222086,0.0,2993.326171875,8697856.0,8697856.0,0.0068359375,0.9638671875,485.455818742,0.0,"{'path': 'media/html/render_8697856_b64f6502c12f1f1be6b3.html', 'size': 4093973.0, '_type': 'html-file', 'sha256': 'b64f6502c12f1f1be6b35ce62b60fd5a4d339c8b3ebf1bd7afa87b615dc8e4dc'}",-1955.3927001953125
0.0,-0.25268760323524475,-5.863473120371054e-07,0.002175396541133523,0.0,11.3974609375,42273.63067188065,0.0,0.0,871.82421875,1773784496.3948927,0.0,3051.7607421875,8951808.0,8951808.0,0.0,0.0,494.672174826,0.0,,-1808.216064453125
0.0,-0.2510119080543518,-4.996792313249898e-07,0.0021791893523186445,0.0,9.0361328125,42106.14094366765,0.0,0.0,893.0673828125,1773784505.4379,0.0,3089.521240234375,9205760.0,9205760.0,0.0,0.0,503.741553314,0.0,,-1807.5244140625
0.0,-0.2179461568593979,1.2751843314617872e-07,0.0022795635741204023,0.0,22.525390625,42247.18070655612,0.0,0.0,959.3251953125,1773784514.5073042,0.0,3258.25146484375,9459712.0,9459712.0,0.0,0.0,512.757048873,0.0,,-2015.9693603515625
0.0,-0.3066425025463104,-3.776407083933009e-06,0.003346592653542757,0.0,11.8359375,42287.10395121598,0.0,0.0,922.501953125,1773784523.5227816,0.0,3094.58154296875,9713664.0,9713664.0,0.0,0.0,521.828978626,0.0,,-1857.7587890625
