training/entropy,_timestamp,_runtime,eval/episode_success,eval/episode_reward_survive,render,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_success_hard,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_step,training/critic_loss,eval/episode_reward,eval/episode_success_easy,step,training/sps,eval/episode_success_any,training/actor_loss,eval/episode_reward_near
0.0,1773843401.8321435,1316.221426779,0.0,0.0,"{'path': 'media/html/render_18316288_a3236862fd4dca628b85.html', 'size': 4720245.0, '_type': 'html-file', 'sha256': 'a3236862fd4dca628b85ca14b59ec9e0bb9df8746bcfcb0ce6ca58b871634658'}",9.488107521882228e-11,0.0,0.0,0.0,0.0,257.1119384765625,18316288.0,9.308577318734024e-06,0.0,19.98828125,18316288.0,32275.670230170286,0.0,-0.0007727054762654006,0.0
0.0,1773843402.0370767,1328.276291149,0.025390625,0.0,,8.765775605379389e-11,0.0,0.0,0.0,0.0,272.8175964355469,18570240.0,1.615440851310268e-05,0.025390625,19.62109375,18570240.0,32241.261780207882,0.00390625,-0.0011047949083149433,0.0
0.0,1773843413.886399,1340.112793153,0.005859375,0.0,,8.330948431112262e-11,0.0,0.0,0.0,0.0,262.9587707519531,18824192.0,1.0411421499156859e-05,0.005859375,22.248046875,18824192.0,32247.165201981214,0.001953125,-0.0011377527844160795,0.0
0.0,1773843425.722998,1351.941480476,0.00390625,0.0,,8.419984848240247e-11,0.0,0.0,0.0,0.0,254.4007568359375,19078144.0,2.03102536033839e-05,0.00390625,18.95703125,19078144.0,32265.195335414915,0.001953125,-0.0014519119868054986,0.0
0.0,1773843437.551657,1363.757038036,0.017578125,0.0,,8.254334021851051e-11,0.0,0.0,0.0,0.0,241.61590576171875,19332096.0,2.1291300072334707e-05,0.017578125,23.087890625,19332096.0,32277.469851096626,0.00390625,-0.0018774144118651748,0.0
0.0,1773843487.2905817,1401.679848032,0.0,0.0,"{'_type': 'html-file', 'sha256': '1100ae29d566ab80f202b69ed1776889799ae1e0f2d3f45bf0249c0c039298e1', 'path': 'media/html/render_19586048_1100ae29d566ab80f202.html', 'size': 4725241.0}",8.045684257718122e-11,0.0,0.0,0.0,0.0,256.6451721191406,19586048.0,1.4446152817981783e-05,0.0,18.58984375,19586048.0,32338.624414784725,0.0,-0.001467917230911553,0.0
0.0,1773843487.5023956,1413.772344001,0.005859375,0.0,,7.832202247870512e-11,0.0,0.0,0.0,0.0,252.3772430419922,19840000.0,1.6274218069156632e-05,0.005859375,21.380859375,19840000.0,32205.611987874156,0.001953125,-0.001539400895126164,0.0
0.0,1773843499.382603,1425.600454112,0.0,0.0,,7.623923714561442e-11,0.0,0.0,0.0,0.0,242.8000030517578,20093952.0,2.1903204469708726e-05,0.0,21.591796875,20093952.0,32214.48342967518,0.0,-0.0017476408975198865,0.0
0.0,1773843511.2106125,1437.431097453,0.0,0.0,,7.410103780580712e-11,0.0,0.0,0.0,0.0,254.5415802001953,20347904.0,1.2731899005302694e-05,0.0,19.080078125,20347904.0,32288.448949753485,0.0,-0.0014141346327960491,0.0
0.0,1773843523.0411968,1449.271336895,0.0,0.0,,7.195768980672312e-11,0.0,0.0,0.0,0.0,248.8526153564453,20601856.0,1.37093538796762e-05,0.0,21.150390625,20601856.0,32283.127249093275,0.0,-0.0012843810254707932,0.0
