render,training/entropy,training/actor_loss,_timestamp,training/sps,_step,eval/episode_dist,eval/episode_success_any,_runtime,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,eval/episode_success,eval/episode_success_hard,training/log_alpha,training/critic_loss,training/alpha_loss,eval/episode_reward_survive,step,eval/episode_reward_ctrl,eval/episode_success_easy
"{'_type': 'html-file', 'sha256': '552346a77508e2a568cb326d4f1d35e5aa5d1c48afecb6d72aec6d7ab98b2df1', 'path': 'media/html/render_18316288_552346a77508e2a568cb.html', 'size': 4709573.0}",0.0,-0.00535811809822917,1773868206.7543833,32021.616992979038,18316288.0,245.7515869140625,0.0,1332.375358174,0.0,0.0,0.0,0.0,0.0,0.0,5.769593917648308e-05,4.271805131850215e-11,0.0,18316288.0,0.0,22.18359375
,0.0,-0.005328825209289789,1773868206.964461,31931.03404738831,18570240.0,256.82647705078125,0.001953125,1344.51296044,0.0,0.0,0.013671875,0.013671875,0.0,0.0,6.195374589879066e-05,4.3663506837932076e-11,0.0,18570240.0,0.0,22.712890625
,0.0,-0.006445171777158976,1773868218.8913753,31894.014188746354,18824192.0,259.02459716796875,0.00390625,1356.419522992,0.0,0.0,0.017578125,0.017578125,0.0,0.0,7.477850158466026e-05,4.340893269838553e-11,0.0,18824192.0,0.0,24.517578125
,0.0,-0.0064309388399124146,1773868230.797883,31961.72921389289,19078144.0,270.657958984375,0.00390625,1368.32909221,0.0,0.0,0.0078125,0.0078125,0.0,0.0,7.186354196164757e-05,4.2348922979495995e-11,0.0,19078144.0,0.0,23.30078125
,0.0,-0.006474615074694157,1773868242.7075543,31931.154658302476,19332096.0,265.05975341796875,0.0,1380.226699355,0.0,0.0,0.0,0.0,0.0,0.0,6.746930012013763e-05,4.1058739741473005e-11,0.0,19332096.0,0.0,22.15625
"{'path': 'media/html/render_19586048_e696e51446439594ad72.html', 'size': 4708361.0, '_type': 'html-file', 'sha256': 'e696e51446439594ad72c4dcf937f0059fe23249f475d5d10313664669511a0d'}",0.0,-0.005662885960191488,1773868292.642404,32006.32274846368,19586048.0,268.35125732421875,0.00390625,1418.263421587,0.0,0.0,0.0234375,0.0234375,0.0,0.0,6.110768299549818e-05,3.9851566491222457e-11,0.0,19586048.0,0.0,20.767578125
,0.0,-0.006174176465719938,1773868292.8920221,31892.613254147134,19840000.0,272.36407470703125,0.005859375,1430.474178644,0.0,0.0,0.03125,0.03125,0.0,0.0,6.185644451761618e-05,3.876597653995617e-11,0.0,19840000.0,0.0,21.302734375
,0.0,-0.006216672249138355,1773868304.8524938,31930.208940016968,20093952.0,269.1441345214844,0.001953125,1442.371951692,0.0,0.0,0.015625,0.015625,0.0,0.0,7.392626139335334e-05,3.778114626706852e-11,0.0,20093952.0,0.0,20.83203125
,0.0,-0.005443013273179531,1773868316.7503915,31981.024817999874,20347904.0,272.5899658203125,0.0,1454.271466156,0.0,0.0,0.0,0.0,0.0,0.0,4.525281838141382e-05,3.686217650566981e-11,0.0,20347904.0,0.0,22.083984375
,0.0,-0.005712216719985008,1773868328.6496964,31996.781234596234,20601856.0,259.48291015625,0.001953125,1466.184664081,0.0,0.0,0.017578125,0.017578125,0.0,0.0,7.062152144499123e-05,3.586073105132925e-11,0.0,20601856.0,0.0,22.630859375
"{'sha256': '8ab47242e0e658a6bb8da2df950e7de307adfc9a89c002a014e6f55e6d1ee56e', 'path': 'media/html/render_20855808_8ab47242e0e658a6bb8d.html', 'size': 4709057.0, '_type': 'html-file'}",0.0,-0.006730703637003899,1773868378.1975229,31925.67448230609,20855808.0,267.65545654296875,0.005859375,1503.818528413,0.0,0.0,0.02734375,0.02734375,0.0,0.0,7.091488078003749e-05,3.488430724840619e-11,0.0,20855808.0,0.0,21.50390625
,0.0,-0.006233613472431898,1773868378.423344,32015.160741219916,21109760.0,261.5384216308594,0.0,1515.979344381,0.0,0.0,0.0,0.0,0.0,0.0,6.46649205009453e-05,3.377859103537162e-11,0.0,21109760.0,0.0,21.037109375
,0.0,-0.00615343265235424,1773868390.3577468,31862.76547158649,21363712.0,264.917724609375,0.001953125,1527.867673073,0.0,0.0,0.001953125,0.001953125,0.0,0.0,6.6489476012066e-05,3.2789063131311025e-11,0.0,21363712.0,0.0,22.962890625
