eval/episode_success_easy,eval/episode_success,training/alpha_loss,_timestamp,_step,eval/episode_reward,training/actor_loss,training/critic_loss,eval/episode_reward_near,training/log_alpha,eval/episode_reward_survive,training/sps,eval/episode_dist,step,_runtime,eval/episode_reward_dist,render,eval/episode_reward_ctrl,training/entropy,eval/episode_success_any,eval/episode_success_hard
18.919921875,0.01171875,2.6419805232436033e-10,1773849975.866778,11205632.0,0.01171875,-0.007931973785161972,8.815313049126416e-05,0.0,0.0,0.0,32167.688851556202,224.10903930664062,11205632.0,836.458186709,0.0,,0.0,0.0,0.001953125,0.0
16.39453125,0.0078125,2.393835130121147e-10,1773849987.6842792,11459584.0,0.0078125,-0.006946391426026821,9.183807560475543e-05,0.0,0.0,0.0,32343.289710977548,226.80972290039062,11459584.0,848.290606808,0.0,,0.0,0.0,0.001953125,0.0
16.80859375,0.013671875,2.517781538813324e-10,1773849999.5165772,11713536.0,0.013671875,-0.008057215251028538,9.549187234370038e-05,0.0,0.0,0.0,32263.210427969676,235.0240478515625,11713536.0,860.111425078,0.0,,0.0,0.0,0.001953125,0.0
15.732421875,0.0,1.7145197761525566e-10,1773850050.1654246,11967488.0,0.0,-0.006076626945286989,6.668816058663651e-05,0.0,0.0,0.0,32328.675756416524,191.69285583496094,11967488.0,898.938747267,0.0,"{'size': 4717453.0, '_type': 'html-file', 'sha256': '8507e57a5eba6276588bf81d7e5287d65e335ac0c0d05b192f87365e14b5b01a', 'path': 'media/html/render_11967488_8507e57a5eba6276588b.html'}",0.0,0.0,0.0,0.0
16.59375,0.0,1.934659099589453e-10,1773850050.387444,12221440.0,0.0,-0.0073449742048978806,0.00010053396545117721,0.0,0.0,0.0,32278.321806857944,240.85092163085938,12221440.0,911.007876094,0.0,,0.0,0.0,0.0,0.0
10.5625,0.0,1.5437229272663444e-10,1773850062.2342176,12475392.0,0.0,-0.008747744373977184,0.0001178084930870682,0.0,0.0,0.0,32251.744575356417,127.82684326171875,12475392.0,922.824038063,0.0,,0.0,0.0,0.0,0.0
20.791015625,0.0234375,1.0096652680591234e-10,1773850074.0501363,12729344.0,0.0234375,-0.009352737106382847,0.0001266126928385347,0.0,0.0,0.0,32313.047649912904,258.94464111328125,12729344.0,934.634358322,0.0,,0.0,0.0,0.00390625,0.0
17.501953125,0.00390625,1.474516619914823e-10,1773850085.8605158,12983296.0,0.00390625,-0.010497051291167736,0.00011761313362512738,0.0,0.0,0.0,32377.579799368486,236.07501220703125,12983296.0,946.452440173,0.0,,0.0,0.0,0.001953125,0.0
18.24609375,0.009765625,1.8950380153981428e-10,1773850136.254422,13237248.0,0.009765625,-0.009658322669565678,0.00011726521188393235,0.0,0.0,0.0,32326.678125613817,232.2802734375,13237248.0,985.027748687,0.0,"{'_type': 'html-file', 'sha256': '5bee691967b54d4b01ebea26f4200a56523b57abf0d3a7949a0d61727f6b5b61', 'path': 'media/html/render_13237248_5bee691967b54d4b01eb.html', 'size': 4711221.0}",0.0,0.0,0.001953125,0.0
17.8671875,0.021484375,1.877433902786052e-10,1773850136.4759104,13491200.0,0.021484375,-0.010052235797047615,0.00012741118553094566,0.0,0.0,0.0,32355.72201364111,242.85781860351562,13491200.0,997.108822428,0.0,,0.0,0.0,0.00390625,0.0
